ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3192,20150415,Wed 4/15,ATL,91-85,W,18,8,0.444,5,2,0.4,5,5,1.0,23,6,3,0,4,0,4,33
3192,20150413,Mon 4/13,BKN,113-86,W,7,3,0.429,4,1,0.25,0,0,0.0,7,3,7,0,1,3,1,23
3192,20150411,Sat 4/11,PHI,114-107,W,12,4,0.333,5,1,0.2,0,0,0.0,9,1,3,0,0,3,2,19
3192,20150409,Thu 4/9,MIA,89-78,W,12,5,0.417,6,2,0.333,2,2,1.0,14,1,3,0,1,1,1,24
3192,20150408,Wed 4/8,ORL,103-105,L,11,5,0.455,4,2,0.5,2,1,0.5,13,3,2,0,2,2,2,26
3192,20150405,Sun 4/5,CLE,94-99,L,13,6,0.462,6,2,0.333,4,3,0.75,17,5,6,0,1,4,7,38
3192,20150403,Fri 4/3,DET,88-82,W,9,2,0.222,4,1,0.25,0,0,0.0,5,0,1,0,0,1,0,26
3192,20150401,Wed 4/1,MIL,91-95,L,11,4,0.364,6,2,0.333,3,1,0.333,11,3,3,1,3,3,4,37
3192,20150328,Sat 3/28,NY,111-80,W,9,5,0.556,3,2,0.667,0,0,0.0,12,1,5,0,1,1,0,26
3192,20150325,Wed 3/25,TOR,116-103,W,14,6,0.429,8,4,0.5,0,0,0.0,16,5,5,1,1,1,2,33
3192,20150323,Mon 3/23,CHA,98-86,W,10,6,0.6,2,0,0.0,1,1,1.0,13,1,10,0,0,3,1,33
3192,20150321,Sat 3/21,DET,91-107,L,12,6,0.5,5,3,0.6,4,4,1.0,19,3,5,1,0,3,1,37
3192,20150320,Fri 3/20,TOR,108-92,W,11,4,0.364,4,1,0.25,2,2,1.0,11,6,5,0,0,2,3,33
3192,20150318,Wed 3/18,IND,103-86,W,10,3,0.3,2,0,0.0,7,7,1.0,13,2,2,0,1,5,2,27
3192,20150315,Sun 3/15,OKC,100-109,L,14,5,0.357,6,0,0.0,2,1,0.5,11,1,3,0,0,1,3,30
3192,20150313,Fri 3/13,CHA,91-101,L,17,9,0.529,7,3,0.429,5,3,0.6,24,2,4,0,0,3,1,34
