ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3064290,20160413,Wed 4/13,CHA,103-117,L,17,9,0.529,4,1,0.25,4,3,0.75,22,5,1,1,2,1,0,24
3064290,20160411,Mon 4/11,MIL,107-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3064290,20160410,Sun 4/10,MIA,96-118,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3064290,20160408,Fri 4/8,MIA,112-109,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3064290,20160406,Wed 4/6,DET,104-108,L,10,3,0.3,2,0,0.0,2,0,0.0,6,6,4,1,0,1,1,32
3064290,20160403,Sun 4/3,MEM,119-107,W,11,5,0.455,3,1,0.333,4,3,0.75,14,10,3,1,1,1,0,29
3064290,20160401,Fri 4/1,MIL,110-113,L,12,6,0.5,3,1,0.333,2,1,0.5,14,7,2,0,1,4,1,32
3064290,20160331,Thu 3/31,IND,114-94,W,7,2,0.286,2,0,0.0,2,2,1.0,6,4,1,1,1,1,2,20
3064290,20160329,Tue 3/29,BKN,139-105,W,11,9,0.818,3,1,0.333,1,1,1.0,20,4,0,0,1,2,0,27
3064290,20160326,Sat 3/26,CHI,111-89,W,9,4,0.444,3,1,0.333,0,0,0.0,9,5,6,1,2,4,1,27
3064290,20160325,Fri 3/25,MIA,97-108,L,7,2,0.286,2,0,0.0,0,0,0.0,4,6,2,0,0,2,1,35
3064290,20160323,Wed 3/23,DET,102-118,L,15,5,0.333,4,1,0.25,4,4,1.0,15,11,3,0,0,0,0,29
3064290,20160321,Mon 3/21,BOS,96-107,L,14,6,0.429,2,1,0.5,0,0,0.0,13,8,0,0,1,3,0,29
3064290,20160320,Sun 3/20,TOR,100-105,L,6,2,0.333,3,1,0.333,2,1,0.5,6,3,1,2,1,2,0,18
3064290,20160318,Fri 3/18,CLE,103-109,L,8,2,0.25,2,1,0.5,4,2,0.5,7,10,3,0,0,2,1,31
3064290,20160316,Wed 3/16,CHA,99-107,L,3,0,0.0,0,0,0.0,0,0,0.0,0,2,0,0,0,2,0,13
3064290,20160315,Tue 3/15,DEN,116-110,W,10,7,0.7,4,2,0.5,0,0,0.0,16,3,0,2,1,1,1,27
3064290,20160312,Sat 3/12,POR,84-121,L,13,8,0.615,2,1,0.5,3,0,0.0,17,4,3,1,2,2,2,33
3064290,20160311,Fri 3/11,SAC,107-100,W,12,8,0.667,0,0,0.0,10,4,0.4,20,11,1,0,1,4,2,27
3064290,20160308,Tue 3/8,LAL,98-107,L,4,2,0.5,2,0,0.0,2,1,0.5,5,4,3,1,1,2,0,28
3064290,20160307,Mon 3/7,GS,113-119,L,15,8,0.533,1,0,0.0,4,4,1.0,20,16,0,1,1,2,3,36
3064290,20160304,Fri 3/4,PHX,84-102,L,3,1,0.333,2,0,0.0,2,2,1.0,4,2,0,0,0,2,2,16
3064290,20160302,Wed 3/2,CHI,102-89,W,6,2,0.333,4,1,0.25,10,8,0.8,13,15,3,0,0,4,0,33
3064290,20160301,Tue 3/1,DAL,108-121,L,5,3,0.6,2,0,0.0,3,1,0.333,7,5,4,0,1,5,1,19
3064290,20160228,Sun 2/28,PHI,130-116,W,10,7,0.7,2,2,1.0,6,6,1.0,22,7,3,2,1,1,1,36
3064290,20160226,Fri 2/26,NY,95-108,L,12,6,0.5,3,1,0.333,6,4,0.667,17,8,2,0,1,2,0,34
3064290,20160225,Thu 2/25,GS,114-130,L,14,9,0.643,4,1,0.25,0,0,0.0,19,8,2,1,0,1,1,30
3064290,20160223,Tue 2/23,PHI,124-115,W,10,4,0.4,1,0,0.0,6,3,0.5,11,11,3,1,3,3,2,30
3064290,20160221,Sun 2/21,IND,102-105,L,11,4,0.364,3,1,0.333,2,1,0.5,10,11,4,0,1,3,0,30
3064290,20160219,Fri 2/19,DAL,110-104,W,8,3,0.375,2,1,0.5,0,0,0.0,7,11,1,0,6,4,2,28
3064290,20160210,Wed 2/10,SA,96-98,L,6,1,0.167,3,0,0.0,3,2,0.667,4,14,3,2,1,1,1,30
3064290,20160208,Mon 2/8,ATL,117-110,W,8,4,0.5,1,1,1.0,3,3,1.0,12,10,3,1,1,4,1,28
3064290,20160207,Sun 2/7,ATL,96-94,W,11,3,0.273,3,0,0.0,6,5,0.833,11,13,4,4,2,2,0,34
3064290,20160205,Fri 2/5,LAC,93-107,L,6,3,0.5,1,0,0.0,1,0,0.0,6,3,1,1,1,0,0,29
3064290,20160203,Wed 2/3,OKC,114-117,L,10,1,0.1,2,0,0.0,0,0,0.0,2,6,1,0,0,0,0,26
3064290,20160201,Mon 2/1,SA,92-107,L,12,6,0.5,0,0,0.0,0,0,0.0,12,16,0,1,0,1,2,31
3064290,20160131,Sun 1/31,BOS,119-114,W,11,8,0.727,2,0,0.0,9,3,0.333,19,14,5,2,0,4,0,39
3064290,20160129,Fri 1/29,BOS,94-113,L,9,3,0.333,4,2,0.5,4,4,1.0,12,9,2,0,1,2,2,26
3064290,20160126,Tue 1/26,MIL,100-107,L,9,3,0.333,2,1,0.5,4,2,0.5,9,9,3,0,1,1,0,37
3064290,20160125,Mon 1/25,MEM,102-108,L,8,3,0.375,4,0,0.0,4,4,1.0,10,9,0,1,0,1,2,24
3064290,20160122,Fri 1/22,CHA,116-120,L,4,4,1.0,1,1,1.0,3,1,0.333,10,7,4,0,0,6,2,24
