ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4248,20150415,Wed 4/15,POR,114-98,W,4,2,0.5,2,1,0.5,2,2,1.0,7,9,3,1,0,2,1,33
4248,20150413,Mon 4/13,UTAH,92-109,L,8,2,0.25,1,1,1.0,6,5,0.833,10,10,3,1,0,1,2,29
4248,20150412,Sun 4/12,LAL,120-106,W,7,4,0.571,2,1,0.5,1,1,1.0,10,10,1,0,1,2,2,26
4248,20150410,Fri 4/10,DEN,144-143,W,11,5,0.455,0,0,0.0,0,0,0.0,10,9,1,1,0,2,1,29
4248,20150408,Wed 4/8,PHX,107-104,W,5,0,0.0,2,0,0.0,2,1,0.5,1,4,2,1,0,2,1,22
4248,20150404,Sat 4/4,GS,110-123,L,5,2,0.4,2,0,0.0,6,3,0.5,7,7,1,0,3,2,1,31
4248,20150402,Thu 4/2,HOU,101-108,L,7,2,0.286,2,1,0.5,3,2,0.667,7,8,2,4,0,3,0,26
4248,20150401,Wed 4/1,OKC,135-131,W,5,4,0.8,1,1,1.0,5,3,0.6,12,6,2,1,1,1,0,23
4248,20150329,Sun 3/29,IND,99-104,L,4,1,0.25,1,0,0.0,2,1,0.5,3,2,0,0,1,2,0,15
4248,20150327,Fri 3/27,SA,76-94,L,5,2,0.4,3,1,0.333,2,1,0.5,6,7,0,1,1,1,1,21
4248,20150324,Tue 3/24,SA,101-94,W,4,1,0.25,2,0,0.0,1,0,0.0,2,5,1,0,0,2,1,20
4248,20150322,Sun 3/22,PHX,92-98,L,5,1,0.2,0,0,0.0,2,1,0.5,3,9,2,1,1,2,2,27
4248,20150320,Fri 3/20,MEM,101-112,L,2,1,0.5,1,0,0.0,2,0,0.0,2,2,0,0,2,4,0,19
4248,20150318,Wed 3/18,ORL,107-102,W,4,1,0.25,2,0,0.0,6,5,0.833,7,8,1,0,1,3,1,24
4248,20150316,Mon 3/16,OKC,119-115,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4248,20150313,Fri 3/13,LAC,129-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4248,20150310,Tue 3/10,CLE,94-127,L,3,0,0.0,0,0,0.0,0,0,0.0,0,3,0,0,0,2,1,7
4248,20150308,Sun 3/8,LAL,100-93,W,7,3,0.429,4,1,0.25,7,6,0.857,13,5,0,3,6,3,1,20
4248,20150306,Fri 3/6,GS,89-104,L,7,3,0.429,2,0,0.0,2,1,0.5,7,4,1,0,5,1,0,19
4248,20150305,Thu 3/5,POR,75-94,L,5,2,0.4,2,1,0.5,0,0,0.0,5,3,0,0,0,2,1,19
4248,20150302,Mon 3/2,NO,102-93,W,3,1,0.333,2,0,0.0,0,0,0.0,2,2,1,0,4,2,0,24
4248,20150228,Sat 2/28,BKN,94-104,L,4,4,1.0,2,2,1.0,2,2,1.0,12,5,2,2,4,3,0,24
4248,20150225,Wed 2/25,ATL,87-104,L,7,1,0.143,4,0,0.0,0,0,0.0,2,5,0,0,0,1,4,27
4248,20150224,Tue 2/24,TOR,99-92,W,9,4,0.444,0,0,0.0,2,1,0.5,9,12,0,2,1,2,4,28
4248,20150222,Sun 2/22,CHA,92-81,W,3,0,0.0,0,0,0.0,0,0,0.0,0,2,0,3,0,4,1,24
4248,20150220,Fri 2/20,HOU,111-100,W,11,6,0.545,4,1,0.25,4,4,1.0,17,12,1,2,0,3,0,30
4248,20150219,Thu 2/19,OKC,89-104,L,7,2,0.286,4,2,0.5,2,2,1.0,8,5,1,0,2,3,1,17
4248,20150211,Wed 2/11,UTAH,87-82,W,7,3,0.429,1,0,0.0,0,0,0.0,6,7,0,0,0,3,1,20
4248,20150209,Mon 2/9,LAC,98-115,L,6,2,0.333,3,1,0.333,0,0,0.0,5,6,1,1,1,3,0,19
4248,20150207,Sat 2/7,POR,111-101,W,9,3,0.333,4,1,0.25,4,2,0.5,9,9,1,2,1,4,2,31
4248,20150205,Thu 2/5,SAC,101-78,W,6,1,0.167,1,0,0.0,0,0,0.0,2,4,1,3,2,4,1,22
4248,20150204,Wed 2/4,GS,114-128,L,9,5,0.556,2,1,0.5,1,1,1.0,12,7,2,1,2,4,0,25
4248,20150202,Mon 2/2,MIN,100-94,W,5,4,0.8,2,1,0.5,0,0,0.0,9,5,2,2,2,3,3,21
4248,20150131,Sat 1/31,ORL,108-93,W,5,2,0.4,1,0,0.0,3,2,0.667,6,8,1,0,2,2,0,27
4248,20150130,Fri 1/30,MIA,93-72,W,5,3,0.6,1,0,0.0,6,4,0.667,10,7,2,0,4,1,1,29
4248,20150128,Wed 1/28,HOU,94-99,L,7,2,0.286,3,2,0.667,4,4,1.0,10,7,0,6,3,2,2,29
4248,20150127,Tue 1/27,MEM,90-109,L,5,2,0.4,3,0,0.0,0,0,0.0,4,3,1,1,2,1,0,12
4248,20150125,Sun 1/25,NO,106-109,L,1,0,0.0,0,0,0.0,2,2,1.0,2,3,1,2,0,2,0,15
4248,20150123,Fri 1/23,CHI,98-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
