ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3213,20150415,Wed 4/15,CHI,85-91,L,10,7,0.7,0,0,0.0,0,0,0.0,14,7,4,2,1,1,1,22
3213,20150413,Mon 4/13,NY,108-112,L,17,9,0.529,0,0,0.0,0,0,0.0,18,6,1,1,2,3,2,33
3213,20150412,Sun 4/12,WSH,99-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3213,20150410,Fri 4/10,CHA,104-80,W,11,6,0.545,0,0,0.0,4,3,0.75,15,8,1,4,1,1,1,29
3213,20150408,Wed 4/8,BKN,114-111,W,20,11,0.55,1,1,1.0,1,1,1.0,24,7,4,1,2,1,2,33
3213,20150407,Tue 4/7,PHX,96-69,W,10,7,0.7,0,0,0.0,2,0,0.0,14,5,3,0,1,1,2,26
3213,20150404,Sat 4/4,BKN,131-99,W,13,10,0.769,1,0,0.0,1,0,0.0,20,2,3,1,3,1,0,21
3213,20150331,Tue 3/31,DET,95-105,L,10,8,0.8,0,0,0.0,0,0,0.0,16,5,2,0,0,2,2,24
3213,20150330,Mon 3/30,MIL,101-88,W,18,8,0.444,2,0,0.0,2,2,1.0,18,7,2,2,0,2,0,34
3213,20150328,Sat 3/28,CHA,100-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3213,20150327,Fri 3/27,MIA,99-86,W,9,7,0.778,0,0,0.0,2,1,0.5,15,3,4,1,0,0,3,31
3213,20150325,Wed 3/25,ORL,95-83,W,12,5,0.417,0,0,0.0,0,0,0.0,10,6,2,1,0,2,2,31
3213,20150322,Sun 3/22,SA,95-114,L,11,4,0.364,0,0,0.0,0,0,0.0,8,3,5,0,1,2,0,28
3213,20150320,Fri 3/20,OKC,115-123,L,7,5,0.714,0,0,0.0,0,0,0.0,10,11,4,1,0,3,2,33
3213,20150318,Wed 3/18,GS,95-114,L,18,4,0.222,1,0,0.0,0,0,0.0,8,6,3,1,2,0,1,32
3213,20150316,Mon 3/16,SAC,110-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3213,20150315,Sun 3/15,LAL,91-86,W,21,10,0.476,1,0,0.0,3,1,0.333,21,5,3,1,5,1,1,35
3213,20150313,Fri 3/13,PHX,96-87,W,11,5,0.455,0,0,0.0,2,2,1.0,12,7,1,0,2,4,0,34
3213,20150311,Wed 3/11,DEN,102-115,L,10,3,0.3,0,0,0.0,0,0,0.0,6,3,2,0,1,0,0,23
3213,20150309,Mon 3/9,SAC,130-105,W,13,9,0.692,0,0,0.0,0,0,0.0,18,4,2,3,0,0,1,31
3213,20150307,Sat 3/7,PHI,84-92,L,16,6,0.375,0,0,0.0,0,0,0.0,12,5,4,3,2,1,2,34
3213,20150306,Fri 3/6,CLE,106-97,W,12,7,0.583,1,1,1.0,4,4,1.0,19,9,6,1,2,1,2,34
3213,20150303,Tue 3/3,HOU,104-96,W,14,9,0.643,0,0,0.0,0,0,0.0,18,8,1,3,0,1,3,36
3213,20150228,Sat 2/28,MIA,93-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3213,20150227,Fri 2/27,ORL,95-88,W,9,7,0.778,0,0,0.0,4,3,0.75,17,13,4,0,2,1,1,31
3213,20150225,Wed 2/25,DAL,104-87,W,10,4,0.4,0,0,0.0,4,3,0.75,11,8,6,0,2,2,1,27
3213,20150222,Sun 2/22,MIL,97-86,W,12,5,0.417,1,0,0.0,6,5,0.833,15,8,1,2,0,1,2,33
3213,20150220,Fri 2/20,TOR,80-105,L,9,3,0.333,1,1,1.0,0,0,0.0,7,12,4,0,1,0,2,27
3213,20150215,Sun 2/15,&nbsp;WEST,158-163,L,6,4,0.667,0,0,0.0,0,0,0.0,8,7,2,0,0,1,1,14
3213,20150211,Wed 2/11,BOS,88-89,L,15,11,0.733,2,0,0.0,0,0,0.0,22,12,3,1,0,1,1,36
3213,20150209,Mon 2/9,MIN,117-105,W,18,11,0.611,0,0,0.0,7,6,0.857,28,8,3,2,1,2,3,28
3213,20150208,Sun 2/8,MEM,88-94,L,11,2,0.182,0,0,0.0,2,2,1.0,6,12,2,0,0,3,4,32
3213,20150206,Fri 2/6,GS,124-116,W,10,4,0.4,1,0,0.0,4,4,1.0,12,14,6,0,1,5,3,28
3213,20150204,Wed 2/4,WSH,105-96,W,24,10,0.417,0,0,0.0,1,1,1.0,21,13,2,1,1,0,1,34
3213,20150202,Mon 2/2,NO,100-115,L,9,4,0.444,1,0,0.0,0,0,0.0,8,9,4,0,3,1,1,30
3213,20150131,Sat 1/31,PHI,91-85,W,16,10,0.625,1,0,0.0,4,3,0.75,23,11,4,3,0,0,1,33
3213,20150130,Fri 1/30,POR,105-99,W,15,8,0.533,1,1,1.0,0,0,0.0,17,8,4,2,3,2,1,34
3213,20150128,Wed 1/28,BKN,113-102,W,13,10,0.769,0,0,0.0,0,0,0.0,20,10,5,0,0,3,2,33
3213,20150125,Sun 1/25,MIN,112-100,W,9,8,0.889,0,0,0.0,3,3,1.0,19,6,4,2,1,2,1,31
3213,20150123,Fri 1/23,OKC,103-93,W,12,6,0.5,2,1,0.5,1,1,1.0,14,12,3,3,1,1,1,32
3213,20150121,Wed 1/21,IND,110-91,W,10,6,0.6,1,0,0.0,3,2,0.667,14,7,5,1,1,0,1,27
3213,20150119,Mon 1/19,DET,93-82,W,9,6,0.667,0,0,0.0,2,2,1.0,14,6,7,1,1,0,1,34
3213,20150117,Sat 1/17,CHI,107-99,W,14,11,0.786,1,0,0.0,0,0,0.0,22,9,4,0,1,1,1,35
3213,20150116,Fri 1/16,TOR,110-89,W,8,8,1.0,0,0,0.0,7,6,0.857,22,5,5,1,0,0,0,28
3213,20150114,Wed 1/14,BOS,105-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3213,20150113,Tue 1/13,PHI,105-87,W,10,8,0.8,0,0,0.0,6,5,0.833,21,10,10,1,0,2,2,29
3213,20150111,Sun 1/11,WSH,120-89,W,12,6,0.5,1,1,1.0,3,2,0.667,15,6,3,2,1,3,0,30
3213,20150109,Fri 1/9,DET,106-103,W,21,9,0.429,1,0,0.0,3,1,0.333,19,16,4,1,0,2,2,36
3213,20150107,Wed 1/7,MEM,96-86,W,15,5,0.333,0,0,0.0,2,2,1.0,12,3,4,1,2,1,0,31
3213,20150105,Mon 1/5,LAC,107-98,W,15,7,0.467,0,0,0.0,2,2,1.0,16,5,2,1,1,3,0,33
3213,20150103,Sat 1/3,POR,115-107,W,12,6,0.5,0,0,0.0,4,1,0.25,13,5,4,1,0,5,3,33
3213,20150102,Fri 1/2,UTAH,98-92,W,13,6,0.462,0,0,0.0,2,1,0.5,13,5,0,2,1,0,2,29
3213,20151230,Tue 12/30,CLE,109-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3213,20151227,Sat 12/27,MIL,90-85,W,20,8,0.4,0,0,0.0,6,4,0.667,20,9,4,2,2,2,0,33
3213,20151226,Fri 12/26,MIL,77-107,L,9,5,0.556,0,0,0.0,4,3,0.75,13,5,2,2,0,1,3,25
3213,20151223,Tue 12/23,LAC,107-104,W,18,7,0.389,1,0,0.0,8,6,0.75,20,5,4,0,0,3,2,35
3213,20151222,Mon 12/22,DAL,105-102,W,13,8,0.615,1,0,0.0,2,1,0.5,17,7,2,1,0,2,0,33
3213,20151220,Sat 12/20,HOU,104-97,W,10,6,0.6,1,0,0.0,2,2,1.0,14,8,5,3,1,2,1,32
3213,20151217,Wed 12/17,CLE,127-98,W,14,10,0.714,2,0,0.0,0,0,0.0,20,2,4,2,0,1,1,31
3213,20151215,Mon 12/15,CHI,93-86,W,19,10,0.526,1,0,0.0,2,1,0.5,21,10,6,0,2,1,5,33
3213,20151213,Sat 12/13,ORL,99-100,L,15,9,0.6,0,0,0.0,0,0,0.0,18,8,2,2,1,1,0,35
3213,20151212,Fri 12/12,ORL,87-81,W,16,8,0.5,1,1,1.0,0,0,0.0,17,7,2,2,1,2,2,34
3213,20151210,Wed 12/10,PHI,95-79,W,12,5,0.417,0,0,0.0,2,1,0.5,11,7,1,0,1,1,0,27
3213,20151208,Mon 12/8,IND,108-92,W,18,9,0.5,1,1,1.0,6,6,1.0,25,8,3,3,1,2,2,30
3213,20151207,Sun 12/7,DEN,96-84,W,9,5,0.556,1,0,0.0,1,1,1.0,11,8,3,3,0,3,0,33
3213,20151205,Fri 12/5,BKN,98-75,W,10,3,0.3,0,0,0.0,2,1,0.5,7,5,2,1,2,1,1,23
3213,20151203,Wed 12/3,MIA,112-102,W,3,2,0.667,0,0,0.0,2,2,1.0,6,2,3,1,0,2,2,29
3213,20151202,Tue 12/2,BOS,109-105,W,13,8,0.615,0,0,0.0,0,0,0.0,16,6,2,1,0,1,1,32
3213,20151129,Sat 11/29,CHA,105-75,W,6,5,0.833,1,1,1.0,0,0,0.0,11,4,2,2,0,1,0,19
3213,20151128,Fri 11/28,NO,100-91,W,15,5,0.333,0,0,0.0,0,0,0.0,10,10,4,3,0,1,2,34
3213,20151126,Wed 11/26,TOR,115-126,L,16,11,0.688,1,0,0.0,2,1,0.5,23,9,4,2,0,1,1,32
3213,20151125,Tue 11/25,WSH,106-102,W,4,3,0.75,0,0,0.0,2,1,0.5,7,4,2,1,0,3,0,23
3213,20151121,Fri 11/21,DET,99-89,W,12,7,0.583,0,0,0.0,0,0,0.0,14,2,1,2,0,2,0,32
3213,20151118,Tue 11/18,LAL,109-114,L,8,7,0.875,1,1,1.0,0,0,0.0,15,8,2,0,0,0,2,30
3213,20151115,Sat 11/15,CLE,94-127,L,10,6,0.6,1,0,0.0,0,0,0.0,12,4,2,0,0,1,0,19
3213,20151114,Fri 11/14,MIA,114-103,W,10,8,0.8,1,1,1.0,2,2,1.0,19,6,4,1,1,3,1,28
3213,20151112,Wed 11/12,UTAH,100-97,W,10,4,0.4,0,0,0.0,0,0,0.0,8,4,1,1,0,1,2,29
3213,20151110,Mon 11/10,NY,91-85,W,9,5,0.556,0,0,0.0,2,2,1.0,12,6,1,2,1,2,1,32
3213,20151108,Sat 11/8,NY,103-96,W,13,3,0.231,0,0,0.0,0,0,0.0,6,6,3,0,0,1,0,30
3213,20151107,Fri 11/7,CHA,119-122,L,16,11,0.688,0,0,0.0,3,2,0.667,24,10,2,1,3,3,1,37
3213,20151105,Wed 11/5,SA,92-94,L,14,5,0.357,0,0,0.0,0,0,0.0,10,7,6,1,2,5,2,31
3213,20151101,Sat 11/1,IND,102-92,W,14,9,0.643,1,0,0.0,2,2,1.0,20,4,2,2,0,2,3,28
3213,20151029,Wed 10/29,TOR,102-109,L,15,6,0.4,0,0,0.0,0,0,0.0,12,13,3,3,1,2,1,31
3213,20151022,Wed 10/22,SA,117-107,W,13,5,0.385,1,0,0.0,1,0,0.0,10,5,4,0,2,1,0,27
3213,20151020,Mon 10/20,CHA,117-114,W,10,4,0.4,0,0,0.0,2,2,1.0,10,6,1,0,1,0,2,24
3213,20151018,Sat 10/18,DET,100-104,L,13,6,0.462,0,0,0.0,0,0,0.0,12,6,4,1,2,0,0,21
3213,20151016,Thu 10/16,CHI,84-85,L,6,2,0.333,0,0,0.0,0,0,0.0,4,6,2,0,1,0,0,16
3213,20151014,Tue 10/14,MIA,109-103,W,3,1,0.333,0,0,0.0,0,0,0.0,2,1,2,0,0,0,0,11
