ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2389,20140416,Wed 4/16,CHI,91-86,W,14,4,0.286,1,0,0.0,4,2,0.5,10,18,3,2,1,1,2,42
2389,20140414,Mon 4/14,ATL,95-93,W,17,11,0.647,1,0,0.0,7,5,0.714,27,15,1,0,1,4,2,35
2389,20140412,Sat 4/12,PHI,111-105,W,19,13,0.684,0,0,0.0,5,3,0.6,29,12,3,2,0,3,3,36
2389,20140411,Fri 4/11,BOS,103-106,L,26,16,0.615,0,0,0.0,0,0,0.0,32,10,4,0,1,2,3,39
2389,20140409,Wed 4/9,WSH,94-88,W,20,9,0.45,0,0,0.0,2,2,1.0,20,18,2,0,1,2,3,43
2389,20140405,Sat 4/5,CLE,96-94,W,21,9,0.429,0,0,0.0,8,6,0.75,24,15,4,2,1,2,2,41
2389,20140404,Fri 4/4,ORL,91-80,W,24,13,0.542,1,0,0.0,3,3,1.0,29,16,0,1,0,1,2,37
2389,20140402,Wed 4/2,PHI,123-93,W,17,9,0.529,0,0,0.0,10,7,0.7,25,10,0,0,0,0,1,31
2389,20140331,Mon 3/31,WSH,100-94,W,19,8,0.421,0,0,0.0,3,3,1.0,19,11,0,2,0,3,0,40
2389,20140328,Fri 3/28,ORL,105-110,L,16,10,0.625,1,0,0.0,0,0,0.0,20,8,2,0,4,4,1,42
2389,20140326,Wed 3/26,BKN,116-111,W,27,15,0.556,0,0,0.0,7,5,0.714,35,15,1,0,0,2,1,41
2389,20140324,Mon 3/24,HOU,89-100,L,17,8,0.471,1,0,0.0,6,4,0.667,20,11,2,1,1,4,2,42
2389,20140322,Sat 3/22,POR,124-94,W,22,13,0.591,1,0,0.0,2,2,1.0,28,7,6,2,0,2,1,29
2389,20140319,Wed 3/19,BKN,99-104,L,19,8,0.421,0,0,0.0,3,2,0.667,18,12,3,0,0,2,5,37
2389,20140317,Mon 3/17,ATL,83-97,L,15,6,0.4,1,0,0.0,4,4,1.0,16,12,3,0,1,0,0,39
2389,20140316,Sun 3/16,MIL,101-92,W,17,10,0.588,0,0,0.0,0,0,0.0,20,7,2,2,2,1,6,37
2389,20140314,Fri 3/14,MIN,105-93,W,26,12,0.462,1,0,0.0,1,1,1.0,25,16,1,1,0,2,3,38
2389,20140312,Wed 3/12,WSH,98-85,W,20,13,0.65,0,0,0.0,0,0,0.0,26,10,1,1,0,2,2,36
2389,20140310,Mon 3/10,DEN,105-98,W,23,12,0.522,0,0,0.0,6,2,0.333,26,13,4,1,3,3,3,39
2389,20140308,Sat 3/8,MEM,89-111,L,17,7,0.412,0,0,0.0,4,3,0.75,17,7,1,0,0,2,0,27
2389,20140307,Fri 3/7,CLE,101-92,W,18,12,0.667,0,0,0.0,4,4,1.0,28,7,2,3,1,1,4,39
2389,20140305,Wed 3/5,IND,109-87,W,25,16,0.64,1,1,1.0,2,1,0.5,34,8,3,1,1,3,1,36
2389,20140303,Mon 3/3,MIA,107-124,L,24,18,0.75,0,0,0.0,4,2,0.5,38,19,1,0,1,4,1,37
2389,20140302,Sun 3/2,OKC,99-116,L,16,10,0.625,0,0,0.0,8,5,0.625,25,7,3,1,2,3,1,36
2389,20140228,Fri 2/28,SA,82-92,L,21,10,0.476,0,0,0.0,0,0,0.0,20,7,1,0,2,3,3,35
2389,20140222,Sat 2/22,MEM,92-89,W,13,2,0.154,0,0,0.0,2,2,1.0,6,9,1,0,0,3,2,31
2389,20140221,Fri 2/21,NO,90-87,W,30,14,0.467,0,0,0.0,6,5,0.833,33,10,1,2,0,3,4,34
2389,20140219,Wed 2/19,DET,116-98,W,20,12,0.6,0,0,0.0,8,5,0.625,29,8,1,1,0,2,2,32
2389,20140218,Tue 2/18,DET,108-96,W,28,15,0.536,0,0,0.0,3,2,0.667,32,12,7,0,1,2,1,38
2389,20140212,Wed 2/12,BKN,89-105,L,13,5,0.385,0,0,0.0,3,2,0.667,12,10,1,0,0,3,2,28
2389,20140211,Tue 2/11,DAL,114-89,W,23,14,0.609,1,0,0.0,3,2,0.667,30,8,2,2,0,0,1,34
2389,20140208,Sat 2/8,SA,100-104,L,21,12,0.571,0,0,0.0,2,2,1.0,26,9,3,3,4,3,3,38
2389,20140204,Tue 2/4,GS,91-75,W,22,12,0.545,0,0,0.0,10,6,0.6,30,13,3,0,2,3,2,39
2389,20140201,Sat 2/1,PHX,95-105,L,15,4,0.267,0,0,0.0,4,2,0.5,10,6,1,1,1,2,2,27
2389,20140131,Fri 1/31,LAL,110-100,W,32,18,0.563,0,0,0.0,6,4,0.667,40,18,4,0,3,3,2,39
