ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2596107,20150414,Tue 4/14,LAC,101-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150412,Sun 4/12,SA,91-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150410,Fri 4/10,NO,75-90,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150408,Wed 4/8,DAL,104-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150407,Tue 4/7,ATL,69-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150404,Sat 4/4,UTAH,87-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150402,Thu 4/2,GS,106-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150330,Mon 3/30,POR,86-109,L,8,3,0.375,0,0,0.0,0,0,0.0,6,4,1,0,0,1,0,25
2596107,20150329,Sun 3/29,OKC,97-109,L,3,1,0.333,0,0,0.0,0,0,0.0,2,11,0,2,0,3,3,25
2596107,20150327,Fri 3/27,POR,81-87,L,5,3,0.6,0,0,0.0,0,0,0.0,6,5,0,0,0,4,1,30
2596107,20150325,Wed 3/25,SAC,99-108,L,7,2,0.286,0,0,0.0,2,2,1.0,6,9,2,4,1,3,3,25
2596107,20150322,Sun 3/22,DAL,98-92,W,7,5,0.714,0,0,0.0,0,0,0.0,10,6,1,3,0,5,1,26
2596107,20150321,Sat 3/21,HOU,117-102,W,10,2,0.2,0,0,0.0,3,1,0.333,5,6,1,0,1,1,0,18
2596107,20150319,Thu 3/19,NO,74-72,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150315,Sun 3/15,NY,102-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150313,Fri 3/13,ATL,87-96,L,3,0,0.0,0,0,0.0,2,0,0.0,0,7,1,0,0,1,0,24
2596107,20150311,Wed 3/11,MIN,106-97,W,2,1,0.5,0,0,0.0,0,0,0.0,2,5,1,0,0,4,2,19
2596107,20150309,Mon 3/9,GS,80-98,L,6,3,0.5,0,0,0.0,4,4,1.0,10,11,0,1,0,4,4,28
2596107,20150307,Sat 3/7,CLE,79-89,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150306,Fri 3/6,BKN,108-100,W,2,1,0.5,0,0,0.0,5,3,0.6,5,6,0,0,0,4,0,17
2596107,20150304,Wed 3/4,ORL,105-100,W,5,1,0.2,0,0,0.0,0,0,0.0,2,4,0,0,0,3,3,22
2596107,20150302,Mon 3/2,MIA,98-115,L,9,4,0.444,0,0,0.0,2,2,1.0,10,11,1,0,2,3,0,27
2596107,20150228,Sat 2/28,SA,74-101,L,9,2,0.222,0,0,0.0,3,2,0.667,6,9,1,0,2,3,1,33
2596107,20150226,Thu 2/26,OKC,117-113,W,11,6,0.545,0,0,0.0,0,0,0.0,12,11,1,3,0,5,1,38
2596107,20150225,Wed 2/25,DEN,110-96,W,8,2,0.25,0,0,0.0,4,2,0.5,6,10,0,1,0,4,1,21
2596107,20150223,Mon 2/23,BOS,110-115,L,7,5,0.714,0,0,0.0,0,0,0.0,10,12,0,6,0,2,0,32
2596107,20150221,Sat 2/21,CHI,107-112,L,7,4,0.571,0,0,0.0,0,0,0.0,8,11,1,1,0,3,0,34
2596107,20150220,Fri 2/20,MIN,109-111,L,10,4,0.4,0,0,0.0,3,3,1.0,11,10,0,6,0,2,2,35
2596107,20150210,Tue 2/10,HOU,118-127,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150208,Sun 2/8,SAC,83-85,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150206,Fri 2/6,UTAH,100-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2596107,20150205,Thu 2/5,POR,87-108,L,3,2,0.667,0,0,0.0,1,1,1.0,5,4,1,1,2,2,2,9
