ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2531210,20160413,Wed 4/13,DEN,107-99,W,7,4,0.571,3,2,0.667,7,6,0.857,16,3,2,0,1,0,0,25
2531210,20160409,Sat 4/9,MIN,105-106,L,7,4,0.571,2,1,0.5,0,0,0.0,9,1,1,0,0,2,2,28
2531210,20160406,Wed 4/6,OKC,120-115,W,9,6,0.667,5,4,0.8,0,0,0.0,16,3,2,0,0,2,1,24
2531210,20160405,Tue 4/5,SAC,115-107,W,9,2,0.222,5,1,0.2,3,3,1.0,8,4,1,0,2,2,1,25
2531210,20160403,Sun 4/3,GS,111-136,L,4,1,0.25,2,0,0.0,2,2,1.0,4,1,1,0,0,1,0,24
2531210,20160402,Sat 4/2,MIA,110-93,W,8,2,0.25,1,1,1.0,0,0,0.0,5,1,0,1,0,3,0,26
2531210,20160331,Thu 3/31,BOS,116-109,W,6,3,0.5,5,3,0.6,2,2,1.0,11,4,2,1,1,2,1,28
2531210,20160328,Mon 3/28,SAC,105-93,W,10,8,0.8,4,3,0.75,3,2,0.667,21,4,1,1,1,2,1,21
2531210,20160326,Sat 3/26,PHI,108-105,W,8,2,0.25,3,0,0.0,0,0,0.0,4,1,1,0,0,0,0,23
2531210,20160324,Thu 3/24,LAC,94-96,L,11,2,0.182,5,2,0.4,2,1,0.5,7,4,3,0,0,3,2,30
2531210,20160323,Wed 3/23,DAL,109-103,W,4,2,0.5,2,2,1.0,0,0,0.0,6,2,1,1,1,2,0,21
2531210,20160320,Sun 3/20,DAL,120-132,L,13,7,0.538,10,6,0.6,5,4,0.8,24,5,0,0,0,4,1,36
2531210,20160318,Fri 3/18,NO,117-112,W,5,0,0.0,3,0,0.0,2,1,0.5,1,3,0,0,0,2,0,28
2531210,20160317,Thu 3/17,SA,110-118,L,5,2,0.4,1,0,0.0,0,0,0.0,4,2,1,0,0,4,0,26
