ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6585,20150415,Wed 4/15,NY,112-90,W,12,7,0.583,0,0,0.0,6,3,0.5,17,12,0,2,1,4,1,22
6585,20150413,Mon 4/13,CLE,97-109,L,13,10,0.769,0,0,0.0,5,0,0.0,20,9,0,3,0,3,1,39
6585,20150412,Sun 4/12,CHA,116-77,W,12,7,0.583,0,0,0.0,3,1,0.333,15,19,4,2,0,4,1,32
6585,20150410,Fri 4/10,IND,103-107,L,12,5,0.417,0,0,0.0,5,1,0.2,11,15,2,3,0,3,2,34
6585,20150408,Wed 4/8,BOS,103-113,L,19,11,0.579,1,0,0.0,3,0,0.0,22,14,0,1,0,4,4,27
6585,20150404,Sat 4/4,MIA,99-98,W,8,5,0.625,0,0,0.0,1,1,1.0,11,17,1,3,0,5,2,35
6585,20150403,Fri 4/3,CHI,82-88,L,12,5,0.417,0,0,0.0,6,4,0.667,14,22,0,6,0,6,4,43
6585,20150401,Wed 4/1,CHA,78-102,L,15,6,0.4,0,0,0.0,7,1,0.143,13,9,0,0,2,4,1,28
6585,20150331,Tue 3/31,ATL,105-95,W,11,8,0.727,0,0,0.0,11,6,0.545,22,13,1,1,2,1,1,31
6585,20150329,Sun 3/29,MIA,102-109,L,17,14,0.824,0,0,0.0,7,4,0.571,32,14,2,2,1,3,0,39
6585,20150327,Fri 3/27,ORL,111-97,W,9,7,0.778,0,0,0.0,5,2,0.4,16,9,0,2,1,3,1,28
6585,20150324,Tue 3/24,TOR,108-104,W,21,8,0.381,0,0,0.0,10,5,0.5,21,18,3,1,2,4,0,33
6585,20150322,Sun 3/22,BOS,105-97,W,17,8,0.471,0,0,0.0,11,2,0.182,18,22,2,4,0,4,0,40
6585,20150321,Sat 3/21,CHI,107-91,W,13,7,0.538,0,0,0.0,2,0,0.0,14,9,1,0,1,4,1,27
6585,20150318,Wed 3/18,PHI,83-94,L,8,3,0.375,0,0,0.0,3,3,1.0,9,14,0,2,1,4,1,32
6585,20150317,Tue 3/17,MEM,105-95,W,12,6,0.5,0,0,0.0,6,4,0.667,16,16,1,5,2,4,1,39
6585,20150314,Sat 3/14,UTAH,85-88,L,4,2,0.5,0,0,0.0,2,0,0.0,4,2,0,0,0,2,1,11
6585,20150313,Fri 3/13,POR,99-118,L,17,8,0.471,0,0,0.0,2,0,0.0,16,17,0,0,0,4,0,34
6585,20150311,Wed 3/11,GS,98-105,L,23,11,0.478,0,0,0.0,2,0,0.0,22,25,0,2,2,3,3,34
6585,20150310,Tue 3/10,LAL,85-93,L,12,7,0.583,0,0,0.0,0,0,0.0,14,21,0,2,1,1,1,32
6585,20150308,Sun 3/8,CHA,101-108,L,13,7,0.538,0,0,0.0,4,2,0.5,16,5,1,2,0,4,1,24
6585,20150306,Fri 3/6,HOU,93-103,L,16,4,0.25,0,0,0.0,3,0,0.0,8,21,2,2,0,4,2,31
6585,20150304,Wed 3/4,NO,85-88,L,13,6,0.462,0,0,0.0,2,1,0.5,13,18,1,6,1,5,2,34
6585,20150228,Sat 2/28,WSH,95-99,L,8,5,0.625,0,0,0.0,10,3,0.3,13,9,0,1,0,4,1,31
6585,20150227,Fri 2/27,NY,115-121,L,11,9,0.818,0,0,0.0,7,3,0.429,21,15,1,4,0,6,3,41
6585,20150224,Tue 2/24,CLE,93-102,L,14,8,0.571,0,0,0.0,6,1,0.167,17,10,0,1,1,3,2,34
6585,20150222,Sun 2/22,WSH,106-89,W,11,8,0.727,0,0,0.0,4,2,0.5,18,16,2,1,0,3,1,33
6585,20150220,Fri 2/20,CHI,100-91,W,18,7,0.389,0,0,0.0,13,4,0.308,18,20,1,0,1,5,2,39
6585,20150211,Wed 2/11,SA,87-104,L,10,4,0.4,0,0,0.0,6,2,0.333,10,9,0,2,0,4,0,34
6585,20150210,Tue 2/10,CHA,106-78,W,14,7,0.5,0,0,0.0,0,0,0.0,14,9,2,1,1,3,2,29
6585,20150208,Sun 2/8,MIN,101-112,L,8,8,1.0,0,0,0.0,4,1,0.25,17,14,1,2,2,6,5,29
6585,20150206,Fri 2/6,DEN,98-88,W,13,6,0.462,0,0,0.0,4,1,0.25,13,13,0,2,0,3,0,32
6585,20150204,Wed 2/4,IND,109-114,L,15,9,0.6,0,0,0.0,0,0,0.0,18,16,1,0,1,3,1,33
6585,20150203,Tue 2/3,MIA,108-91,W,11,6,0.545,0,0,0.0,2,2,1.0,14,14,1,2,0,2,0,34
6585,20150131,Sat 1/31,HOU,114-101,W,11,5,0.455,0,0,0.0,7,1,0.143,11,16,0,3,1,1,0,33
6585,20150128,Wed 1/28,PHI,69-89,L,7,3,0.429,0,0,0.0,0,0,0.0,6,7,0,1,1,4,3,19
6585,20150127,Tue 1/27,CLE,95-103,L,17,6,0.353,0,0,0.0,4,0,0.0,12,17,0,6,0,4,0,35
6585,20150125,Sun 1/25,TOR,110-114,L,11,7,0.636,0,0,0.0,1,0,0.0,14,8,1,1,0,1,1,27
6585,20150124,Sat 1/24,MIL,86-101,L,9,5,0.556,0,0,0.0,4,0,0.0,10,7,0,1,0,3,2,21
6585,20150121,Wed 1/21,ORL,128-118,W,14,10,0.714,0,0,0.0,8,6,0.75,26,17,1,3,4,5,5,30
6585,20150119,Mon 1/19,ATL,82-93,L,9,5,0.556,0,0,0.0,12,3,0.25,13,18,0,0,0,2,2,27
6585,20150117,Sat 1/17,PHI,107-89,W,15,4,0.267,0,0,0.0,0,0,0.0,8,15,0,3,1,4,0,30
6585,20150116,Fri 1/16,IND,98-96,W,14,6,0.429,0,0,0.0,4,4,1.0,16,16,2,0,0,5,2,29
6585,20150114,Wed 1/14,NO,94-105,L,4,1,0.25,0,0,0.0,0,0,0.0,2,2,0,2,1,2,0,22
6585,20150112,Mon 1/12,TOR,114-111,W,12,3,0.25,0,0,0.0,6,4,0.667,10,14,1,1,1,3,0,28
6585,20150110,Sat 1/10,BKN,98-93,W,9,6,0.667,0,0,0.0,3,2,0.667,14,9,0,2,1,2,2,28
6585,20150109,Fri 1/9,ATL,103-106,L,6,2,0.333,0,0,0.0,2,0,0.0,4,5,1,0,2,2,0,17
6585,20150107,Wed 1/7,DAL,108-95,W,11,3,0.273,0,0,0.0,0,0,0.0,6,19,1,1,1,3,0,30
6585,20150106,Tue 1/6,SA,105-104,W,10,8,0.8,0,0,0.0,9,4,0.444,20,17,0,1,2,3,4,35
6585,20150104,Sun 1/4,SAC,114-95,W,11,6,0.545,0,0,0.0,5,3,0.6,15,14,1,2,0,4,0,28
6585,20150102,Fri 1/2,NY,97-81,W,5,3,0.6,0,0,0.0,6,1,0.167,7,20,4,1,3,1,2,34
6585,20151230,Tue 12/30,ORL,109-86,W,11,6,0.545,0,0,0.0,16,5,0.313,17,22,2,3,2,1,0,31
6585,20151228,Sun 12/28,CLE,103-80,W,12,8,0.667,0,0,0.0,2,0,0.0,16,17,0,5,1,3,2,34
6585,20151226,Fri 12/26,IND,119-109,W,12,9,0.75,0,0,0.0,8,2,0.25,20,6,0,1,3,5,4,28
6585,20151221,Sun 12/21,BKN,105-110,L,15,7,0.467,0,0,0.0,8,4,0.5,18,20,0,1,0,4,2,28
6585,20151219,Fri 12/19,TOR,100-110,L,7,3,0.429,0,0,0.0,2,1,0.5,7,11,0,3,0,4,1,21
6585,20151217,Wed 12/17,DAL,106-117,L,16,9,0.563,1,0,0.0,6,1,0.167,19,24,1,3,4,6,2,41
6585,20151215,Mon 12/15,LAC,91-113,L,16,8,0.5,0,0,0.0,6,2,0.333,18,13,1,2,1,3,1,37
6585,20151213,Sat 12/13,SAC,95-90,W,10,6,0.6,0,0,0.0,1,0,0.0,12,10,0,1,2,4,0,26
6585,20151212,Fri 12/12,PHX,105-103,W,14,10,0.714,0,0,0.0,4,3,0.75,23,14,1,1,1,3,1,30
6585,20151209,Tue 12/9,POR,86-98,L,12,3,0.25,0,0,0.0,7,4,0.571,10,15,1,0,1,1,0,30
6585,20151207,Sun 12/7,OKC,94-96,L,12,7,0.583,0,0,0.0,4,2,0.5,16,9,0,1,2,4,0,32
6585,20151206,Sat 12/6,PHI,101-108,L,6,3,0.5,0,0,0.0,2,1,0.5,7,8,0,2,1,4,0,21
6585,20151203,Wed 12/3,BOS,102-109,L,18,12,0.667,0,0,0.0,8,3,0.375,27,14,0,5,4,6,2,42
