ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2386,20120426,Thu 4/26,DET,86-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2386,20120425,Wed 4/25,MIL,90-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2386,20120423,Mon 4/23,&nbsp;NJ,105-87,W,12,5,0.417,5,2,0.4,2,2,1.0,14,7,9,0,1,1,2,41
2386,20120421,Sat 4/21,IND,109-106,W,12,6,0.5,7,3,0.429,5,1,0.2,16,5,2,2,1,0,1,42
2386,20120418,Wed 4/18,CLE,103-87,W,15,8,0.533,8,3,0.375,1,0,0.0,19,13,7,1,2,0,4,34
2386,20120417,Tue 4/17,IND,97-102,L,12,8,0.667,4,3,0.75,7,4,0.571,23,7,6,0,1,1,3,37
2386,20120416,Mon 4/16,ORL,100-113,L,12,6,0.5,6,3,0.5,1,0,0.0,15,8,4,1,3,0,1,37
2386,20120413,Fri 4/13,&nbsp;NJ,89-95,L,7,3,0.429,3,0,0.0,6,5,0.833,11,4,4,0,1,3,3,37
2386,20120411,Wed 4/11,TOR,93-75,W,7,4,0.571,2,1,0.5,2,1,0.5,10,2,4,1,2,0,1,31
2386,20120410,Tue 4/10,&nbsp;NJ,107-88,W,11,4,0.364,4,1,0.25,4,4,1.0,13,4,7,0,2,0,3,35
2386,20120408,Sun 4/8,BOS,79-103,L,12,6,0.5,3,1,0.333,0,0,0.0,13,1,2,1,3,1,1,26
2386,20120407,Sat 4/7,ORL,82-88,L,9,2,0.222,3,0,0.0,4,2,0.5,6,4,10,1,1,0,3,43
2386,20120404,Wed 4/4,TOR,78-99,L,6,2,0.333,1,0,0.0,2,2,1.0,6,4,6,2,1,3,2,36
2386,20120403,Tue 4/3,MIA,93-99,L,7,5,0.714,2,1,0.5,0,0,0.0,11,5,1,0,2,1,1,26
2386,20120331,Sat 3/31,ATL,95-90,W,12,6,0.5,4,3,0.75,4,3,0.75,18,8,4,1,0,2,3,43
2386,20120330,Fri 3/30,WSH,76-97,L,9,3,0.333,3,1,0.333,1,0,0.0,7,3,3,0,1,0,2,33
2386,20120327,Tue 3/27,CLE,103-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2386,20120325,Sun 3/25,SA,76-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2386,20120323,Fri 3/23,BOS,99-86,W,10,5,0.5,3,1,0.333,4,3,0.75,14,6,8,0,1,0,2,39
2386,20120321,Wed 3/21,NY,79-82,L,9,4,0.444,3,2,0.667,6,3,0.5,13,8,6,1,0,2,2,39
2386,20120319,Mon 3/19,&nbsp;CHA,105-80,W,4,1,0.25,1,0,0.0,2,1,0.5,3,7,5,0,1,3,2,31
2386,20120317,Sat 3/17,CHI,80-89,L,10,3,0.3,4,1,0.25,0,0,0.0,7,4,3,0,2,3,1,38
2386,20120316,Fri 3/16,MIA,78-84,L,11,4,0.364,1,0,0.0,4,3,0.75,11,10,4,0,3,3,1,40
2386,20120314,Wed 3/14,IND,94-111,L,7,3,0.429,5,2,0.4,2,2,1.0,10,3,9,0,0,2,0,33
2386,20120311,Sun 3/11,NY,106-94,W,11,7,0.636,3,2,0.667,3,3,1.0,19,7,8,1,4,3,2,39
2386,20120309,Fri 3/9,UTAH,104-91,W,5,5,1.0,0,0,0.0,0,0,0.0,10,7,10,0,1,1,1,36
2386,20120307,Wed 3/7,BOS,103-71,W,11,5,0.455,1,0,0.0,0,0,0.0,10,7,8,0,2,1,1,29
