ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3059319,20150415,Wed 4/15,OKC,113-138,L,12,6,0.5,2,0,0.0,13,11,0.846,23,6,3,2,1,2,3,38
3059319,20150413,Mon 4/13,NO,88-100,L,16,5,0.313,2,0,0.0,8,5,0.625,15,6,2,1,0,1,2,44
3059319,20150411,Sat 4/11,GS,101-110,L,16,7,0.438,2,1,0.5,3,2,0.667,17,6,9,1,3,2,6,44
3059319,20150410,Fri 4/10,LAL,98-106,L,15,7,0.467,0,0,0.0,16,15,0.938,29,10,6,0,2,1,3,42
3059319,20150408,Wed 4/8,POR,91-116,L,22,9,0.409,1,0,0.0,15,11,0.733,29,5,4,0,0,2,0,41
3059319,20150407,Tue 4/7,SAC,111-116,L,20,11,0.55,1,0,0.0,5,4,0.8,26,8,0,0,0,4,3,39
3059319,20150403,Fri 4/3,ORL,84-97,L,12,6,0.5,0,0,0.0,13,10,0.769,22,2,3,1,1,0,5,37
3059319,20150401,Wed 4/1,TOR,99-113,L,20,8,0.4,1,0,0.0,10,9,0.9,25,5,5,2,1,2,3,44
3059319,20150330,Mon 3/30,UTAH,84-104,L,15,5,0.333,0,0,0.0,9,7,0.778,17,5,2,0,1,2,3,38
3059319,20150329,Sun 3/29,NO,88-110,L,15,6,0.4,1,0,0.0,9,8,0.889,20,6,2,0,0,5,5,39
3059319,20150327,Fri 3/27,HOU,110-120,L,17,9,0.529,2,1,0.5,15,12,0.8,31,4,4,0,0,1,3,41
3059319,20150325,Wed 3/25,LAL,99-101,L,16,8,0.5,2,1,0.5,11,10,0.909,27,6,4,2,2,1,2,49
3059319,20150323,Mon 3/23,UTAH,106-104,W,19,10,0.526,1,0,0.0,3,2,0.667,22,7,1,1,2,2,4,49
3059319,20150322,Sun 3/22,CHA,98-109,L,10,5,0.5,0,0,0.0,6,3,0.5,13,1,2,0,0,2,1,38
3059319,20150319,Thu 3/19,NY,95-92,W,17,4,0.235,0,0,0.0,14,12,0.857,20,7,1,1,2,1,3,43
3059319,20150318,Wed 3/18,TOR,100-105,L,9,6,0.667,1,0,0.0,4,3,0.75,15,3,0,0,0,5,3,32
3059319,20150316,Mon 3/16,BKN,106-122,L,13,5,0.385,1,0,0.0,4,3,0.75,13,6,3,0,0,1,3,38
3059319,20150315,Sun 3/15,SA,97-123,L,10,4,0.4,0,0,0.0,6,5,0.833,13,5,1,1,0,2,2,37
3059319,20150313,Fri 3/13,OKC,99-113,L,13,4,0.308,2,0,0.0,12,11,0.917,19,5,1,0,0,1,2,38
3059319,20150311,Wed 3/11,PHX,97-106,L,11,5,0.455,1,0,0.0,0,0,0.0,10,4,1,0,1,1,0,29
3059319,20150309,Mon 3/9,LAC,76-89,L,14,5,0.357,2,0,0.0,2,1,0.5,11,5,0,0,0,3,3,32
3059319,20150307,Sat 3/7,POR,121-113,W,15,8,0.533,1,1,1.0,2,1,0.5,18,4,2,1,3,1,0,41
3059319,20150304,Wed 3/4,DEN,85-100,L,16,8,0.5,2,0,0.0,8,4,0.5,20,5,1,1,0,3,0,38
3059319,20150302,Mon 3/2,LAC,105-110,L,16,5,0.313,0,0,0.0,10,8,0.8,18,3,4,1,2,1,2,42
3059319,20150228,Sat 2/28,MEM,97-101,L,22,10,0.455,0,0,0.0,6,5,0.833,25,4,2,0,1,3,2,42
3059319,20150227,Fri 2/27,CHI,89-96,L,11,5,0.455,0,0,0.0,10,4,0.4,14,4,1,0,2,5,1,33
3059319,20150225,Wed 2/25,WSH,97-77,W,13,6,0.462,2,0,0.0,9,7,0.778,19,3,1,2,1,0,2,36
3059319,20150223,Mon 2/23,HOU,102-113,L,24,12,0.5,3,1,0.333,5,5,1.0,30,6,1,1,1,5,5,41
3059319,20150220,Fri 2/20,PHX,111-109,W,15,9,0.6,1,0,0.0,2,2,1.0,20,2,2,1,1,2,2,37
3059319,20150211,Wed 2/11,GS,91-94,L,7,3,0.429,1,0,0.0,0,0,0.0,6,4,4,0,2,3,1,38
3059319,20150209,Mon 2/9,ATL,105-117,L,14,6,0.429,2,0,0.0,4,3,0.75,15,6,3,2,0,3,3,37
3059319,20150208,Sun 2/8,DET,112-101,W,12,6,0.5,1,1,1.0,7,5,0.714,18,8,5,1,0,3,2,39
3059319,20150206,Fri 2/6,MEM,90-89,W,11,6,0.545,1,0,0.0,7,6,0.857,18,6,2,0,1,4,3,43
3059319,20150204,Wed 2/4,MIA,102-101,W,8,2,0.25,0,0,0.0,2,2,1.0,6,5,1,1,0,4,0,37
3059319,20150202,Mon 2/2,DAL,94-100,L,14,4,0.286,0,0,0.0,7,6,0.857,14,5,3,1,2,4,4,43
3059319,20150131,Sat 1/31,CLE,90-106,L,25,14,0.56,4,3,0.75,3,2,0.667,33,1,1,0,4,1,1,43
