ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6583,20150415,Wed 4/15,SA,108-103,W,26,12,0.462,0,0,0.0,9,7,0.778,31,13,2,3,2,1,6,43
6583,20150413,Mon 4/13,MIN,100-88,W,14,8,0.571,0,0,0.0,8,8,1.0,24,11,5,6,2,3,1,36
6583,20150412,Sun 4/12,HOU,114-121,L,16,10,0.625,0,0,0.0,10,7,0.7,27,7,4,1,2,4,1,40
6583,20150410,Fri 4/10,PHX,90-75,W,12,7,0.583,0,0,0.0,11,5,0.455,19,9,4,1,1,0,0,23
6583,20150408,Wed 4/8,MEM,74-110,L,9,5,0.556,0,0,0.0,2,2,1.0,12,5,1,2,1,2,0,28
6583,20150407,Tue 4/7,GS,103-100,W,21,10,0.476,2,0,0.0,12,9,0.75,29,10,2,4,2,1,0,40
6583,20150404,Sat 4/4,POR,90-99,L,20,8,0.4,0,0,0.0,3,3,1.0,19,9,2,4,3,2,2,37
6583,20150403,Fri 4/3,SAC,101-95,W,17,6,0.353,0,0,0.0,10,8,0.8,20,10,3,2,0,3,1,35
6583,20150401,Wed 4/1,LAL,113-92,W,15,9,0.6,0,0,0.0,2,2,1.0,20,7,6,4,1,1,1,35
6583,20150329,Sun 3/29,MIN,110-88,W,21,10,0.476,0,0,0.0,10,8,0.8,28,9,5,1,2,3,0,37
6583,20150327,Fri 3/27,SAC,102-88,W,26,11,0.423,0,0,0.0,3,2,0.667,24,9,2,6,1,3,2,41
6583,20150325,Wed 3/25,HOU,93-95,L,18,9,0.5,0,0,0.0,14,6,0.429,24,14,1,3,3,1,0,44
6583,20150322,Sun 3/22,LAC,100-107,L,13,11,0.846,0,0,0.0,5,4,0.8,26,12,5,2,2,4,2,39
6583,20150320,Fri 3/20,GS,96-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150319,Thu 3/19,PHX,72-74,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150317,Tue 3/17,MIL,85-84,W,18,6,0.333,0,0,0.0,9,8,0.889,20,12,4,3,1,4,2,42
6583,20150315,Sun 3/15,DEN,111-118,L,28,16,0.571,1,0,0.0,6,4,0.667,36,14,7,9,1,1,2,50
6583,20150310,Tue 3/10,BKN,111-91,W,16,5,0.313,0,0,0.0,6,5,0.833,15,6,5,3,0,2,0,28
6583,20150309,Mon 3/9,MIL,114-103,W,23,17,0.739,0,0,0.0,11,9,0.818,43,10,6,2,1,3,4,41
6583,20150307,Sat 3/7,MEM,95-89,W,21,11,0.524,0,0,0.0,1,1,1.0,23,10,1,5,0,4,2,40
6583,20150306,Fri 3/6,BOS,98-104,L,21,11,0.524,0,0,0.0,8,7,0.875,29,14,2,3,1,2,3,42
6583,20150304,Wed 3/4,DET,88-85,W,30,17,0.567,0,0,0.0,7,5,0.714,39,13,2,8,3,1,1,42
6583,20150302,Mon 3/2,DAL,93-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150301,Sun 3/1,DEN,99-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150227,Fri 2/27,MIA,104-102,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150225,Wed 2/25,BKN,102-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150223,Mon 2/23,TOR,100-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150221,Sat 2/21,MIA,105-91,W,8,2,0.25,0,0,0.0,2,2,1.0,6,6,0,0,0,0,1,9
6583,20150220,Fri 2/20,ORL,84-95,L,15,5,0.333,0,0,0.0,4,3,0.75,13,11,1,2,0,1,4,38
6583,20150211,Wed 2/11,IND,93-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150209,Mon 2/9,UTAH,96-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150207,Sat 2/7,CHI,72-107,L,11,4,0.364,0,0,0.0,0,0,0.0,8,5,1,1,1,0,0,13
6583,20150206,Fri 2/6,OKC,116-113,W,23,15,0.652,1,1,1.0,10,10,1.0,41,10,3,2,0,2,3,44
6583,20150204,Wed 2/4,OKC,91-102,L,21,9,0.429,0,0,0.0,6,5,0.833,23,9,2,1,1,0,0,39
6583,20150202,Mon 2/2,ATL,115-100,W,23,12,0.522,0,0,0.0,7,5,0.714,29,13,3,2,1,2,2,34
6583,20150130,Fri 1/30,LAC,108-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150128,Wed 1/28,DEN,85-93,L,15,8,0.533,0,0,0.0,10,8,0.8,24,12,2,2,0,2,0,37
6583,20150126,Mon 1/26,PHI,99-74,W,19,12,0.632,0,0,0.0,8,8,1.0,32,10,3,4,3,3,0,31
6583,20150125,Sun 1/25,DAL,109-106,W,18,8,0.444,0,0,0.0,14,12,0.857,28,10,3,1,5,3,1,39
6583,20150123,Fri 1/23,MIN,92-84,W,23,9,0.391,0,0,0.0,4,3,0.75,21,12,0,1,2,2,1,42
6583,20150121,Wed 1/21,LAL,96-80,W,18,11,0.611,0,0,0.0,8,7,0.875,29,8,1,4,3,2,3,37
6583,20150119,Mon 1/19,NY,92-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150118,Sun 1/18,TOR,95-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150116,Fri 1/16,PHI,81-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20150114,Wed 1/14,DET,105-94,W,18,11,0.611,1,0,0.0,5,5,1.0,27,10,1,4,1,2,1,35
6583,20150112,Mon 1/12,BOS,100-108,L,23,10,0.435,0,0,0.0,15,14,0.933,34,9,4,3,0,5,0,40
6583,20150109,Fri 1/9,MEM,106-95,W,16,7,0.438,0,0,0.0,6,6,1.0,20,10,2,3,0,3,1,37
6583,20150107,Wed 1/7,CHA,94-98,L,24,15,0.625,0,0,0.0,2,2,1.0,32,12,1,4,0,3,1,42
6583,20150105,Mon 1/5,WSH,85-92,L,12,9,0.75,0,0,0.0,4,3,0.75,21,10,2,1,0,3,3,39
6583,20150102,Fri 1/2,HOU,111-83,W,7,2,0.286,0,0,0.0,3,3,1.0,7,8,3,3,2,1,3,31
6583,20151231,Wed 12/31,SA,93-95,L,12,8,0.667,0,0,0.0,6,5,0.833,21,12,0,1,4,4,2,40
6583,20151230,Tue 12/30,PHX,110-106,W,15,7,0.467,0,0,0.0,5,5,1.0,19,18,2,1,0,2,1,42
6583,20151227,Sat 12/27,CHI,100-107,L,24,13,0.542,0,0,0.0,3,3,1.0,29,11,2,6,0,2,1,41
6583,20151226,Fri 12/26,SA,97-90,W,19,8,0.421,0,0,0.0,6,6,1.0,22,12,3,5,2,1,1,38
6583,20151223,Tue 12/23,IND,84-96,L,18,8,0.444,0,0,0.0,6,5,0.833,21,9,0,1,0,2,1,37
6583,20151221,Sun 12/21,OKC,101-99,W,22,16,0.727,1,0,0.0,7,6,0.857,38,12,2,3,1,3,3,37
6583,20151220,Sat 12/20,POR,88-114,L,14,3,0.214,0,0,0.0,1,1,1.0,7,6,0,5,1,1,1,28
6583,20151218,Thu 12/18,HOU,99-90,W,17,10,0.588,0,0,0.0,12,10,0.833,30,14,3,5,2,0,1,41
6583,20151216,Tue 12/16,UTAH,119-111,W,15,12,0.8,0,0,0.0,7,7,1.0,31,9,1,3,1,2,2,35
6583,20151214,Sun 12/14,GS,122-128,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6583,20151212,Fri 12/12,CLE,119-114,W,4,4,1.0,0,0,0.0,2,0,0.0,8,1,0,0,0,0,0,7
6583,20151210,Wed 12/10,DAL,107-112,L,20,11,0.55,0,0,0.0,9,9,1.0,31,11,2,2,0,3,1,40
6583,20151209,Tue 12/9,NY,104-93,W,14,6,0.429,0,0,0.0,9,6,0.667,18,8,1,3,1,3,1,33
6583,20151207,Sun 12/7,LAL,104-87,W,15,11,0.733,0,0,0.0,2,1,0.5,23,6,0,2,1,3,1,32
6583,20151206,Sat 12/6,LAC,100-120,L,15,9,0.6,0,0,0.0,9,8,0.889,26,3,0,1,0,3,0,33
6583,20151204,Thu 12/4,GS,85-112,L,19,14,0.737,0,0,0.0,4,2,0.5,30,15,3,3,2,2,2,38
6583,20151202,Tue 12/2,OKC,112-104,W,15,8,0.533,0,0,0.0,16,9,0.563,25,10,4,4,6,2,1,39
6583,20151129,Sat 11/29,WSH,80-83,L,18,11,0.611,1,0,0.0,9,8,0.889,30,13,0,0,1,2,4,40
6583,20151128,Fri 11/28,ATL,91-100,L,14,5,0.357,0,0,0.0,5,4,0.8,14,11,1,1,3,3,2,31
6583,20151125,Tue 11/25,SAC,89-99,L,12,4,0.333,0,0,0.0,8,6,0.75,14,9,2,2,1,2,0,38
6583,20151122,Sat 11/22,UTAH,106-94,W,23,16,0.696,0,0,0.0,12,11,0.917,43,14,0,1,2,1,2,40
6583,20151121,Fri 11/21,DEN,97-117,L,17,7,0.412,1,0,0.0,4,4,1.0,18,9,2,2,1,3,4,32
6583,20151118,Tue 11/18,SAC,106-100,W,19,11,0.579,0,0,0.0,8,6,0.75,28,9,0,3,2,5,0,41
6583,20151117,Mon 11/17,POR,93-102,L,20,14,0.7,2,0,0.0,4,3,0.75,31,11,3,3,3,3,0,38
6583,20151114,Fri 11/14,MIN,139-91,W,13,9,0.692,0,0,0.0,5,4,0.8,22,4,3,2,2,0,0,27
6583,20151112,Wed 11/12,LAL,109-102,W,16,12,0.75,0,0,0.0,4,1,0.25,25,12,1,6,1,1,3,37
6583,20151110,Mon 11/10,CLE,111-118,L,21,12,0.571,2,0,0.0,4,3,0.75,27,14,4,3,4,1,0,40
6583,20151108,Sat 11/8,SA,100-99,W,17,10,0.588,0,0,0.0,8,7,0.875,27,11,1,6,4,2,4,37
6583,20151104,Tue 11/4,CHA,100-91,W,17,10,0.588,0,0,0.0,4,4,1.0,24,13,2,3,1,0,1,37
6583,20151103,Mon 11/3,MEM,81-93,L,12,6,0.5,0,0,0.0,2,2,1.0,14,8,2,1,1,3,1,32
6583,20151101,Sat 11/1,DAL,104-109,L,21,9,0.429,0,0,0.0,16,13,0.813,31,15,2,3,2,2,1,43
6583,20151028,Tue 10/28,ORL,101-84,W,22,10,0.455,0,0,0.0,9,6,0.667,26,17,2,9,3,1,0,36
6583,20151023,Thu 10/23,DAL,88-85,W,9,4,0.444,0,0,0.0,8,5,0.625,13,6,2,2,2,0,0,21
6583,20151020,Mon 10/20,WSH,88-84,W,8,7,0.875,0,0,0.0,0,0,0.0,14,8,1,2,0,0,1,21
6583,20151016,Thu 10/16,OKC,120-86,W,15,10,0.667,0,0,0.0,8,8,1.0,28,8,2,1,0,1,1,26
6583,20151014,Tue 10/14,HOU,117-98,W,11,9,0.818,1,0,0.0,10,8,0.8,26,8,0,4,1,1,1,31
6583,20151008,Wed 10/8,WSH,89-94,L,13,5,0.385,0,0,0.0,2,1,0.5,11,8,1,0,1,2,0,26
6583,20151006,Mon 10/6,ATL,87-93,L,12,5,0.417,0,0,0.0,1,1,1.0,11,6,1,1,2,2,0,25
6583,20151004,Sat 10/4,MIA,98-86,W,4,2,0.5,0,0,0.0,2,1,0.5,5,4,0,3,0,0,1,11
