ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3276,20150415,Wed 4/15,NY,112-90,W,9,4,0.444,5,2,0.4,0,0,0.0,10,6,0,0,1,2,1,30
3276,20150413,Mon 4/13,CLE,97-109,L,7,2,0.286,4,0,0.0,0,0,0.0,4,7,3,0,0,1,0,25
3276,20150412,Sun 4/12,CHA,116-77,W,7,6,0.857,6,5,0.833,0,0,0.0,17,4,0,0,0,5,2,19
3276,20150410,Fri 4/10,IND,103-107,L,9,2,0.222,8,2,0.25,0,0,0.0,6,3,1,0,0,1,0,25
3276,20150408,Wed 4/8,BOS,103-113,L,4,1,0.25,3,0,0.0,1,1,1.0,3,2,1,0,0,4,0,19
3276,20150404,Sat 4/4,MIA,99-98,W,11,5,0.455,9,5,0.556,0,0,0.0,15,2,1,0,0,5,2,35
3276,20150403,Fri 4/3,CHI,82-88,L,8,3,0.375,6,3,0.5,0,0,0.0,9,7,0,1,1,2,1,28
3276,20150401,Wed 4/1,CHA,78-102,L,8,4,0.5,5,2,0.4,0,0,0.0,10,8,4,0,1,1,2,31
3276,20150331,Tue 3/31,ATL,105-95,W,9,4,0.444,7,3,0.429,2,2,1.0,13,10,1,0,0,1,1,40
3276,20150329,Sun 3/29,MIA,102-109,L,6,3,0.5,4,1,0.25,0,0,0.0,7,2,4,0,1,2,1,28
3276,20150327,Fri 3/27,ORL,111-97,W,6,4,0.667,5,3,0.6,0,0,0.0,11,4,2,0,0,1,0,31
3276,20150324,Tue 3/24,TOR,108-104,W,5,3,0.6,5,3,0.6,2,2,1.0,11,1,1,0,0,6,0,26
3276,20150322,Sun 3/22,BOS,105-97,W,7,0,0.0,3,0,0.0,0,0,0.0,0,2,3,1,0,2,0,25
3276,20150321,Sat 3/21,CHI,107-91,W,7,2,0.286,4,0,0.0,0,0,0.0,4,6,1,0,1,4,0,22
3276,20150318,Wed 3/18,PHI,83-94,L,5,3,0.6,4,2,0.5,2,1,0.5,9,5,0,1,0,2,2,34
3276,20150317,Tue 3/17,MEM,105-95,W,12,4,0.333,9,4,0.444,4,3,0.75,15,7,0,0,1,2,1,32
3276,20150314,Sat 3/14,UTAH,85-88,L,12,5,0.417,8,2,0.25,3,2,0.667,14,3,1,0,0,3,0,28
3276,20150313,Fri 3/13,POR,99-118,L,6,1,0.167,4,0,0.0,0,0,0.0,2,2,0,0,1,2,1,22
3276,20150311,Wed 3/11,GS,98-105,L,2,1,0.5,0,0,0.0,0,0,0.0,2,0,0,0,1,0,0,7
3276,20150310,Tue 3/10,LAL,85-93,L,7,1,0.143,6,1,0.167,2,2,1.0,5,2,1,2,0,1,0,22
3276,20150308,Sun 3/8,CHA,101-108,L,3,2,0.667,1,0,0.0,0,0,0.0,4,3,0,0,0,3,0,17
3276,20150306,Fri 3/6,HOU,93-103,L,7,1,0.143,6,0,0.0,0,0,0.0,2,3,0,0,1,2,0,19
3276,20150304,Wed 3/4,NO,85-88,L,6,2,0.333,4,1,0.25,0,0,0.0,5,2,0,0,0,3,2,14
3276,20150228,Sat 2/28,WSH,95-99,L,8,3,0.375,8,3,0.375,0,0,0.0,9,3,1,0,0,0,0,27
3276,20150227,Fri 2/27,NY,115-121,L,7,2,0.286,6,2,0.333,0,0,0.0,6,5,0,2,0,3,1,24
3276,20150224,Tue 2/24,CLE,93-102,L,5,2,0.4,4,1,0.25,4,1,0.25,6,3,1,0,0,2,0,28
3276,20150222,Sun 2/22,WSH,106-89,W,5,3,0.6,4,3,0.75,4,4,1.0,13,6,2,0,1,2,2,26
3276,20150220,Fri 2/20,CHI,100-91,W,3,0,0.0,3,0,0.0,0,0,0.0,0,5,2,0,0,3,1,21
