ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3187,20140416,Wed 4/16,IND,86-101,L,2,2,1.0,1,1,1.0,2,2,1.0,7,1,1,0,1,0,1,6
3187,20140414,Mon 4/14,CHI,95-108,L,7,5,0.714,1,1,1.0,2,2,1.0,13,1,1,0,0,2,2,22
3187,20140413,Sun 4/13,BKN,88-97,L,7,2,0.286,2,1,0.5,0,0,0.0,5,0,5,0,0,1,0,21
3187,20140411,Fri 4/11,WSH,86-96,L,14,6,0.429,4,1,0.25,6,6,1.0,19,2,1,0,1,0,2,31
3187,20140409,Wed 4/9,BKN,115-111,W,16,9,0.563,5,2,0.4,8,5,0.625,25,4,5,0,0,4,1,33
3187,20140405,Sat 4/5,MIN,100-92,W,15,8,0.533,4,1,0.25,4,1,0.25,18,3,2,0,0,2,4,30
3187,20140404,Fri 4/4,&nbsp;CHA,80-91,L,10,2,0.2,2,0,0.0,4,4,1.0,8,3,0,0,0,1,1,23
3187,20140402,Wed 4/2,CLE,98-119,L,10,3,0.3,5,1,0.2,0,0,0.0,7,4,5,1,0,0,0,29
3187,20140330,Sun 3/30,TOR,93-98,L,9,3,0.333,4,1,0.25,2,1,0.5,8,2,2,0,0,3,2,36
3187,20140328,Fri 3/28,&nbsp;CHA,110-105,W,9,3,0.333,4,2,0.5,10,9,0.9,17,2,1,0,0,1,3,39
3187,20140325,Tue 3/25,POR,95-85,W,9,3,0.333,0,0,0.0,5,4,0.8,10,3,5,0,0,2,5,34
3187,20140323,Sun 3/23,LAL,94-103,L,15,6,0.4,5,2,0.4,4,4,1.0,18,2,5,0,0,0,2,37
3187,20140322,Sat 3/22,UTAH,88-89,L,9,4,0.444,4,3,0.75,9,7,0.778,18,2,6,0,0,4,0,36
3187,20140319,Wed 3/19,PHX,93-109,L,10,6,0.6,4,3,0.75,5,5,1.0,20,3,1,0,0,2,2,39
3187,20140318,Tue 3/18,GS,89-103,L,7,2,0.286,0,0,0.0,0,0,0.0,4,1,1,0,0,1,2,22
3187,20140314,Fri 3/14,WSH,101-105,L,21,7,0.333,5,2,0.4,2,2,1.0,18,5,3,0,0,4,2,42
3187,20140312,Wed 3/12,DEN,112-120,L,18,10,0.556,5,2,0.4,2,2,1.0,24,1,2,0,0,5,0,35
3187,20140310,Mon 3/10,MIL,98-105,L,14,4,0.286,5,1,0.2,6,3,0.5,12,4,4,0,1,3,2,34
3187,20140308,Sat 3/8,SA,112-121,L,18,7,0.389,3,2,0.667,1,1,1.0,17,3,4,0,0,3,3,35
3187,20140305,Wed 3/5,HOU,89-101,L,16,8,0.5,4,0,0.0,2,2,1.0,18,2,4,0,1,4,4,31
3187,20140302,Sun 3/2,PHI,92-81,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
