ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4240,20160413,Wed 4/13,MIA,98-88,W,12,8,0.667,2,1,0.5,0,0,0.0,17,7,0,0,1,2,1,31
4240,20160411,Mon 4/11,CHA,100-114,L,12,7,0.583,5,3,0.6,0,0,0.0,17,2,1,0,0,4,1,24
4240,20160409,Sat 4/9,ATL,107-118,L,17,6,0.353,7,2,0.286,2,1,0.5,15,4,2,1,3,4,0,35
4240,20160408,Fri 4/8,MIL,124-109,W,10,6,0.6,3,2,0.667,4,2,0.5,16,2,2,0,0,1,1,25
4240,20160406,Wed 4/6,NO,104-97,W,15,5,0.333,6,1,0.167,3,2,0.667,13,6,3,0,3,0,1,34
4240,20160403,Sun 4/3,LAL,107-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4240,20160401,Fri 4/1,GS,109-106,W,12,5,0.417,5,1,0.2,6,4,0.667,15,3,4,1,2,3,0,35
4240,20160331,Thu 3/31,POR,109-116,L,18,8,0.444,2,0,0.0,4,4,1.0,20,4,2,0,2,4,1,35
4240,20160328,Mon 3/28,LAC,90-114,L,11,5,0.455,4,3,0.75,1,0,0.0,13,1,2,1,3,0,3,31
4240,20160326,Sat 3/26,PHX,102-99,W,16,5,0.313,7,1,0.143,4,4,1.0,15,3,1,0,1,4,0,32
4240,20160323,Wed 3/23,TOR,91-79,W,14,7,0.5,4,2,0.5,0,0,0.0,16,8,2,0,0,1,1,37
4240,20160321,Mon 3/21,ORL,107-96,W,15,9,0.6,4,1,0.25,4,3,0.75,22,9,3,0,1,1,3,37
4240,20160320,Sun 3/20,PHI,120-105,W,13,7,0.538,5,3,0.6,3,3,1.0,20,3,4,1,4,2,0,39
4240,20160318,Fri 3/18,TOR,91-105,L,13,4,0.308,2,0,0.0,0,0,0.0,8,4,2,1,3,1,1,33
4240,20160316,Wed 3/16,OKC,109-130,L,11,5,0.455,1,0,0.0,5,4,0.8,14,2,2,0,1,3,1,26
4240,20160315,Tue 3/15,IND,98-103,L,13,5,0.385,2,0,0.0,0,0,0.0,10,3,2,0,1,4,2,39
4240,20160311,Fri 3/11,HOU,98-102,L,17,7,0.412,8,1,0.125,2,1,0.5,16,3,2,0,2,5,2,38
4240,20160309,Wed 3/9,MEM,116-96,W,14,6,0.429,8,3,0.375,0,0,0.0,15,2,3,0,0,3,0,36
4240,20160305,Sat 3/5,CLE,103-120,L,12,4,0.333,6,2,0.333,2,2,1.0,12,4,5,0,1,2,5,37
4240,20160304,Fri 3/4,NY,105-104,W,10,4,0.4,3,1,0.333,0,0,0.0,9,2,0,0,2,0,0,33
4240,20160302,Wed 3/2,POR,116-93,W,14,7,0.5,4,1,0.25,2,2,1.0,17,1,1,0,3,3,0,30
4240,20160229,Mon 2/29,UTAH,100-95,W,13,7,0.538,3,1,0.333,4,3,0.75,18,2,0,1,1,0,0,37
4240,20160227,Sat 2/27,MIA,101-89,W,8,3,0.375,3,1,0.333,2,2,1.0,9,1,2,0,1,3,2,36
4240,20160225,Thu 2/25,MIL,112-107,W,12,7,0.583,4,1,0.25,3,3,1.0,18,3,2,0,2,0,4,40
4240,20160222,Mon 2/22,MIN,122-124,L,17,9,0.529,9,4,0.444,0,0,0.0,22,2,2,0,3,4,1,33
4240,20160221,Sun 2/21,DEN,121-101,W,15,8,0.533,8,3,0.375,1,1,1.0,20,2,1,0,0,2,2,32
4240,20160219,Fri 2/19,UTAH,93-111,L,12,5,0.417,6,2,0.333,0,0,0.0,12,4,2,0,1,2,2,34
4240,20160210,Wed 2/10,LAC,139-134,W,14,7,0.5,6,3,0.5,1,1,1.0,18,1,0,0,1,4,2,44
4240,20160209,Tue 2/9,MIL,111-112,L,12,7,0.583,9,4,0.444,0,0,0.0,18,4,4,0,2,2,3,38
4240,20160207,Sun 2/7,SAC,128-119,W,16,9,0.563,7,6,0.857,2,1,0.5,25,3,3,0,0,0,1,34
4240,20160205,Fri 2/5,CLE,104-103,W,12,5,0.417,8,4,0.5,0,0,0.0,14,3,1,1,0,3,2,36
4240,20160203,Wed 2/3,DET,102-95,W,15,7,0.467,2,1,0.5,0,0,0.0,15,4,3,0,0,1,1,36
4240,20160202,Tue 2/2,NY,97-89,W,13,3,0.231,3,0,0.0,0,0,0.0,6,3,4,1,0,4,1,30
4240,20160131,Sun 1/31,ORL,114-119,L,21,8,0.381,12,3,0.25,3,3,1.0,22,4,2,0,3,0,2,39
4240,20160129,Fri 1/29,ORL,113-94,W,9,3,0.333,4,0,0.0,0,0,0.0,6,2,1,0,1,3,0,33
4240,20160127,Wed 1/27,DEN,111-103,W,20,11,0.55,13,5,0.385,0,0,0.0,27,3,1,1,4,4,1,39
4240,20160125,Mon 1/25,WSH,116-91,W,11,5,0.455,4,1,0.25,0,0,0.0,11,2,3,0,2,4,1,26
4240,20160124,Sun 1/24,PHI,112-92,W,13,7,0.538,4,3,0.75,2,2,1.0,19,2,4,0,1,2,3,30
4240,20160122,Fri 1/22,CHI,110-101,W,14,8,0.571,4,2,0.5,4,3,0.75,21,1,4,0,4,0,1,36
4240,20160120,Wed 1/20,TOR,109-115,L,14,9,0.643,4,1,0.25,0,0,0.0,19,2,1,0,1,1,3,36
4240,20160118,Mon 1/18,DAL,113-118,L,16,6,0.375,8,4,0.5,4,3,0.75,19,8,5,0,1,3,0,43
4240,20160116,Sat 1/16,WSH,119-117,W,13,4,0.308,6,1,0.167,0,0,0.0,9,2,4,0,2,2,1,35
4240,20160115,Fri 1/15,PHX,117-103,W,21,7,0.333,4,1,0.25,4,2,0.5,17,7,3,0,2,2,1,38
4240,20160113,Wed 1/13,IND,103-94,W,17,5,0.294,4,0,0.0,2,1,0.5,11,3,6,0,2,1,3,41
4240,20160112,Tue 1/12,NY,114-120,L,12,5,0.417,3,0,0.0,0,0,0.0,10,2,1,1,0,3,3,38
4240,20160110,Sun 1/10,MEM,98-101,L,12,5,0.417,3,0,0.0,6,4,0.667,14,2,0,0,2,4,2,38
4240,20160107,Thu 1/7,CHI,92-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4240,20160106,Wed 1/6,DET,94-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4240,20160104,Mon 1/4,BKN,103-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4240,20160102,Sat 1/2,BKN,97-100,L,4,1,0.25,2,0,0.0,0,0,0.0,2,2,0,0,0,1,1,11
4240,20161230,Wed 12/30,LAL,104-112,L,16,6,0.375,7,1,0.143,0,0,0.0,13,4,1,0,2,0,1,35
4240,20161227,Sun 12/27,NY,100-91,W,7,3,0.429,1,0,0.0,0,0,0.0,6,1,2,1,1,1,0,31
4240,20161226,Sat 12/26,DET,99-93,W,14,6,0.429,10,3,0.3,3,3,1.0,18,4,1,0,3,2,0,31
4240,20161223,Wed 12/23,CHA,102-89,W,14,7,0.5,5,2,0.4,2,2,1.0,18,2,0,0,1,1,1,36
4240,20161221,Mon 12/21,MIN,113-99,W,14,5,0.357,6,2,0.333,1,1,1.0,13,3,1,1,1,0,2,30
