ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6427,20160413,Wed 4/13,BKN,103-96,W,3,1,0.333,0,0,0.0,2,1,0.5,3,5,1,2,0,1,0,12
6427,20160412,Tue 4/12,PHI,122-98,W,8,6,0.75,0,0,0.0,2,2,1.0,14,7,0,1,0,2,0,22
6427,20160410,Sun 4/10,NY,93-89,W,1,1,1.0,0,0,0.0,2,0,0.0,2,8,1,0,0,3,1,20
6427,20160408,Fri 4/8,IND,111-98,W,1,1,1.0,0,0,0.0,0,0,0.0,2,4,0,0,0,0,0,10
6427,20160407,Thu 4/7,ATL,87-95,L,8,3,0.375,0,0,0.0,5,4,0.8,10,9,1,1,0,0,1,22
6427,20160405,Tue 4/5,CHA,96-90,W,5,1,0.2,0,0,0.0,6,1,0.167,3,7,0,3,0,2,0,20
6427,20160402,Sat 4/2,SA,95-102,L,2,1,0.5,0,0,0.0,0,0,0.0,2,6,0,1,0,4,0,19
6427,20160401,Fri 4/1,MEM,99-95,W,1,1,1.0,0,0,0.0,0,0,0.0,2,1,0,1,0,5,2,12
6427,20160330,Wed 3/30,ATL,105-97,W,1,1,1.0,0,0,0.0,6,5,0.833,7,6,0,1,2,1,0,17
6427,20160328,Mon 3/28,OKC,100-119,L,4,2,0.5,0,0,0.0,5,3,0.6,7,7,0,1,0,3,0,18
6427,20160326,Sat 3/26,NO,115-91,W,1,1,1.0,0,0,0.0,6,5,0.833,7,5,0,2,0,3,1,19
6427,20160325,Fri 3/25,HOU,109-112,L,3,2,0.667,0,0,0.0,2,2,1.0,6,4,1,2,1,2,0,18
6427,20160323,Wed 3/23,BOS,79-91,L,3,0,0.0,0,0,0.0,2,0,0.0,0,13,1,1,0,3,0,27
6427,20160320,Sun 3/20,ORL,105-100,W,7,5,0.714,0,0,0.0,6,2,0.333,12,11,1,6,0,4,1,36
6427,20160318,Fri 3/18,BOS,105-91,W,4,1,0.25,0,0,0.0,2,2,1.0,4,11,2,2,0,3,0,24
