ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3989,20140416,Wed 4/16,POR,104-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3989,20140415,Tue 4/15,DEN,117-105,W,17,9,0.529,1,0,0.0,6,6,1.0,24,5,4,1,2,1,3,30
3989,20140412,Sat 4/12,SAC,117-101,W,15,9,0.6,2,1,0.5,9,8,0.889,27,4,9,1,2,4,2,36
3989,20140409,Wed 4/9,OKC,101-107,L,23,11,0.478,1,0,0.0,11,8,0.727,30,12,1,0,0,4,3,39
3989,20140406,Sun 4/6,LAL,120-97,W,14,7,0.5,0,0,0.0,13,9,0.692,23,7,6,0,3,3,3,31
3989,20140403,Thu 4/3,DAL,107-113,L,23,9,0.391,0,0,0.0,7,7,1.0,25,10,11,1,1,5,1,40
3989,20140402,Wed 4/2,PHX,112-108,W,15,7,0.467,0,0,0.0,10,9,0.9,23,6,3,0,1,3,3,34
3989,20140331,Mon 3/31,MIN,114-104,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3989,20140329,Sat 3/29,HOU,118-107,W,3,2,0.667,0,0,0.0,3,3,1.0,7,1,1,1,0,1,0,6
3989,20140327,Thu 3/27,DAL,109-103,W,14,8,0.571,0,0,0.0,3,2,0.667,18,13,4,2,0,5,4,40
3989,20140326,Wed 3/26,NO,96-98,L,13,6,0.462,0,0,0.0,15,9,0.6,21,8,3,2,2,3,3,39
3989,20140324,Mon 3/24,MIL,106-98,W,19,10,0.526,0,0,0.0,9,7,0.778,27,14,6,3,1,0,5,38
3989,20140322,Sat 3/22,DET,112-103,W,17,12,0.706,1,0,0.0,2,1,0.5,25,7,7,1,1,2,3,37
3989,20140317,Mon 3/17,DEN,100-110,L,25,7,0.28,0,0,0.0,12,12,1.0,26,12,4,2,2,3,2,42
3989,20140316,Sun 3/16,CLE,102-80,W,18,9,0.5,0,0,0.0,4,3,0.75,21,11,8,1,0,4,1,38
3989,20140314,Fri 3/14,UTAH,96-87,W,17,7,0.412,1,0,0.0,6,6,1.0,20,5,5,0,2,2,2,36
3989,20140312,Wed 3/12,GS,111-98,W,28,13,0.464,0,0,0.0,8,4,0.5,30,15,3,0,3,2,3,42
3989,20140310,Mon 3/10,PHX,112-105,W,16,14,0.875,0,0,0.0,10,9,0.9,37,6,3,0,1,6,6,32
3989,20140308,Sat 3/8,ATL,109-108,W,19,11,0.579,0,0,0.0,9,5,0.556,27,8,5,0,1,5,7,38
3989,20140306,Thu 3/6,LAL,142-94,W,12,8,0.667,0,0,0.0,6,4,0.667,20,11,7,0,2,3,5,26
3989,20140304,Tue 3/4,PHX,104-96,W,18,9,0.5,0,0,0.0,8,4,0.5,22,5,6,1,1,3,3,37
3989,20140301,Sat 3/1,NO,108-76,W,17,8,0.471,0,0,0.0,6,4,0.667,20,5,1,1,0,1,3,32
3989,20140226,Wed 2/26,HOU,101-93,W,25,11,0.44,2,0,0.0,1,1,1.0,23,16,3,1,2,2,2,40
3989,20140224,Mon 2/24,NO,123-110,W,12,6,0.5,2,0,0.0,14,10,0.714,22,4,3,0,1,5,4,33
3989,20140223,Sun 2/23,OKC,125-117,W,15,6,0.4,1,1,1.0,10,7,0.7,20,7,6,1,0,5,4,37
3989,20140221,Fri 2/21,MEM,96-102,L,21,10,0.476,0,0,0.0,14,8,0.571,28,13,2,1,0,4,2,40
3989,20140218,Tue 2/18,SA,103-113,L,24,14,0.583,1,1,1.0,10,6,0.6,35,12,4,0,2,1,3,38
3989,20140216,Sun 2/16,&nbsp;EAST,155-163,L,23,19,0.826,2,0,0.0,0,0,0.0,38,6,1,0,2,4,2,32
3989,20140212,Wed 2/12,POR,122-117,W,21,13,0.619,0,0,0.0,12,10,0.833,36,10,1,0,0,3,1,39
3989,20140209,Sun 2/9,PHI,123-78,W,14,11,0.786,0,0,0.0,4,4,1.0,26,11,6,0,1,3,2,25
3989,20140207,Fri 2/7,TOR,118-105,W,18,13,0.722,1,0,0.0,13,10,0.769,36,8,2,1,2,5,2,28
3989,20140205,Wed 2/5,MIA,112-116,L,34,16,0.471,3,1,0.333,17,10,0.588,43,15,6,0,0,5,4,42
3989,20140203,Mon 2/3,DEN,115-116,L,21,13,0.619,0,0,0.0,16,10,0.625,36,11,5,0,1,4,0,38
3989,20140201,Sat 2/1,UTAH,102-87,W,19,9,0.474,0,0,0.0,12,7,0.583,25,11,4,0,0,2,1,35
3989,20140130,Thu 1/30,GS,92-111,L,21,11,0.524,0,0,0.0,10,5,0.5,27,3,2,0,3,1,2,40
3989,20140129,Wed 1/29,WSH,110-103,W,20,12,0.6,0,0,0.0,8,5,0.625,29,9,4,1,1,4,6,37
3989,20140127,Mon 1/27,MIL,114-86,W,13,8,0.615,1,0,0.0,5,4,0.8,20,5,2,1,2,3,3,28
3989,20140125,Sat 1/25,TOR,126-118,W,18,10,0.556,0,0,0.0,13,10,0.769,30,5,2,0,1,5,0,39
3989,20140124,Fri 1/24,CHI,112-95,W,18,11,0.611,0,0,0.0,7,4,0.571,26,13,7,0,0,2,0,37
3989,20140122,Wed 1/22,&nbsp;CHA,91-95,L,20,11,0.55,0,0,0.0,6,5,0.833,27,7,6,0,1,3,3,37
3989,20140120,Mon 1/20,DET,112-103,W,16,9,0.563,2,0,0.0,12,7,0.583,25,5,5,0,1,3,4,33
3989,20140118,Sat 1/18,IND,92-106,L,18,6,0.333,1,0,0.0,8,7,0.875,19,8,4,1,1,4,1,35
3989,20140117,Fri 1/17,NY,109-95,W,20,12,0.6,3,1,0.333,9,7,0.778,32,7,2,1,3,5,4,40
3989,20140115,Wed 1/15,DAL,129-127,W,11,5,0.455,1,0,0.0,16,13,0.813,23,7,8,0,1,3,5,40
3989,20140110,Fri 1/10,LAL,123-87,W,15,12,0.8,0,0,0.0,11,9,0.818,33,12,4,2,4,2,4,30
3989,20140108,Wed 1/8,BOS,111-105,W,14,9,0.643,0,0,0.0,17,11,0.647,29,6,8,0,2,4,2,41
3989,20140106,Mon 1/6,ORL,101-81,W,12,5,0.417,1,0,0.0,8,6,0.75,16,8,6,0,3,4,2,24
3989,20140104,Sat 1/4,SA,92-116,L,15,7,0.467,0,0,0.0,7,5,0.714,19,7,2,0,0,2,1,35
3989,20140103,Fri 1/3,DAL,119-112,W,18,7,0.389,1,0,0.0,13,11,0.846,25,15,5,1,0,3,0,41
3989,20140101,Wed 1/1,&nbsp;CHA,112-85,W,20,14,0.7,2,1,0.5,4,2,0.5,31,12,2,0,0,4,4,38
3989,20141230,Mon 12/30,PHX,88-107,L,15,5,0.333,0,0,0.0,7,5,0.714,15,5,1,0,1,4,4,28
3989,20141228,Sat 12/28,UTAH,98-90,W,20,13,0.65,0,0,0.0,17,14,0.824,40,10,3,1,1,2,8,38
3989,20141226,Thu 12/26,POR,112-116,L,27,15,0.556,1,1,1.0,5,4,0.8,35,11,1,2,1,2,2,41
3989,20141225,Wed 12/25,GS,103-105,L,16,8,0.5,1,0,0.0,6,4,0.667,20,14,5,0,0,3,4,33
3989,20141222,Sun 12/22,MIN,120-116,W,20,11,0.55,0,0,0.0,11,10,0.909,32,10,2,0,4,6,2,41
3989,20141221,Sat 12/21,DEN,112-91,W,17,8,0.471,1,0,0.0,10,8,0.8,24,16,4,1,1,2,3,36
3989,20141218,Wed 12/18,NO,108-95,W,16,8,0.5,3,2,0.667,4,3,0.75,21,10,5,1,0,6,3,32
3989,20141216,Mon 12/16,SA,115-92,W,14,8,0.571,0,0,0.0,15,11,0.733,27,9,2,0,0,3,3,34
3989,20141214,Sat 12/14,WSH,113-97,W,13,6,0.462,1,0,0.0,4,4,1.0,16,9,5,1,2,2,3,39
3989,20141212,Thu 12/12,BKN,93-102,L,8,2,0.25,0,0,0.0,13,8,0.615,12,11,3,0,1,2,3,30
3989,20141211,Wed 12/11,BOS,96-88,W,16,7,0.438,1,0,0.0,4,4,1.0,18,7,4,0,1,3,4,42
3989,20141209,Mon 12/9,PHI,94-83,W,14,9,0.643,2,0,0.0,14,8,0.571,26,8,0,3,1,5,1,40
3989,20141207,Sat 12/7,CLE,82-88,L,12,3,0.25,0,0,0.0,6,4,0.667,10,10,4,0,1,4,2,37
3989,20141205,Thu 12/5,MEM,101-81,W,15,5,0.333,0,0,0.0,4,4,1.0,14,9,5,0,1,3,2,30
3989,20141204,Wed 12/4,ATL,97-107,L,17,10,0.588,0,0,0.0,4,4,1.0,24,7,4,1,0,2,0,37
3989,20141201,Sun 12/1,IND,100-105,L,13,6,0.462,0,0,0.0,5,4,0.8,16,12,2,0,1,3,5,37
3989,20141129,Fri 11/29,SAC,104-98,W,15,7,0.467,0,0,0.0,10,7,0.7,21,12,1,0,0,4,4,39
3989,20141127,Wed 11/27,NY,93-80,W,13,6,0.462,0,0,0.0,6,3,0.5,15,13,2,1,0,3,3,36
3989,20141124,Sun 11/24,CHI,121-82,W,10,6,0.6,0,0,0.0,4,3,0.75,15,12,2,3,1,4,2,27
3989,20141123,Sat 11/23,SAC,103-102,W,10,3,0.3,2,1,0.5,13,9,0.692,16,10,4,0,1,5,6,40
3989,20141121,Thu 11/21,OKC,91-105,L,23,12,0.522,0,0,0.0,4,3,0.75,27,10,5,0,2,1,3,37
3989,20141120,Wed 11/20,MIN,102-98,W,19,10,0.526,0,0,0.0,0,0,0.0,20,10,2,2,2,4,2,38
3989,20141118,Mon 11/18,MEM,102-106,L,21,11,0.524,0,0,0.0,3,1,0.333,23,11,1,1,2,4,1,33
3989,20141116,Sat 11/16,BKN,110-103,W,19,12,0.632,0,0,0.0,11,6,0.545,30,12,2,1,0,5,3,40
