ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4376,20160413,Wed 4/13,DAL,96-91,W,9,7,0.778,0,0,0.0,8,8,1.0,22,12,1,2,0,3,1,37
4376,20160412,Tue 4/12,OKC,102-98,W,5,4,0.8,0,0,0.0,1,1,1.0,9,8,0,2,0,1,2,22
4376,20160410,Sun 4/10,GS,86-92,L,4,2,0.5,0,0,0.0,1,0,0.0,4,2,0,0,0,1,0,6
4376,20160408,Fri 4/8,DEN,98-102,L,5,3,0.6,0,0,0.0,4,3,0.75,9,4,2,1,0,1,0,14
4376,20160407,Thu 4/7,GS,101-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160405,Tue 4/5,UTAH,88-86,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160402,Sat 4/2,TOR,102-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160330,Wed 3/30,NO,100-92,W,2,2,1.0,0,0,0.0,0,0,0.0,4,3,0,0,0,2,2,9
4376,20160328,Mon 3/28,MEM,101-87,W,4,1,0.25,0,0,0.0,4,3,0.75,5,9,2,1,0,3,0,30
4376,20160326,Sat 3/26,OKC,92-111,L,12,5,0.417,0,0,0.0,4,3,0.75,13,6,1,1,1,0,2,27
4376,20160325,Fri 3/25,MEM,110-104,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2
4376,20160323,Wed 3/23,MIA,112-88,W,12,9,0.75,0,0,0.0,1,1,1.0,19,4,0,0,1,1,0,14
4376,20160321,Mon 3/21,CHA,88-91,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160319,Sat 3/19,GS,87-79,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160317,Thu 3/17,POR,118-110,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2
4376,20160315,Tue 3/15,LAC,108-87,W,0,0,0.0,0,0,0.0,4,3,0.75,3,1,1,0,0,0,0,4
4376,20160312,Sat 3/12,OKC,93-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160310,Thu 3/10,CHI,109-101,W,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
4376,20160308,Tue 3/8,MIN,116-91,W,4,0,0.0,0,0,0.0,0,0,0.0,0,8,0,0,0,0,0,10
4376,20160307,Mon 3/7,IND,91-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160305,Sat 3/5,SAC,104-94,W,4,3,0.75,0,0,0.0,4,3,0.75,9,9,1,0,0,2,1,19
4376,20160303,Thu 3/3,NO,94-86,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160302,Wed 3/2,DET,97-81,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,1,0,0,0,2
4376,20160227,Sat 2/27,HOU,104-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
4376,20160225,Thu 2/25,UTAH,96-78,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,2
4376,20160224,Wed 2/24,SAC,108-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
4376,20160221,Sun 2/21,PHX,118-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160219,Fri 2/19,LAL,119-113,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
4376,20160218,Thu 2/18,LAC,86-105,L,2,2,1.0,0,0,0.0,2,2,1.0,6,3,1,0,0,0,0,9
4376,20160210,Wed 2/10,ORL,98-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3
4376,20160209,Tue 2/9,MIA,119-101,W,5,3,0.6,0,0,0.0,7,5,0.714,11,6,0,0,1,1,1,13
4376,20160206,Sat 2/6,LAL,106-102,W,1,1,1.0,0,0,0.0,1,1,1.0,3,5,1,0,1,2,1,9
4376,20160205,Fri 2/5,DAL,116-90,W,3,2,0.667,0,0,0.0,4,3,0.75,7,7,1,1,0,2,2,17
4376,20160203,Wed 2/3,NO,110-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4376,20160201,Mon 2/1,ORL,107-92,W,0,0,0.0,0,0,0.0,2,2,1.0,2,0,0,1,0,0,0,3
4376,20160130,Sat 1/30,CLE,103-117,L,1,0,0.0,0,0,0.0,4,3,0.75,3,3,1,0,0,1,0,10
4376,20160127,Wed 1/27,HOU,130-99,W,9,5,0.556,0,0,0.0,4,3,0.75,13,10,0,0,0,4,0,17
4376,20160125,Mon 1/25,GS,90-120,L,6,4,0.667,0,0,0.0,6,4,0.667,12,6,0,0,1,1,0,13
4376,20160122,Fri 1/22,LAL,108-95,W,1,1,1.0,0,0,0.0,0,0,0.0,2,1,0,0,0,1,0,9
