ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3064482,20160413,Wed 4/13,PHI,115-105,W,9,3,0.333,1,1,1.0,2,2,1.0,9,14,1,0,1,0,5,28
3064482,20160411,Mon 4/11,NO,121-116,W,7,5,0.714,2,1,0.5,2,2,1.0,13,8,2,0,1,0,0,29
3064482,20160409,Sat 4/9,CLE,105-102,W,10,3,0.3,1,0,0.0,1,0,0.0,6,10,0,0,0,2,1,29
3064482,20160407,Thu 4/7,MIA,98-106,L,9,3,0.333,1,0,0.0,0,0,0.0,6,10,2,0,0,2,0,20
3064482,20160405,Tue 4/5,MEM,92-108,L,11,5,0.455,1,0,0.0,2,2,1.0,12,7,1,2,0,2,0,19
3064482,20160403,Sun 4/3,MIL,102-98,W,4,2,0.5,1,0,0.0,0,0,0.0,4,1,1,0,0,1,0,13
3064482,20160402,Sat 4/2,DET,90-94,L,5,3,0.6,0,0,0.0,0,0,0.0,6,3,0,0,0,1,1,13
3064482,20160331,Thu 3/31,HOU,103-100,W,4,1,0.25,0,0,0.0,0,0,0.0,2,2,0,0,0,1,0,10
3064482,20160329,Tue 3/29,IND,98-96,W,3,3,1.0,0,0,0.0,3,3,1.0,9,1,0,0,0,1,0,10
3064482,20160328,Mon 3/28,ATL,100-102,L,7,3,0.429,1,1,1.0,2,1,0.5,8,6,0,0,0,0,0,14
3064482,20160326,Sat 3/26,ORL,89-111,L,8,1,0.125,1,0,0.0,2,2,1.0,4,7,0,0,0,2,0,19
3064482,20160324,Thu 3/24,NY,94-106,L,4,0,0.0,1,0,0.0,0,0,0.0,0,4,1,0,0,1,1,17
3064482,20160323,Wed 3/23,NY,107-115,L,6,3,0.5,0,0,0.0,2,0,0.0,6,4,3,1,0,1,2,17
3064482,20160321,Mon 3/21,SAC,109-102,W,6,3,0.5,0,0,0.0,0,0,0.0,6,6,1,0,0,0,0,15
3064482,20160319,Sat 3/19,UTAH,92-85,W,7,3,0.429,2,1,0.5,3,2,0.667,9,5,2,2,0,0,0,20
3064482,20160317,Thu 3/17,BKN,118-102,W,16,6,0.375,2,0,0.0,0,0,0.0,12,14,1,1,0,2,1,28
3064482,20160316,Wed 3/16,WSH,96-117,L,8,3,0.375,1,0,0.0,2,2,1.0,8,5,3,1,1,3,0,25
3064482,20160314,Mon 3/14,TOR,109-107,W,6,3,0.5,1,0,0.0,0,0,0.0,6,7,1,0,0,3,0,23
3064482,20160311,Fri 3/11,MIA,96-118,L,3,2,0.667,1,0,0.0,2,1,0.5,5,4,2,0,1,2,0,18
3064482,20160310,Thu 3/10,SA,101-109,L,3,0,0.0,0,0,0.0,0,0,0.0,0,4,0,0,0,2,0,11
3064482,20160307,Mon 3/7,MIL,100-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,1,0,4
3064482,20160305,Sat 3/5,HOU,108-100,W,2,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,1,1,4
