ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3242,20140416,Wed 4/16,MEM,105-106,L,5,5,1.0,0,0,0.0,0,0,0.0,10,3,0,0,0,4,0,25
3242,20140412,Sat 4/12,PHX,101-98,W,8,5,0.625,0,0,0.0,2,2,1.0,12,11,1,3,1,3,1,32
3242,20140410,Thu 4/10,SA,100-109,L,6,4,0.667,0,0,0.0,0,0,0.0,8,3,0,0,0,1,1,17
3242,20140408,Tue 4/8,UTAH,95-83,W,3,0,0.0,0,0,0.0,0,0,0.0,0,3,0,0,0,0,1,11
3242,20140406,Sun 4/6,SAC,93-91,W,4,1,0.25,0,0,0.0,0,0,0.0,2,1,0,0,0,0,0,6
3242,20140404,Fri 4/4,LAL,107-95,W,10,10,1.0,0,0,0.0,3,3,1.0,23,5,1,2,1,2,1,27
3242,20140403,Thu 4/3,LAC,113-107,W,7,4,0.571,0,0,0.0,0,0,0.0,8,3,1,1,1,3,0,16
3242,20140401,Tue 4/1,GS,120-122,L,6,5,0.833,0,0,0.0,4,4,1.0,14,5,0,1,0,0,1,25
3242,20140329,Sat 3/29,SAC,103-100,W,2,2,1.0,0,0,0.0,2,2,1.0,6,6,1,3,0,0,0,19
3242,20140327,Thu 3/27,LAC,103-109,L,3,3,1.0,0,0,0.0,4,2,0.5,8,4,0,2,1,3,1,24
3242,20140325,Tue 3/25,OKC,128-119,W,3,1,0.333,0,0,0.0,2,1,0.5,3,6,2,1,2,2,1,21
3242,20140323,Sun 3/23,BKN,104-107,L,2,2,1.0,0,0,0.0,2,1,0.5,5,2,0,1,0,0,0,18
3242,20140321,Fri 3/21,DEN,122-106,W,9,6,0.667,0,0,0.0,1,1,1.0,13,3,3,1,0,3,0,21
3242,20140319,Wed 3/19,MIN,122-123,L,3,3,1.0,0,0,0.0,4,1,0.25,7,3,1,0,0,1,0,21
3242,20140317,Mon 3/17,BOS,94-89,W,5,5,1.0,0,0,0.0,0,0,0.0,10,3,0,0,1,0,0,17
