ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6448,20130417,Wed 4/17,BKN,99-103,L,14,3,0.214,3,0,0.0,3,1,0.333,7,1,5,0,2,1,2,35
6448,20130415,Mon 4/15,PHI,109-101,W,16,5,0.313,6,2,0.333,0,0,0.0,12,2,4,0,1,2,3,31
6448,20130412,Fri 4/12,&nbsp;CHA,113-93,W,9,6,0.667,3,3,1.0,6,4,0.667,19,7,2,0,1,2,5,34
6448,20130410,Wed 4/10,CLE,111-104,W,11,2,0.182,3,0,0.0,3,3,1.0,7,4,2,0,1,3,1,35
6448,20130407,Sun 4/7,CHI,99-85,W,12,7,0.583,4,1,0.25,7,5,0.714,20,2,5,0,0,2,3,37
6448,20130406,Sat 4/6,MIN,101-107,L,15,9,0.6,4,3,0.75,6,4,0.667,25,2,6,0,2,4,3,41
6448,20130403,Wed 4/3,BOS,93-98,L,10,2,0.2,3,1,0.333,2,2,1.0,7,3,4,0,0,3,2,37
6448,20130401,Mon 4/1,TOR,108-98,W,8,2,0.25,4,1,0.25,0,0,0.0,5,4,2,0,1,2,2,29
6448,20130331,Sun 3/31,CHI,94-95,L,6,2,0.333,2,1,0.5,0,0,0.0,5,1,4,0,2,3,4,37
6448,20130329,Fri 3/29,TOR,82-99,L,4,1,0.25,1,0,0.0,3,2,0.667,4,0,3,0,0,2,1,26
6448,20130326,Tue 3/26,MIN,82-105,L,10,3,0.3,3,1,0.333,0,0,0.0,7,1,3,0,1,0,4,26
6448,20130323,Sat 3/23,&nbsp;CHA,92-91,W,10,4,0.4,6,1,0.167,2,1,0.5,10,6,4,0,0,1,5,37
6448,20130322,Fri 3/22,MIA,89-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6448,20130318,Mon 3/18,BKN,82-119,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6448,20130316,Sat 3/16,POR,101-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6448,20130313,Wed 3/13,GS,97-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6448,20130311,Mon 3/11,UTAH,90-103,L,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,1,0,4
6448,20130310,Sun 3/10,LAC,97-129,L,9,3,0.333,6,2,0.333,2,2,1.0,10,0,3,0,0,3,2,19
6448,20130308,Fri 3/8,DAL,99-102,L,17,9,0.529,6,2,0.333,1,1,1.0,21,3,3,0,0,3,1,32
6448,20130306,Wed 3/6,NY,77-87,L,17,6,0.353,8,4,0.5,2,1,0.5,17,5,1,1,0,1,5,39
6448,20130303,Sun 3/3,SA,75-114,L,14,3,0.214,6,1,0.167,3,1,0.333,8,6,6,0,2,3,3,36
6448,20130301,Fri 3/1,&nbsp;NO,95-100,L,18,10,0.556,7,2,0.286,0,0,0.0,22,4,3,0,2,1,2,37
6448,20130227,Wed 2/27,WSH,96-95,W,18,11,0.611,6,5,0.833,9,5,0.556,32,3,4,0,1,1,4,36
