ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2778,20120426,Thu 4/26,POR,96-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120424,Tue 4/24,PHX,100-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120421,Sat 4/21,ORL,117-107,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120418,Wed 4/18,POR,112-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120416,Mon 4/16,DAL,123-121,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120414,Sat 4/14,MEM,98-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120413,Fri 4/13,&nbsp;NO,85-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120411,Wed 4/11,HOU,103-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120409,Mon 4/9,SA,91-84,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120408,Sun 4/8,SA,104-114,L,7,3,0.429,0,0,0.0,1,1,1.0,7,0,1,0,0,0,0,13
2778,20120406,Fri 4/6,GS,104-98,W,5,1,0.2,1,0,0.0,0,0,0.0,2,2,2,0,1,1,0,17
2778,20120404,Wed 4/4,PHX,105-107,L,18,9,0.5,4,1,0.25,5,3,0.6,22,5,3,1,0,4,3,37
2778,20120402,Mon 4/2,POR,102-97,W,2,2,1.0,0,0,0.0,0,0,0.0,4,3,0,0,0,1,2,7
2778,20120331,Sat 3/31,LAC,96-105,L,6,4,0.667,3,3,1.0,2,2,1.0,13,0,1,0,1,2,1,26
2778,20120330,Fri 3/30,SAC,103-104,L,4,0,0.0,2,0,0.0,0,0,0.0,0,1,1,0,0,3,0,14
2778,20120328,Wed 3/28,BOS,82-94,L,10,1,0.1,4,1,0.25,0,0,0.0,3,3,1,1,1,3,1,29
2778,20120326,Mon 3/26,&nbsp;NJ,105-84,W,7,3,0.429,4,2,0.5,2,2,1.0,10,3,2,0,1,4,0,21
2778,20120325,Sun 3/25,ATL,133-139,L,14,7,0.5,6,3,0.5,0,0,0.0,17,6,3,0,2,6,1,50
2778,20120323,Fri 3/23,DEN,121-102,W,8,4,0.5,3,1,0.333,4,3,0.75,12,3,2,2,0,1,1,27
2778,20120322,Thu 3/22,SAC,103-102,W,8,1,0.125,5,1,0.2,0,0,0.0,3,2,2,1,1,3,0,30
2778,20120320,Tue 3/20,OKC,97-90,W,11,4,0.364,1,0,0.0,2,2,1.0,10,5,2,0,3,3,3,28
2778,20120318,Sun 3/18,LAL,103-99,W,11,2,0.182,3,1,0.333,2,2,1.0,7,0,3,0,1,4,0,30
2778,20120317,Sat 3/17,GS,99-92,W,5,2,0.4,1,0,0.0,0,0,0.0,4,0,1,0,3,2,1,17
2778,20120315,Thu 3/15,MIN,111-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2778,20120314,Wed 3/14,PHX,111-120,L,6,3,0.5,3,0,0.0,4,3,0.75,9,3,0,0,2,0,3,22
2778,20120312,Mon 3/12,DET,105-90,W,7,5,0.714,4,3,0.75,2,2,1.0,15,1,3,0,0,4,0,23
2778,20120310,Sat 3/10,CHI,97-111,L,7,1,0.143,1,0,0.0,2,2,1.0,4,1,1,3,0,2,1,23
2778,20120309,Fri 3/9,PHI,91-104,L,10,2,0.2,5,1,0.2,4,3,0.75,8,5,1,0,3,2,1,19
2778,20120307,Wed 3/7,&nbsp;CHA,99-93,W,3,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,1,0,8
2778,20120305,Mon 3/5,CLE,109-100,W,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,8
2778,20120303,Sat 3/3,DAL,96-102,L,12,4,0.333,5,2,0.4,3,3,1.0,13,2,2,0,2,1,2,25
2778,20120302,Fri 3/2,MIA,99-98,W,14,5,0.357,1,1,1.0,4,3,0.75,14,5,1,0,0,2,1,22
2778,20120229,Wed 2/29,HOU,104-83,W,16,10,0.625,7,3,0.429,4,4,1.0,27,1,0,0,0,3,1,27
