ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2754,20140416,Wed 4/16,SAC,104-99,W,6,2,0.333,3,1,0.333,0,0,0.0,5,4,1,0,1,3,0,21
2754,20140414,Mon 4/14,MEM,91-97,L,12,5,0.417,9,2,0.222,2,2,1.0,14,5,1,1,0,3,0,30
2754,20140412,Sat 4/12,DAL,98-101,L,13,7,0.538,6,5,0.833,2,2,1.0,21,6,0,1,1,3,1,35
2754,20140411,Fri 4/11,SA,104-112,L,9,5,0.556,4,1,0.25,2,2,1.0,13,6,1,0,0,1,1,34
2754,20140409,Wed 4/9,NO,94-88,W,8,2,0.25,3,0,0.0,0,0,0.0,4,5,1,1,1,2,1,26
2754,20140406,Sun 4/6,OKC,122-115,W,5,1,0.2,3,0,0.0,0,0,0.0,2,2,0,0,0,4,0,18
2754,20140404,Fri 4/4,POR,109-93,W,6,1,0.167,5,0,0.0,0,0,0.0,2,4,1,0,0,2,1,19
2754,20140402,Wed 4/2,LAC,108-112,L,9,4,0.444,8,4,0.5,2,2,1.0,14,3,1,1,0,5,1,31
2754,20140330,Sun 3/30,LAL,99-115,L,7,1,0.143,4,0,0.0,0,0,0.0,2,6,1,0,0,1,0,19
2754,20140328,Fri 3/28,NY,112-88,W,4,0,0.0,4,0,0.0,4,3,0.75,3,6,1,2,2,4,0,31
2754,20140326,Wed 3/26,WSH,99-93,W,9,4,0.444,6,2,0.333,0,0,0.0,10,3,2,0,2,1,1,24
2754,20140324,Mon 3/24,ATL,102-95,W,12,7,0.583,9,4,0.444,0,0,0.0,18,7,0,1,0,4,1,40
2754,20140323,Sun 3/23,MIN,127-120,W,5,3,0.6,1,0,0.0,0,0,0.0,6,3,0,0,0,4,2,15
2754,20140321,Fri 3/21,DET,98-92,W,6,1,0.167,4,0,0.0,0,0,0.0,2,4,1,1,2,2,1,23
2754,20140319,Wed 3/19,ORL,109-93,W,10,5,0.5,5,2,0.4,0,0,0.0,12,5,1,3,0,1,2,22
2754,20140317,Mon 3/17,BKN,95-108,L,9,3,0.333,3,1,0.333,0,0,0.0,7,6,0,0,0,3,1,19
2754,20140316,Sun 3/16,TOR,121-113,W,7,3,0.429,4,1,0.25,2,2,1.0,9,4,3,3,0,3,1,29
2754,20140314,Fri 3/14,BOS,87-80,W,9,1,0.111,4,0,0.0,2,2,1.0,4,5,2,2,1,2,1,33
2754,20140312,Wed 3/12,CLE,101-110,L,14,5,0.357,10,4,0.4,4,3,0.75,17,6,2,0,1,3,0,36
2754,20140310,Mon 3/10,LAC,105-112,L,11,4,0.364,6,2,0.333,0,0,0.0,10,3,3,0,3,6,0,37
2754,20140309,Sun 3/9,GS,107-113,L,11,6,0.545,4,2,0.5,2,2,1.0,16,4,1,0,1,4,3,30
2754,20140306,Thu 3/6,OKC,128-122,W,8,4,0.5,3,1,0.333,2,2,1.0,11,5,2,1,0,0,2,23
2754,20140304,Tue 3/4,LAC,96-104,L,6,2,0.333,1,0,0.0,0,0,0.0,4,5,1,0,0,3,2,20
2754,20140302,Sun 3/2,ATL,129-120,W,7,4,0.571,2,1,0.5,0,0,0.0,9,4,2,0,1,3,0,21
2754,20140228,Fri 2/28,NO,116-104,W,5,2,0.4,5,2,0.4,2,2,1.0,8,4,1,0,0,2,1,23
2754,20140226,Wed 2/26,UTAH,86-109,L,8,3,0.375,4,1,0.25,0,0,0.0,7,3,2,2,0,1,0,29
2754,20140225,Tue 2/25,MIN,101-110,L,6,2,0.333,3,0,0.0,0,0,0.0,4,3,2,1,0,5,3,25
2754,20140223,Sun 2/23,HOU,112-115,L,11,2,0.182,7,2,0.286,0,0,0.0,6,5,1,1,2,3,2,35
2754,20140221,Fri 2/21,SA,106-85,W,12,7,0.583,7,2,0.286,2,1,0.5,17,8,1,1,3,4,0,37
2754,20140219,Wed 2/19,BOS,100-94,W,7,4,0.571,6,4,0.667,4,3,0.75,15,7,2,1,0,3,2,35
2754,20140218,Tue 2/18,DEN,112-107,W,9,4,0.444,6,3,0.5,0,0,0.0,11,8,1,1,0,5,2,31
2754,20140211,Tue 2/11,MIA,97-103,L,13,6,0.462,8,3,0.375,0,0,0.0,15,6,2,0,0,3,2,38
2754,20140208,Sat 2/8,GS,122-109,W,13,6,0.462,3,1,0.333,0,0,0.0,13,5,5,0,0,4,4,36
2754,20140205,Wed 2/5,HOU,108-122,L,11,3,0.273,6,1,0.167,2,1,0.5,8,0,2,0,0,4,0,23
2754,20140204,Tue 2/4,CHI,92-101,L,16,6,0.375,11,2,0.182,4,4,1.0,18,8,1,2,1,2,2,35
2754,20140201,Sat 2/1,&nbsp;CHA,105-95,W,8,3,0.375,7,3,0.429,0,0,0.0,9,3,1,0,2,1,0,24
2754,20140130,Thu 1/30,IND,102-94,W,8,3,0.375,6,1,0.167,0,0,0.0,7,8,2,2,0,2,0,38
2754,20140129,Wed 1/29,MIL,126-117,W,8,5,0.625,4,2,0.5,1,1,1.0,13,2,1,1,0,2,0,28
2754,20140127,Mon 1/27,PHI,124-113,W,6,1,0.167,6,1,0.167,4,4,1.0,7,5,2,0,0,4,1,22
2754,20140126,Sun 1/26,CLE,99-90,W,9,5,0.556,7,4,0.571,2,2,1.0,16,5,0,0,0,4,1,30
2754,20140124,Fri 1/24,WSH,95-101,L,10,5,0.5,7,4,0.571,2,2,1.0,16,3,1,0,0,5,3,36
2754,20140122,Wed 1/22,IND,124-100,W,7,3,0.429,3,2,0.667,2,2,1.0,10,3,0,0,2,4,2,31
2754,20140119,Sun 1/19,DEN,117-103,W,16,12,0.75,7,5,0.714,2,1,0.5,30,5,1,3,1,4,1,28
