ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2779,20130417,Wed 4/17,SAC,112-108,W,20,11,0.55,3,0,0.0,5,3,0.6,25,4,11,0,1,2,0,35
2779,20130416,Tue 4/16,POR,93-77,W,7,3,0.429,2,0,0.0,2,2,1.0,8,1,11,0,3,1,1,25
2779,20130413,Sat 4/13,MEM,91-87,W,14,6,0.429,3,0,0.0,2,1,0.5,13,4,5,0,1,2,2,39
2779,20130412,Fri 4/12,&nbsp;NO,96-93,W,12,4,0.333,2,1,0.5,8,8,1.0,17,7,14,1,2,2,4,38
2779,20130410,Wed 4/10,MIN,111-95,W,11,7,0.636,2,2,1.0,3,3,1.0,19,7,11,2,4,3,1,31
2779,20130407,Sun 4/7,LAL,109-95,W,18,10,0.556,3,1,0.333,4,3,0.75,24,5,12,0,3,0,3,41
2779,20130403,Wed 4/3,PHX,126-101,W,10,4,0.4,3,1,0.333,6,6,1.0,15,1,12,0,4,2,0,26
2779,20130401,Mon 4/1,IND,106-109,L,12,2,0.167,1,0,0.0,6,6,1.0,10,2,8,0,1,4,4,31
2779,20130330,Sat 3/30,HOU,81-98,L,15,7,0.467,3,2,0.667,3,3,1.0,19,5,7,0,3,5,1,32
2779,20130329,Fri 3/29,SA,102-104,L,14,5,0.357,3,0,0.0,4,4,1.0,14,5,12,1,1,4,4,34
2779,20130327,Wed 3/27,&nbsp;NO,105-91,W,13,5,0.385,5,0,0.0,7,6,0.857,16,6,9,0,4,1,3,34
2779,20130326,Tue 3/26,DAL,102-109,L,15,12,0.8,5,3,0.6,9,6,0.667,33,6,5,0,2,2,7,39
2779,20130323,Sat 3/23,BKN,101-95,W,16,8,0.5,4,1,0.25,13,12,0.923,29,3,11,2,2,2,2,41
2779,20130320,Wed 3/20,PHI,101-72,W,10,8,0.8,3,2,0.667,1,1,1.0,19,6,9,0,5,0,4,31
2779,20130319,Tue 3/19,SAC,101-116,L,10,2,0.2,3,0,0.0,10,7,0.7,11,7,15,0,4,2,7,44
2779,20130317,Sun 3/17,NY,93-80,W,12,6,0.5,3,1,0.333,8,7,0.875,20,4,8,0,1,1,1,37
2779,20130313,Wed 3/13,MEM,85-96,L,12,7,0.583,3,1,0.333,9,9,1.0,24,3,9,1,2,4,5,39
2779,20130310,Sun 3/10,DET,129-97,W,12,9,0.75,1,0,0.0,2,2,1.0,20,1,14,0,2,4,0,31
2779,20130307,Thu 3/7,DEN,92-107,L,11,6,0.545,4,2,0.5,3,2,0.667,16,4,10,0,0,1,1,38
2779,20130306,Wed 3/6,MIL,117-101,W,12,6,0.5,1,0,0.0,2,2,1.0,14,3,9,0,1,0,0,32
2779,20130303,Sun 3/3,OKC,104-108,L,21,8,0.381,6,1,0.167,9,9,1.0,26,6,8,0,4,4,3,41
2779,20130301,Fri 3/1,CLE,105-89,W,11,4,0.364,4,1,0.25,2,2,1.0,11,3,15,0,1,1,0,33
2779,20130228,Thu 2/28,IND,99-91,W,18,11,0.611,3,1,0.333,6,6,1.0,29,6,8,0,1,1,2,35
2779,20130226,Tue 2/26,&nbsp;CHA,106-84,W,7,3,0.429,2,1,0.5,0,0,0.0,7,4,13,1,2,1,5,32
2779,20130223,Sat 2/23,UTAH,107-94,W,8,2,0.25,5,1,0.2,7,6,0.857,11,7,7,0,0,2,2,28
2779,20130221,Thu 2/21,SA,90-116,L,6,1,0.167,2,0,0.0,2,2,1.0,4,2,3,0,1,5,3,27
