ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3191,20150415,Wed 4/15,UTAH,117-91,W,15,6,0.4,3,0,0.0,2,2,1.0,14,3,3,1,3,0,1,23
3191,20150413,Mon 4/13,CHA,100-90,W,9,5,0.556,1,1,1.0,0,0,0.0,11,3,1,0,0,3,2,24
3191,20150412,Sun 4/12,NO,121-114,W,11,6,0.545,2,0,0.0,11,8,0.727,20,5,1,0,1,1,0,29
3191,20150410,Fri 4/10,SA,103-104,L,6,3,0.5,1,0,0.0,6,5,0.833,11,4,1,0,0,1,2,23
3191,20150408,Wed 4/8,SA,98-110,L,6,1,0.167,1,0,0.0,0,0,0.0,2,4,2,1,1,1,2,23
3191,20150405,Sun 4/5,OKC,115-112,W,6,2,0.333,1,0,0.0,2,1,0.5,5,0,3,0,0,3,1,30
3191,20150402,Thu 4/2,DAL,108-101,W,8,4,0.5,1,0,0.0,7,6,0.857,14,3,1,0,0,2,2,24
3191,20150401,Wed 4/1,SAC,115-111,W,10,1,0.1,2,0,0.0,0,0,0.0,2,2,1,0,1,1,1,21
3191,20150330,Mon 3/30,TOR,96-99,L,16,6,0.375,3,0,0.0,4,1,0.25,13,5,1,0,1,2,1,32
3191,20150329,Sun 3/29,WSH,99-91,W,14,7,0.5,2,1,0.5,0,0,0.0,15,5,2,2,1,3,3,22
3191,20150327,Fri 3/27,MIN,120-110,W,13,5,0.385,5,1,0.2,1,0,0.0,11,10,2,0,1,3,2,29
3191,20150325,Wed 3/25,NO,95-93,W,7,1,0.143,3,0,0.0,0,0,0.0,2,2,2,0,1,2,2,27
3191,20150323,Mon 3/23,IND,110-100,W,6,2,0.333,2,1,0.5,6,6,1.0,11,2,1,0,0,0,1,25
3191,20150321,Sat 3/21,PHX,102-117,L,11,5,0.455,1,0,0.0,4,4,1.0,14,7,1,0,2,0,1,30
3191,20150319,Thu 3/19,DEN,118-108,W,9,3,0.333,1,0,0.0,0,0,0.0,6,10,4,1,1,3,1,28
3191,20150317,Tue 3/17,ORL,107-94,W,10,5,0.5,2,1,0.5,2,2,1.0,13,12,3,0,1,2,2,28
3191,20150315,Sun 3/15,LAC,100-98,W,10,3,0.3,4,0,0.0,2,1,0.5,7,3,0,2,1,2,1,17
3191,20150312,Thu 3/12,UTAH,91-109,L,15,10,0.667,4,1,0.25,5,4,0.8,25,5,0,0,1,2,3,32
3191,20150311,Wed 3/11,POR,100-105,L,16,9,0.563,5,3,0.6,5,2,0.4,23,2,2,0,2,3,2,25
3191,20150307,Sat 3/7,DEN,114-100,W,16,9,0.563,6,1,0.167,6,5,0.833,24,6,1,0,2,1,1,31
3191,20150306,Fri 3/6,DET,103-93,W,12,7,0.583,2,1,0.5,0,0,0.0,15,3,1,0,0,0,1,26
3191,20150304,Wed 3/4,MEM,100-102,L,5,2,0.4,2,1,0.5,0,0,0.0,5,2,1,0,0,2,1,26
3191,20150303,Tue 3/3,ATL,96-104,L,14,4,0.286,3,0,0.0,0,0,0.0,8,3,2,0,1,3,2,31
3191,20150301,Sun 3/1,CLE,105-103,W,5,3,0.6,2,2,1.0,0,0,0.0,8,2,1,0,1,2,3,19
3191,20150227,Fri 2/27,BKN,102-98,W,9,3,0.333,2,0,0.0,0,0,0.0,6,0,0,0,0,1,0,17
