ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6606,20140416,Wed 4/16,LAC,110-104,W,5,3,0.6,4,3,0.75,0,0,0.0,9,0,2,0,1,1,0,12
6606,20140413,Sun 4/13,GS,119-117,W,13,3,0.231,6,2,0.333,6,5,0.833,13,3,5,1,1,4,3,44
6606,20140411,Fri 4/11,UTAH,111-99,W,10,4,0.4,6,4,0.667,4,4,1.0,16,1,6,0,1,1,1,37
6606,20140409,Wed 4/9,SAC,100-99,W,11,6,0.545,7,3,0.429,5,4,0.8,19,5,10,0,0,3,5,37
6606,20140406,Sun 4/6,NO,100-94,W,19,9,0.474,2,0,0.0,3,2,0.667,20,6,5,0,3,1,1,39
6606,20140404,Fri 4/4,PHX,93-109,L,13,5,0.385,6,2,0.333,6,3,0.5,15,2,7,0,1,4,2,38
6606,20140401,Tue 4/1,LAL,124-112,W,22,10,0.455,10,5,0.5,9,9,1.0,34,2,8,0,3,3,2,36
6606,20140330,Sun 3/30,MEM,105-98,W,10,4,0.4,5,2,0.4,4,3,0.75,13,4,5,0,2,0,4,38
6606,20140328,Fri 3/28,CHI,91-74,W,14,6,0.429,5,3,0.6,2,1,0.5,16,4,4,0,1,1,1,37
6606,20140327,Thu 3/27,ATL,100-85,W,15,7,0.467,9,4,0.444,4,3,0.75,21,6,4,0,0,4,2,34
6606,20140325,Tue 3/25,ORL,85-95,L,17,5,0.294,4,0,0.0,8,7,0.875,17,0,2,0,1,3,3,36
6606,20140324,Mon 3/24,MIA,91-93,L,15,3,0.2,8,1,0.125,14,12,0.857,19,4,6,0,2,2,1,40
6606,20140322,Sat 3/22,&nbsp;CHA,94-124,L,19,7,0.368,6,3,0.5,3,3,1.0,20,2,4,0,0,0,0,32
6606,20140320,Thu 3/20,WSH,116-103,W,18,8,0.444,8,3,0.375,5,4,0.8,23,6,10,0,0,1,1,35
6606,20140318,Tue 3/18,MIL,120-115,W,21,7,0.333,11,1,0.091,5,5,1.0,20,1,4,0,1,5,5,39
6606,20140316,Sun 3/16,GS,112-113,L,22,8,0.364,6,1,0.167,10,9,0.9,26,2,7,0,0,1,0,39
6606,20140314,Fri 3/14,NO,111-103,W,17,8,0.471,8,3,0.375,10,8,0.8,27,3,5,1,0,1,3,41
6606,20140312,Wed 3/12,SA,90-103,L,22,9,0.409,7,2,0.286,4,3,0.75,23,5,3,0,1,2,2,40
6606,20140311,Tue 3/11,MEM,99-109,L,21,8,0.381,8,4,0.5,13,12,0.923,32,4,7,0,0,4,2,39
6606,20140309,Sun 3/9,HOU,113-118,L,13,7,0.538,5,3,0.6,4,4,1.0,21,4,4,0,2,6,7,33
6606,20140307,Fri 3/7,DAL,98-103,L,10,3,0.3,6,1,0.167,3,3,1.0,10,3,4,0,0,3,5,35
6606,20140305,Wed 3/5,ATL,102-78,W,9,4,0.444,5,2,0.4,2,2,1.0,12,4,7,0,1,2,1,25
6606,20140303,Mon 3/3,LAL,106-107,L,19,8,0.421,8,3,0.375,4,1,0.25,20,5,5,0,0,1,4,35
6606,20140301,Sat 3/1,DEN,102-96,W,13,7,0.538,5,0,0.0,3,3,1.0,17,5,2,0,3,1,1,35
6606,20140226,Wed 2/26,BKN,124-80,W,11,6,0.545,3,2,0.667,0,0,0.0,14,1,0,0,1,2,2,29
6606,20140225,Tue 2/25,DEN,100-95,W,21,8,0.381,11,4,0.364,13,11,0.846,31,7,9,1,1,1,3,37
