ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3988,20120426,Thu 4/26,GS,107-101,W,3,2,0.667,3,2,0.667,0,0,0.0,6,1,0,2,1,1,1,8
3988,20120425,Wed 4/25,PHX,110-106,W,9,4,0.444,3,1,0.333,0,0,0.0,9,4,0,0,0,1,1,17
3988,20120423,Mon 4/23,POR,124-89,W,6,6,1.0,4,4,1.0,2,2,1.0,18,2,1,1,0,1,2,15
3988,20120422,Sun 4/22,CLE,114-98,W,8,5,0.625,5,3,0.6,2,1,0.5,14,1,0,1,1,0,1,19
3988,20120420,Fri 4/20,LAL,121-97,W,7,3,0.429,1,1,1.0,1,1,1.0,8,3,2,1,0,2,0,26
3988,20120418,Wed 4/18,SAC,127-102,W,6,4,0.667,3,2,0.667,1,1,1.0,11,2,1,1,0,2,0,20
3988,20120417,Tue 4/17,LAL,112-91,W,5,4,0.8,4,3,0.75,0,0,0.0,11,0,1,2,2,3,1,24
3988,20120416,Mon 4/16,GS,120-99,W,11,4,0.364,7,3,0.429,0,0,0.0,11,5,1,0,0,0,0,19
3988,20120414,Sat 4/14,PHX,105-91,W,3,1,0.333,3,1,0.333,0,0,0.0,3,4,2,0,1,1,1,12
3988,20120412,Thu 4/12,MEM,107-97,W,9,3,0.333,5,2,0.4,2,2,1.0,10,4,0,0,1,0,1,24
3988,20120411,Wed 4/11,LAL,84-98,L,11,7,0.636,6,5,0.833,3,3,1.0,22,3,2,2,2,3,0,27
3988,20120409,Mon 4/9,UTAH,84-91,L,11,3,0.273,4,1,0.25,0,0,0.0,7,4,1,0,0,3,1,35
3988,20120408,Sun 4/8,UTAH,114-104,W,5,3,0.6,3,2,0.667,6,6,1.0,14,4,5,2,2,2,1,26
3988,20120406,Fri 4/6,&nbsp;NO,128-103,W,4,2,0.5,3,1,0.333,0,0,0.0,5,1,2,0,1,1,1,15
3988,20120404,Wed 4/4,BOS,87-86,W,13,6,0.462,6,2,0.333,0,0,0.0,14,4,1,0,1,1,1,36
3988,20120403,Tue 4/3,CLE,125-90,W,11,7,0.636,6,4,0.667,2,1,0.5,19,3,0,0,2,0,1,26
3988,20120331,Sat 3/31,IND,112-103,W,6,2,0.333,3,2,0.667,2,1,0.5,7,2,0,0,0,2,0,13
3988,20120328,Wed 3/28,SAC,117-112,W,7,3,0.429,2,1,0.5,1,0,0.0,7,0,1,0,0,1,0,15
3988,20120327,Tue 3/27,PHX,107-100,W,6,0,0.0,5,0,0.0,2,1,0.5,1,5,0,0,1,1,0,25
3988,20120325,Sun 3/25,PHI,93-76,W,7,3,0.429,5,3,0.6,2,1,0.5,10,3,2,2,1,2,1,28
3988,20120324,Sat 3/24,&nbsp;NO,89-86,W,9,3,0.333,4,0,0.0,2,0,0.0,6,7,1,1,2,1,2,31
3988,20120323,Fri 3/23,DAL,104-87,W,19,7,0.368,5,0,0.0,4,4,1.0,18,6,6,1,1,2,1,36
