ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3973,20160413,Wed 4/13,HOU,81-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3973,20160411,Mon 4/11,PHX,105-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3973,20160409,Sat 4/9,OKC,114-112,W,16,10,0.625,6,4,0.667,3,3,1.0,27,5,8,0,1,2,4,37
3973,20160407,Thu 4/7,MIN,97-105,L,12,7,0.583,3,1,0.333,4,4,1.0,19,2,6,0,0,4,2,37
3973,20160405,Tue 4/5,POR,107-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3973,20160402,Sat 4/2,DEN,115-106,W,13,4,0.308,1,0,0.0,7,6,0.857,14,4,8,0,0,2,3,39
3973,20160401,Fri 4/1,MIA,106-112,L,13,8,0.615,3,1,0.333,9,9,1.0,26,2,2,0,0,3,2,34
3973,20160330,Wed 3/30,WSH,120-111,W,8,5,0.625,3,1,0.333,2,2,1.0,13,4,10,1,1,1,2,31
3973,20160328,Mon 3/28,POR,93-105,L,13,5,0.385,0,0,0.0,0,0,0.0,10,2,7,0,3,2,2,32
3973,20160327,Sun 3/27,DAL,133-111,W,11,7,0.636,2,1,0.5,2,2,1.0,17,2,4,0,1,1,0,27
3973,20160325,Fri 3/25,PHX,116-94,W,10,5,0.5,1,0,0.0,1,1,1.0,11,3,3,0,3,1,1,26
3973,20160323,Wed 3/23,MIN,104-113,L,10,4,0.4,2,1,0.5,4,3,0.75,12,3,4,0,1,1,1,27
3973,20160321,Mon 3/21,CHI,102-109,L,10,6,0.6,5,4,0.8,3,3,1.0,19,4,4,0,0,2,1,32
3973,20160320,Sun 3/20,NY,88-80,W,13,4,0.308,5,3,0.6,2,2,1.0,13,3,6,0,3,2,0,40
3973,20160318,Fri 3/18,DET,108-115,L,9,4,0.444,3,1,0.333,1,1,1.0,10,0,2,0,1,0,1,32
3973,20160316,Wed 3/16,NO,108-123,L,15,8,0.533,3,3,1.0,4,4,1.0,23,1,4,0,0,4,0,27
3973,20160315,Tue 3/15,LAL,106-98,W,14,10,0.714,2,1,0.5,2,1,0.5,22,1,6,0,1,3,5,41
3973,20160313,Sun 3/13,UTAH,99-108,L,9,5,0.556,4,0,0.0,4,4,1.0,14,2,5,0,2,3,2,32
3973,20160311,Fri 3/11,ORL,100-107,L,14,3,0.214,6,0,0.0,3,2,0.667,8,2,6,0,3,4,0,37
3973,20160309,Wed 3/9,CLE,111-120,L,12,5,0.417,3,2,0.667,3,3,1.0,15,5,8,1,2,3,1,39
3973,20160307,Mon 3/7,NO,112-115,L,10,2,0.2,3,0,0.0,1,1,1.0,5,2,6,0,1,2,6,35
3973,20160305,Sat 3/5,SA,94-104,L,9,5,0.556,0,0,0.0,2,2,1.0,12,3,7,1,2,0,1,33
3973,20160303,Thu 3/3,DAL,104-101,W,8,5,0.625,2,1,0.5,4,3,0.75,14,1,2,0,1,2,1,28
3973,20160302,Wed 3/2,MEM,98-104,L,10,5,0.5,6,4,0.667,4,3,0.75,17,0,1,0,0,5,5,28
3973,20160229,Mon 2/29,OKC,116-131,L,10,5,0.5,5,2,0.4,0,0,0.0,12,3,4,0,0,2,0,34
3973,20160226,Fri 2/26,LAC,107-117,L,9,6,0.667,3,3,1.0,4,3,0.75,18,3,5,0,2,1,2,37
3973,20160224,Wed 2/24,SA,92-108,L,8,7,0.875,0,0,0.0,2,1,0.5,15,3,6,0,1,1,2,31
3973,20160223,Tue 2/23,DEN,114-110,W,7,3,0.429,2,0,0.0,4,3,0.75,9,4,5,0,1,2,2,32
3973,20160219,Fri 2/19,DEN,116-110,W,15,7,0.467,5,1,0.2,2,2,1.0,17,2,2,0,2,2,1,33
3973,20160210,Wed 2/10,PHI,114-110,W,12,9,0.75,2,2,1.0,6,5,0.833,25,3,3,0,0,1,1,32
3973,20160208,Mon 2/8,CLE,100-120,L,7,3,0.429,2,1,0.5,4,4,1.0,11,0,4,0,0,2,0,21
3973,20160207,Sun 2/7,BOS,119-128,L,11,6,0.545,4,2,0.5,2,2,1.0,16,2,4,0,2,0,1,28
3973,20160205,Fri 2/5,BKN,119-128,L,9,7,0.778,3,2,0.667,9,9,1.0,25,3,1,0,2,2,2,25
3973,20160203,Wed 2/3,CHI,102-107,L,11,8,0.727,2,0,0.0,4,3,0.75,19,2,2,0,0,0,0,30
3973,20160201,Mon 2/1,MIL,111-104,W,11,5,0.455,4,1,0.25,4,3,0.75,14,3,0,0,0,3,2,22
3973,20160130,Sat 1/30,MEM,117-121,L,14,7,0.5,3,1,0.333,6,5,0.833,20,2,2,0,2,4,2,28
3973,20160128,Thu 1/28,NO,105-114,L,10,4,0.4,2,0,0.0,0,0,0.0,8,1,3,0,1,2,0,26
3973,20160126,Tue 1/26,POR,97-112,L,4,2,0.5,1,1,1.0,2,1,0.5,6,2,1,0,1,1,3,21
3973,20160125,Mon 1/25,CHA,128-129,L,12,5,0.417,4,1,0.25,4,4,1.0,15,3,6,0,2,4,2,39
3973,20160123,Sat 1/23,IND,108-97,W,10,4,0.4,2,2,1.0,1,1,1.0,11,2,1,0,1,1,1,25
3973,20160121,Thu 1/21,ATL,91-88,W,5,1,0.2,0,0,0.0,2,1,0.5,3,0,0,0,1,1,1,16
3973,20160120,Wed 1/20,LAL,112-93,W,5,3,0.6,2,1,0.5,4,3,0.75,10,2,0,0,0,1,1,21
3973,20160116,Sat 1/16,LAC,110-103,W,9,5,0.556,3,2,0.667,6,5,0.833,17,4,5,0,1,3,1,31
3973,20160114,Thu 1/14,UTAH,103-101,W,5,1,0.2,1,1,1.0,2,0,0.0,3,2,1,0,1,3,1,24
3973,20160113,Wed 1/13,NO,97-109,L,9,4,0.444,4,1,0.25,2,1,0.5,10,3,4,0,1,3,3,29
3973,20160109,Sat 1/9,GS,116-128,L,10,5,0.5,2,1,0.5,5,5,1.0,16,2,6,0,1,1,1,31
3973,20160107,Thu 1/7,LAL,118-115,W,3,1,0.333,1,1,1.0,0,0,0.0,3,2,2,0,0,0,3,18
3973,20160105,Tue 1/5,DAL,116-117,L,14,6,0.429,4,0,0.0,3,2,0.667,14,4,12,0,2,1,3,47
3973,20160104,Mon 1/4,OKC,116-104,W,14,6,0.429,3,1,0.333,1,1,1.0,14,0,4,0,0,0,3,30
3973,20160102,Sat 1/2,PHX,142-119,W,10,7,0.7,4,2,0.5,6,5,0.833,21,2,6,0,0,5,1,29
3973,20161230,Wed 12/30,PHI,105-110,L,11,5,0.455,3,1,0.333,2,2,1.0,13,5,4,0,1,1,2,29
3973,20161228,Mon 12/28,GS,103-122,L,16,5,0.313,3,1,0.333,2,2,1.0,13,6,11,0,2,0,2,33
3973,20161227,Sun 12/27,POR,94-98,L,9,3,0.333,3,0,0.0,4,4,1.0,10,2,2,0,3,3,2,28
3973,20161223,Wed 12/23,IND,108-106,W,17,11,0.647,5,2,0.4,0,0,0.0,24,4,5,0,1,1,1,35
3973,20161221,Mon 12/21,WSH,99-113,L,8,4,0.5,3,1,0.333,5,4,0.8,13,3,8,0,0,3,2,31
3973,20161220,Sun 12/20,TOR,104-94,W,7,4,0.571,2,1,0.5,2,2,1.0,11,1,2,0,1,5,1,26
3973,20161218,Fri 12/18,MIN,95-99,L,10,6,0.6,5,2,0.4,3,1,0.333,15,0,1,0,0,3,0,27
3973,20161215,Tue 12/15,HOU,107-97,W,9,6,0.667,1,1,1.0,1,1,1.0,14,7,13,0,1,3,8,41
3973,20161210,Thu 12/10,NY,99-97,W,12,7,0.583,2,0,0.0,2,2,1.0,16,1,3,0,0,0,2,25
3973,20161208,Tue 12/8,UTAH,114-106,W,8,3,0.375,3,0,0.0,0,0,0.0,6,0,1,0,0,1,1,25
3973,20161206,Sun 12/6,OKC,95-98,L,10,4,0.4,4,2,0.5,6,6,1.0,16,2,5,0,2,2,2,33
3973,20161205,Sat 12/5,HOU,113-120,L,13,7,0.538,6,4,0.667,0,0,0.0,18,1,6,0,1,2,0,22
3973,20161203,Thu 12/3,BOS,97-114,L,8,3,0.375,2,0,0.0,6,6,1.0,12,1,5,1,0,0,2,26
3973,20161130,Mon 11/30,DAL,112-98,W,8,4,0.5,5,1,0.2,6,6,1.0,15,5,3,0,0,3,1,28
3973,20161128,Sat 11/28,GS,101-120,L,13,5,0.385,3,0,0.0,1,1,1.0,11,4,3,0,3,1,2,27
3973,20161127,Fri 11/27,MIN,91-101,L,9,4,0.444,4,2,0.5,0,0,0.0,10,1,3,0,1,2,3,23
3973,20161125,Wed 11/25,MIL,129-118,W,10,5,0.5,4,2,0.5,7,6,0.857,18,2,3,0,0,2,1,26
3973,20161123,Mon 11/23,CHA,122-127,L,11,3,0.273,3,0,0.0,1,1,1.0,7,3,4,0,0,2,1,29
3973,20161121,Sat 11/21,ORL,97-91,W,11,2,0.182,3,1,0.333,4,4,1.0,9,2,1,0,3,0,4,36
3973,20161119,Thu 11/19,MIA,109-116,L,7,4,0.571,0,0,0.0,1,1,1.0,9,0,1,0,0,0,0,21
3973,20161118,Wed 11/18,ATL,97-103,L,9,3,0.333,3,1,0.333,0,0,0.0,7,2,5,0,2,4,2,28
3973,20161115,Sun 11/15,TOR,107-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3973,20161113,Fri 11/13,BKN,111-109,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3973,20161111,Wed 11/11,DET,101-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
