ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2578259,20160413,Wed 4/13,CLE,112-110,W,7,1,0.143,1,0,0.0,2,2,1.0,4,4,2,1,1,2,3,24
2578259,20160412,Tue 4/12,MIA,93-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160408,Fri 4/8,WSH,112-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160406,Wed 4/6,ORL,108-104,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160405,Tue 4/5,MIA,89-107,L,6,3,0.5,4,2,0.5,0,0,0.0,8,3,1,0,0,0,0,14
2578259,20160402,Sat 4/2,CHI,94-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160401,Fri 4/1,DAL,89-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160329,Tue 3/29,OKC,88-82,W,1,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,3
2578259,20160326,Sat 3/26,ATL,95-112,L,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2
2578259,20160325,Fri 3/25,CHA,112-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160323,Wed 3/23,ORL,118-102,W,4,2,0.5,3,2,0.667,8,5,0.625,11,6,3,0,1,2,1,29
2578259,20160321,Mon 3/21,MIL,92-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160319,Sat 3/19,BKN,115-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160318,Fri 3/18,SAC,115-108,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160316,Wed 3/16,ATL,114-118,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160314,Mon 3/14,WSH,81-124,L,5,3,0.6,1,0,0.0,4,4,1.0,10,0,0,0,0,0,0,12
2578259,20160312,Sat 3/12,PHI,125-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160311,Fri 3/11,CHA,103-118,L,2,2,1.0,0,0,0.0,1,1,1.0,5,0,1,0,0,0,0,3
2578259,20160309,Wed 3/9,DAL,102-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160306,Sun 3/6,POR,123-103,W,3,2,0.667,2,1,0.5,0,0,0.0,5,0,1,0,1,0,0,7
2578259,20160305,Sat 3/5,NY,89-102,L,4,1,0.25,1,0,0.0,0,0,0.0,2,0,0,0,0,1,0,9
2578259,20160302,Wed 3/2,SA,81-97,L,4,1,0.25,3,1,0.333,0,0,0.0,3,1,1,0,0,0,0,12
2578259,20160228,Sun 2/28,TOR,114-101,W,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,2,0,9
2578259,20160227,Sat 2/27,MIL,102-91,W,4,2,0.5,2,2,1.0,2,2,1.0,8,1,1,0,0,1,1,13
2578259,20160224,Wed 2/24,PHI,111-91,W,10,2,0.2,4,1,0.25,2,1,0.5,6,5,1,0,1,1,0,18
2578259,20160222,Mon 2/22,CLE,96-88,W,2,0,0.0,1,0,0.0,0,0,0.0,0,3,2,0,0,1,3,11
2578259,20160221,Sun 2/21,NO,106-111,L,3,1,0.333,2,1,0.5,0,0,0.0,3,1,0,0,1,1,1,11
2578259,20160219,Fri 2/19,WSH,86-98,L,1,1,1.0,0,0,0.0,2,1,0.5,3,0,0,0,0,0,0,2
2578259,20160210,Wed 2/10,DEN,92-103,L,6,3,0.5,2,1,0.5,3,2,0.667,9,1,6,0,0,1,2,27
2578259,20160208,Mon 2/8,TOR,89-103,L,12,6,0.5,4,1,0.25,0,0,0.0,13,0,1,0,2,2,0,25
2578259,20160206,Sat 2/6,IND,104-112,L,6,3,0.5,4,2,0.5,3,1,0.333,9,1,1,0,0,4,1,21
2578259,20160204,Thu 2/4,NY,111-105,W,4,3,0.75,0,0,0.0,0,0,0.0,6,1,0,0,0,2,1,15
2578259,20160203,Wed 2/3,BOS,95-102,L,3,2,0.667,1,0,0.0,0,0,0.0,4,3,1,0,0,0,0,12
2578259,20160201,Mon 2/1,BKN,105-100,W,0,0,0.0,0,0,0.0,2,1,0.5,1,1,0,0,0,0,0,5
2578259,20160130,Sat 1/30,TOR,107-111,L,3,2,0.667,2,1,0.5,0,0,0.0,5,2,1,0,1,3,1,10
2578259,20160129,Fri 1/29,CLE,106-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160127,Wed 1/27,PHI,110-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160125,Mon 1/25,UTAH,95-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160123,Sat 1/23,DEN,101-104,L,2,1,0.5,0,0,0.0,0,0,0.0,2,1,2,0,0,0,1,7
2578259,20160121,Thu 1/21,NO,99-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160120,Wed 1/20,HOU,123-114,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160118,Mon 1/18,CHI,101-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3
2578259,20160116,Sat 1/16,GS,113-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160114,Thu 1/14,MEM,101-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160112,Tue 1/12,SA,99-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160109,Sat 1/9,BKN,103-89,W,5,3,0.6,2,1,0.5,1,1,1.0,8,4,1,0,0,2,1,20
2578259,20160106,Wed 1/6,BOS,99-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20160104,Mon 1/4,ORL,115-89,W,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,4
2578259,20160102,Sat 1/2,IND,82-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161231,Thu 12/31,MIN,115-90,W,1,0,0.0,0,0,0.0,4,4,1.0,4,0,0,0,1,0,0,3
2578259,20161229,Tue 12/29,NY,96-108,L,1,1,1.0,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,3
2578259,20161226,Sat 12/26,BOS,93-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161223,Wed 12/23,ATL,100-107,L,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,5
2578259,20161222,Tue 12/22,MIA,93-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161218,Fri 12/18,CHI,147-144,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161216,Wed 12/16,BOS,119-116,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161214,Mon 12/14,LAC,103-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161212,Sat 12/12,IND,118-96,W,3,1,0.333,1,0,0.0,0,0,0.0,2,0,0,0,0,0,1,3
2578259,20161211,Fri 12/11,PHI,107-95,W,5,1,0.2,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,9
2578259,20161209,Wed 12/9,MEM,92-93,L,1,1,1.0,1,1,1.0,0,0,0.0,3,1,1,0,0,0,0,7
2578259,20161207,Mon 12/7,CHA,84-104,L,2,0,0.0,0,0,0.0,4,2,0.5,2,0,0,0,0,0,0,4
2578259,20161206,Sun 12/6,LAL,111-91,W,5,1,0.2,4,1,0.25,2,2,1.0,5,1,0,0,0,2,0,7
2578259,20161204,Fri 12/4,MIL,102-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161202,Wed 12/2,PHX,127-122,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161130,Mon 11/30,HOU,116-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161129,Sun 11/29,BKN,83-87,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161127,Fri 11/27,OKC,87-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161125,Wed 11/25,MIA,104-81,W,3,2,0.667,1,1,1.0,0,0,0.0,5,1,0,0,0,0,0,3
2578259,20161123,Mon 11/23,MIL,88-109,L,7,1,0.143,2,0,0.0,0,0,0.0,2,3,0,0,0,0,2,13
2578259,20161121,Sat 11/21,WSH,95-97,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161120,Fri 11/20,MIN,96-86,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161117,Tue 11/17,CLE,104-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161115,Sun 11/15,LAL,85-97,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161114,Sat 11/14,LAC,96-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161111,Wed 11/11,SAC,92-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161109,Mon 11/9,GS,95-109,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161108,Sun 11/8,POR,120-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161106,Fri 11/6,PHX,100-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161103,Tue 11/3,IND,82-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161030,Fri 10/30,CHI,98-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161028,Wed 10/28,UTAH,92-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161027,Tue 10/27,ATL,106-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2578259,20161023,Fri 10/23,ATL,115-87,W,4,2,0.5,4,2,0.5,0,0,0.0,6,0,2,0,1,3,3,15
2578259,20161014,Wed 10/14,CHI,114-91,W,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3
2578259,20161010,Sat 10/10,MIL,117-88,W,1,0,0.0,1,0,0.0,4,4,1.0,4,0,0,0,1,0,0,4
2578259,20161008,Thu 10/8,BKN,83-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
