ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3442,20150414,Tue 4/14,PHX,112-101,W,7,6,0.857,0,0,0.0,3,1,0.333,13,14,0,2,0,3,3,31
3442,20150413,Mon 4/13,DEN,110-103,W,12,8,0.667,0,0,0.0,10,4,0.4,20,21,3,4,1,2,1,36
3442,20150411,Sat 4/11,MEM,94-86,W,7,6,0.857,0,0,0.0,5,4,0.8,16,16,0,2,3,3,0,37
3442,20150407,Tue 4/7,LAL,105-100,W,5,4,0.8,0,0,0.0,2,0,0.0,8,17,0,3,0,3,2,33
3442,20150405,Sun 4/5,LAL,106-78,W,9,7,0.778,0,0,0.0,8,2,0.25,16,11,0,1,4,3,2,30
3442,20150404,Sat 4/4,DEN,107-92,W,6,3,0.5,0,0,0.0,14,8,0.571,14,22,2,3,0,1,1,34
3442,20150401,Wed 4/1,POR,126-122,W,5,4,0.8,0,0,0.0,10,5,0.5,13,13,3,1,1,3,0,40
3442,20150331,Tue 3/31,GS,106-110,L,5,1,0.2,0,0,0.0,6,3,0.5,5,15,0,3,0,4,0,40
3442,20150329,Sun 3/29,BOS,119-106,W,8,6,0.75,0,0,0.0,15,3,0.2,15,14,0,0,1,4,1,29
3442,20150327,Fri 3/27,PHI,119-98,W,10,6,0.6,0,0,0.0,17,5,0.294,17,20,0,2,0,2,0,28
3442,20150325,Wed 3/25,NY,111-80,W,7,7,1.0,0,0,0.0,2,0,0.0,14,10,1,5,1,1,0,28
3442,20150322,Sun 3/22,NO,107-100,W,7,5,0.714,0,0,0.0,7,2,0.286,12,16,1,3,1,5,3,37
3442,20150320,Fri 3/20,WSH,113-99,W,7,5,0.714,0,0,0.0,0,0,0.0,10,23,3,3,2,2,2,43
3442,20150318,Wed 3/18,SAC,116-105,W,7,3,0.429,0,0,0.0,1,0,0.0,6,15,1,4,1,6,2,36
3442,20150317,Tue 3/17,CHA,99-92,W,6,3,0.5,0,0,0.0,12,6,0.5,12,14,3,1,1,4,1,34
3442,20150315,Sun 3/15,HOU,98-100,L,3,2,0.667,0,0,0.0,8,1,0.125,5,20,1,4,0,5,4,35
3442,20150313,Fri 3/13,DAL,99-129,L,9,7,0.778,1,1,1.0,5,1,0.2,16,18,1,0,1,1,3,36
3442,20150311,Wed 3/11,OKC,120-108,W,7,3,0.429,0,0,0.0,22,12,0.545,18,17,1,0,0,5,3,38
3442,20150309,Mon 3/9,MIN,89-76,W,11,10,0.909,0,0,0.0,3,0,0.0,20,17,3,2,1,2,4,39
3442,20150308,Sun 3/8,GS,98-106,L,2,2,1.0,0,0,0.0,4,2,0.5,6,14,1,0,1,3,2,32
3442,20150304,Wed 3/4,POR,93-98,L,5,2,0.4,0,0,0.0,10,2,0.2,6,19,0,1,1,3,0,45
3442,20150302,Mon 3/2,MIN,110-105,W,7,4,0.571,1,0,0.0,9,4,0.444,12,18,1,0,1,3,4,38
3442,20150301,Sun 3/1,CHI,96-86,W,3,2,0.667,0,0,0.0,12,5,0.417,9,26,0,2,2,3,1,41
3442,20150227,Fri 2/27,MEM,97-79,W,6,4,0.667,0,0,0.0,17,7,0.412,15,22,3,3,2,0,1,41
3442,20150225,Wed 2/25,HOU,105-110,L,12,9,0.75,0,0,0.0,8,4,0.5,22,19,1,2,0,4,3,38
3442,20150223,Mon 2/23,MEM,87-90,L,4,4,1.0,0,0,0.0,4,1,0.25,9,17,1,2,1,2,1,40
3442,20150221,Sat 2/21,SAC,126-99,W,11,5,0.455,0,0,0.0,2,1,0.5,11,15,0,2,1,4,0,20
3442,20150219,Thu 2/19,SA,119-115,W,11,8,0.727,0,0,0.0,28,10,0.357,26,18,0,1,3,4,0,39
3442,20150211,Wed 2/11,HOU,110-95,W,8,6,0.75,0,0,0.0,26,12,0.462,24,20,2,2,3,4,2,43
3442,20150209,Mon 2/9,DAL,115-98,W,12,8,0.667,0,0,0.0,9,6,0.667,22,27,0,3,1,3,0,39
3442,20150208,Sun 2/8,OKC,108-131,L,6,3,0.5,0,0,0.0,4,2,0.5,8,10,2,1,1,4,0,35
3442,20150206,Fri 2/6,TOR,107-123,L,6,4,0.667,0,0,0.0,2,1,0.5,9,7,0,1,0,3,1,36
3442,20150205,Thu 2/5,CLE,94-105,L,4,3,0.75,0,0,0.0,4,2,0.5,8,14,0,1,0,3,1,27
3442,20150202,Mon 2/2,BKN,100-102,L,13,10,0.769,0,0,0.0,12,2,0.167,22,20,0,0,0,2,3,37
3442,20150131,Sat 1/31,SA,105-85,W,5,3,0.6,0,0,0.0,2,2,1.0,8,19,1,4,1,4,1,31
3442,20150130,Fri 1/30,NO,103-108,L,7,6,0.857,0,0,0.0,2,0,0.0,12,15,0,3,0,0,1,34
3442,20150128,Wed 1/28,UTAH,94-89,W,6,4,0.667,0,0,0.0,5,1,0.2,9,12,0,3,0,4,1,35
