ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4257,20160413,Wed 4/13,LAL,96-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4257,20160411,Mon 4/11,DAL,92-101,L,11,5,0.455,0,0,0.0,2,1,0.5,11,3,0,1,1,0,1,28
4257,20160410,Sun 4/10,DEN,100-84,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4257,20160408,Fri 4/8,LAC,99-102,L,10,5,0.5,0,0,0.0,2,1,0.5,11,11,0,4,2,2,4,37
4257,20160405,Tue 4/5,SA,86-88,L,5,3,0.6,1,0,0.0,2,2,1.0,8,4,1,1,1,2,1,27
4257,20160403,Sun 4/3,PHX,101-86,W,11,8,0.727,0,0,0.0,2,1,0.5,17,2,3,0,2,3,1,28
4257,20160401,Fri 4/1,MIN,98-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4257,20160330,Wed 3/30,GS,96-103,L,11,7,0.636,0,0,0.0,4,1,0.25,15,7,0,0,1,1,0,19
4257,20160328,Mon 3/28,LAL,123-75,W,12,6,0.5,1,0,0.0,2,2,1.0,14,9,1,0,1,2,1,27
4257,20160326,Sat 3/26,MIN,93-84,W,15,8,0.533,0,0,0.0,3,3,1.0,19,5,2,2,0,2,0,34
4257,20160324,Thu 3/24,OKC,91-113,L,8,3,0.375,0,0,0.0,1,1,1.0,7,2,0,0,2,2,3,22
4257,20160323,Wed 3/23,HOU,89-87,W,15,7,0.467,0,0,0.0,4,3,0.75,17,15,4,3,0,2,3,36
4257,20160320,Sun 3/20,MIL,94-85,W,13,5,0.385,0,0,0.0,2,2,1.0,12,9,0,1,1,3,1,32
4257,20160319,Sat 3/19,CHI,85-92,L,18,11,0.611,0,0,0.0,5,2,0.4,24,6,2,2,1,3,3,36
4257,20160317,Thu 3/17,PHX,103-69,W,11,5,0.455,0,0,0.0,2,2,1.0,12,5,0,1,2,3,1,27
4257,20160314,Mon 3/14,CLE,94-85,W,15,7,0.467,0,0,0.0,7,5,0.714,19,5,0,3,1,1,3,32
4257,20160313,Sun 3/13,SAC,108-99,W,16,10,0.625,0,0,0.0,10,8,0.8,28,14,4,1,3,2,1,38
