ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2382,20130417,Wed 4/17,NY,92-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130416,Tue 4/16,TOR,96-113,L,8,2,0.25,5,1,0.2,0,0,0.0,5,1,2,0,0,3,0,17
2382,20130412,Fri 4/12,MIL,109-104,W,19,5,0.263,10,3,0.3,7,6,0.857,19,4,5,0,3,1,4,33
2382,20130410,Wed 4/10,PHI,124-101,W,6,2,0.333,4,1,0.25,4,3,0.75,8,1,8,0,0,2,1,18
2382,20130406,Sat 4/6,SA,97-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130405,Fri 4/5,PHI,90-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130403,Wed 4/3,NY,82-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130401,Mon 4/1,CLE,102-94,W,17,8,0.471,7,1,0.143,8,8,1.0,25,3,7,0,3,3,2,43
2382,20130330,Sat 3/30,ORL,97-88,W,7,5,0.714,3,2,0.667,9,5,0.556,17,4,6,0,1,0,2,34
2382,20130329,Fri 3/29,BOS,107-118,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130327,Wed 3/27,TOR,107-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130325,Mon 3/25,IND,94-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130324,Sun 3/24,MIL,104-99,W,12,5,0.417,7,4,0.571,2,2,1.0,16,3,4,1,1,1,2,29
2382,20130322,Fri 3/22,POR,93-104,L,8,3,0.375,4,2,0.5,0,0,0.0,8,1,5,0,1,0,1,14
2382,20130320,Wed 3/20,MIL,98-90,W,9,4,0.444,4,1,0.25,7,6,0.857,15,1,6,0,2,1,1,39
2382,20130318,Mon 3/18,DAL,113-127,L,7,4,0.571,3,1,0.333,2,1,0.5,10,1,2,1,1,1,1,23
2382,20130317,Sun 3/17,BKN,105-93,W,4,1,0.25,3,1,0.333,2,1,0.5,4,1,4,0,1,4,2,9
2382,20130315,Fri 3/15,PHX,107-94,W,9,6,0.667,2,2,1.0,1,1,1.0,15,4,5,0,3,3,2,24
2382,20130313,Wed 3/13,LAL,96-92,W,15,6,0.4,6,1,0.167,8,4,0.5,17,3,7,0,0,1,2,34
2382,20130312,Tue 3/12,MIA,81-98,L,6,3,0.5,4,1,0.25,0,0,0.0,7,2,4,0,1,2,2,19
2382,20130309,Sat 3/9,BKN,80-93,L,5,2,0.4,2,0,0.0,4,2,0.5,6,2,9,0,0,4,0,26
2382,20130308,Fri 3/8,BOS,102-107,L,10,5,0.5,5,1,0.2,2,1,0.5,12,1,1,0,0,1,2,28
2382,20130306,Wed 3/6,PHI,107-96,W,8,3,0.375,2,0,0.0,1,0,0.0,6,4,2,0,1,3,1,27
2382,20130304,Mon 3/4,DEN,88-104,L,10,4,0.4,6,1,0.167,2,2,1.0,11,2,2,2,0,2,2,21
2382,20130303,Sun 3/3,LAL,98-99,L,9,5,0.556,6,3,0.5,3,3,1.0,16,3,6,0,3,1,0,24
2382,20130301,Fri 3/1,PHX,87-92,L,9,4,0.444,2,0,0.0,4,4,1.0,12,1,6,0,1,2,5,27
2382,20130227,Wed 2/27,UTAH,102-91,W,9,4,0.444,4,2,0.5,3,2,0.667,12,2,2,0,3,2,2,32
2382,20130225,Mon 2/25,DET,114-103,W,6,3,0.5,5,3,0.6,3,2,0.667,11,1,3,0,1,2,1,13
2382,20130223,Sat 2/23,MIL,103-102,W,11,7,0.636,5,4,0.8,3,3,1.0,21,1,4,0,1,0,1,39
2382,20130222,Fri 2/22,SAC,122-108,W,5,3,0.6,2,2,1.0,2,2,1.0,10,2,2,0,0,2,0,13
2382,20130220,Wed 2/20,MIA,90-103,L,5,2,0.4,3,0,0.0,3,2,0.667,6,4,3,0,0,1,0,20
2382,20130213,Wed 2/13,ORL,108-76,W,6,0,0.0,6,0,0.0,4,4,1.0,4,3,5,0,1,1,3,25
2382,20130211,Mon 2/11,DAL,105-101,W,11,5,0.455,8,3,0.375,2,2,1.0,15,0,5,0,1,3,3,32
2382,20130208,Fri 2/8,&nbsp;NO,100-111,L,2,1,0.5,0,0,0.0,0,0,0.0,2,2,2,0,1,2,2,18
2382,20130206,Wed 2/6,MEM,103-92,W,4,2,0.5,2,0,0.0,5,4,0.8,8,1,3,0,0,1,1,17
2382,20130205,Tue 2/5,IND,103-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130202,Sat 2/2,CHI,76-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130130,Wed 1/30,TOR,93-92,W,7,3,0.429,4,1,0.25,1,1,1.0,8,0,5,1,2,1,3,32
2382,20130127,Sun 1/27,NY,104-106,L,4,1,0.25,1,0,0.0,2,1,0.5,3,4,2,1,2,0,1,21
2382,20130125,Fri 1/25,BOS,123-111,W,13,4,0.308,9,2,0.222,4,4,1.0,14,3,2,1,2,3,2,38
2382,20130123,Wed 1/23,&nbsp;CHA,104-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130121,Mon 1/21,MIN,104-96,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130119,Sat 1/19,SA,93-98,L,8,4,0.5,3,2,0.667,6,3,0.5,13,1,1,0,0,2,1,17
2382,20130118,Fri 1/18,BKN,89-94,L,15,6,0.4,8,3,0.375,2,2,1.0,17,3,3,0,0,3,0,33
2382,20130116,Wed 1/16,BKN,109-95,W,11,6,0.545,6,2,0.333,5,4,0.8,18,4,5,0,4,1,3,35
2382,20130114,Mon 1/14,CHI,58-97,L,5,0,0.0,2,0,0.0,0,0,0.0,0,2,0,0,0,3,2,16
2382,20130112,Sat 1/12,WSH,83-93,L,6,3,0.5,3,1,0.333,2,1,0.5,8,2,5,0,1,2,2,22
2382,20130111,Fri 1/11,UTAH,103-95,W,8,7,0.875,5,4,0.8,8,6,0.75,24,4,5,0,2,1,3,35
2382,20130109,Wed 1/9,CLE,83-99,L,2,0,0.0,1,0,0.0,0,0,0.0,0,1,0,0,1,2,0,12
2382,20130108,Tue 1/8,MIN,103-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130105,Sat 1/5,BOS,81-89,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130104,Fri 1/4,DET,84-85,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20130101,Tue 1/1,&nbsp;NO,95-86,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131231,Mon 12/31,HOU,104-123,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131229,Sat 12/29,IND,109-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131228,Fri 12/28,CLE,102-94,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131226,Wed 12/26,DET,126-119,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131222,Sat 12/22,CHI,92-75,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131221,Fri 12/21,PHI,80-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131219,Wed 12/19,OKC,92-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131218,Tue 12/18,WSH,100-95,W,6,3,0.5,5,2,0.4,0,0,0.0,8,0,1,0,1,1,3,14
2382,20131215,Sat 12/15,GS,93-115,L,3,0,0.0,1,0,0.0,2,0,0.0,0,1,0,0,0,3,0,16
2382,20131213,Thu 12/13,&nbsp;CHA,113-90,W,11,7,0.636,8,4,0.5,4,2,0.5,20,1,4,0,0,1,1,24
2382,20131212,Wed 12/12,ORL,86-80,W,8,4,0.5,4,1,0.25,2,1,0.5,10,4,3,1,1,2,1,30
2382,20131210,Mon 12/10,MIA,92-101,L,7,2,0.286,4,0,0.0,0,0,0.0,4,2,0,0,1,5,0,23
2382,20131208,Sat 12/8,MEM,93-83,W,2,0,0.0,0,0,0.0,4,3,0.75,3,3,0,0,2,1,1,25
2382,20131207,Fri 12/7,WSH,104-95,W,11,5,0.455,8,2,0.25,4,3,0.75,15,1,6,0,0,4,3,36
2382,20131205,Wed 12/5,DEN,108-104,W,6,5,0.833,3,2,0.667,0,0,0.0,12,3,5,0,3,2,3,31
2382,20131130,Fri 11/30,CLE,111-113,L,9,5,0.556,2,0,0.0,3,3,1.0,13,1,4,0,2,3,1,34
2382,20131128,Wed 11/28,&nbsp;CHA,94-91,W,7,2,0.286,6,2,0.333,2,1,0.5,7,1,4,0,2,0,1,24
2382,20131124,Sat 11/24,LAC,104-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131123,Fri 11/23,&nbsp;CHA,101-91,W,6,3,0.5,3,1,0.333,3,1,0.333,8,0,1,3,1,1,0,18
2382,20131121,Wed 11/21,WSH,101-100,W,8,4,0.5,6,3,0.5,2,2,1.0,13,3,5,0,2,0,1,34
2382,20131119,Mon 11/19,ORL,81-72,W,7,3,0.429,5,2,0.4,0,0,0.0,8,4,1,0,3,2,1,25
2382,20131116,Fri 11/16,SAC,112-96,W,2,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,1,1,13
2382,20131114,Wed 11/14,GS,88-92,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2382,20131112,Mon 11/12,POR,95-87,W,3,2,0.667,0,0,0.0,1,0,0.0,4,1,2,0,0,1,0,9
2382,20131111,Sun 11/11,LAC,76-89,L,7,2,0.286,5,1,0.2,2,0,0.0,5,4,3,2,0,1,2,25
2382,20131109,Fri 11/9,MIA,89-95,L,3,1,0.333,1,0,0.0,2,2,1.0,4,2,3,0,0,1,2,20
2382,20131107,Wed 11/7,IND,89-86,W,6,2,0.333,1,0,0.0,0,0,0.0,4,1,3,0,0,4,4,15
2382,20131104,Sun 11/4,OKC,104-95,W,5,2,0.4,1,1,1.0,2,2,1.0,7,0,1,0,0,3,0,23
2382,20131102,Fri 11/2,HOU,102-109,L,10,4,0.4,5,1,0.2,0,0,0.0,9,2,2,0,2,0,1,22
