ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2580913,20140416,Wed 4/16,IND,86-101,L,10,4,0.4,0,0,0.0,0,0,0.0,8,13,0,2,2,3,1,27
2580913,20140414,Mon 4/14,CHI,95-108,L,4,1,0.25,0,0,0.0,4,4,1.0,6,9,0,2,0,6,0,29
2580913,20140413,Sun 4/13,BKN,88-97,L,4,1,0.25,0,0,0.0,0,0,0.0,2,5,0,2,1,2,2,20
2580913,20140411,Fri 4/11,WSH,86-96,L,7,1,0.143,0,0,0.0,2,2,1.0,4,10,1,1,1,3,1,25
2580913,20140409,Wed 4/9,BKN,115-111,W,3,2,0.667,0,0,0.0,1,0,0.0,4,9,0,2,1,2,0,20
2580913,20140405,Sat 4/5,MIN,100-92,W,5,1,0.2,0,0,0.0,0,0,0.0,2,6,0,0,1,3,0,14
2580913,20140404,Fri 4/4,&nbsp;CHA,80-91,L,5,2,0.4,0,0,0.0,5,3,0.6,7,8,0,0,0,4,1,18
2580913,20140402,Wed 4/2,CLE,98-119,L,2,1,0.5,0,0,0.0,0,0,0.0,2,5,1,0,0,1,1,17
2580913,20140330,Sun 3/30,TOR,93-98,L,1,1,1.0,0,0,0.0,0,0,0.0,2,2,0,1,0,4,0,15
2580913,20140328,Fri 3/28,&nbsp;CHA,110-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580913,20140325,Tue 3/25,POR,95-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580913,20140323,Sun 3/23,LAL,94-103,L,2,2,1.0,0,0,0.0,2,1,0.5,5,3,0,1,0,2,0,11
2580913,20140322,Sat 3/22,UTAH,88-89,L,1,0,0.0,0,0,0.0,0,0,0.0,0,2,0,1,0,3,1,12
2580913,20140319,Wed 3/19,PHX,93-109,L,3,2,0.667,0,0,0.0,2,2,1.0,6,0,0,1,1,0,1,9
2580913,20140318,Tue 3/18,GS,89-103,L,2,2,1.0,0,0,0.0,0,0,0.0,4,3,0,0,0,2,0,12
2580913,20140314,Fri 3/14,WSH,101-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580913,20140312,Wed 3/12,DEN,112-120,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580913,20140310,Mon 3/10,MIL,98-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580913,20140308,Sat 3/8,SA,112-121,L,1,1,1.0,0,0,0.0,0,0,0.0,2,0,0,0,0,1,0,1
2580913,20140305,Wed 3/5,HOU,89-101,L,1,1,1.0,0,0,0.0,0,0,0.0,2,1,0,0,0,1,1,2
2580913,20140302,Sun 3/2,PHI,92-81,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580913,20140301,Sat 3/1,MIA,98-112,L,2,1,0.5,0,0,0.0,1,1,1.0,3,2,0,0,0,0,0,3
2580913,20140226,Wed 2/26,PHI,101-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580913,20140225,Tue 2/25,WSH,106-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2580913,20140201,Sat 2/1,DET,96-113,L,4,2,0.5,0,0,0.0,4,3,0.75,7,7,0,1,0,4,2,19
