ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
609,20160413,Wed 4/13,SA,91-96,L,17,5,0.294,7,1,0.143,10,8,0.8,19,7,1,0,1,2,1,34
609,20160411,Mon 4/11,UTAH,101-92,W,12,7,0.583,7,4,0.571,4,4,1.0,22,11,3,1,1,0,1,32
609,20160410,Sun 4/10,LAC,91-98,L,9,4,0.444,4,1,0.25,5,5,1.0,14,5,2,0,0,2,0,28
609,20160408,Fri 4/8,MEM,103-93,W,12,6,0.5,6,2,0.333,8,7,0.875,21,3,2,0,1,4,3,34
609,20160406,Wed 4/6,HOU,88-86,W,8,2,0.25,2,0,0.0,3,3,1.0,7,6,1,0,1,3,0,33
609,20160403,Sun 4/3,MIN,88-78,W,18,4,0.222,10,2,0.2,4,3,0.75,13,4,1,0,0,2,1,33
609,20160401,Fri 4/1,DET,98-89,W,18,8,0.444,1,1,1.0,2,2,1.0,19,5,3,0,1,1,1,37
609,20160330,Wed 3/30,NY,91-89,W,23,5,0.217,8,1,0.125,0,0,0.0,11,4,2,0,1,3,1,33
609,20160328,Mon 3/28,DEN,97-88,W,17,4,0.235,3,0,0.0,2,2,1.0,10,4,0,1,4,3,0,33
609,20160327,Sun 3/27,SAC,111-133,L,15,6,0.4,4,2,0.5,0,0,0.0,14,5,0,0,0,1,1,27
609,20160325,Fri 3/25,GS,120-128,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
609,20160323,Wed 3/23,POR,103-109,L,16,9,0.563,5,2,0.4,1,1,1.0,21,9,3,1,0,1,3,36
609,20160320,Sun 3/20,POR,132-120,W,26,16,0.615,5,3,0.6,5,5,1.0,40,8,4,0,2,5,2,39
609,20160318,Fri 3/18,GS,112-130,L,16,9,0.563,6,3,0.5,3,3,1.0,24,9,4,3,0,2,0,33
609,20160316,Wed 3/16,CLE,98-99,L,17,7,0.412,6,1,0.167,6,5,0.833,20,4,3,3,0,1,1,35
609,20160314,Mon 3/14,CHA,107-96,W,18,8,0.444,5,1,0.2,7,6,0.857,23,11,1,2,0,3,1,28
609,20160312,Sat 3/12,IND,105-112,L,16,10,0.625,5,3,0.6,8,7,0.875,30,5,2,0,2,2,0,35
609,20160309,Wed 3/9,DET,96-102,L,17,10,0.588,4,2,0.5,3,3,1.0,25,10,3,0,1,2,1,35
609,20160307,Mon 3/7,LAC,90-109,L,19,9,0.474,4,0,0.0,5,4,0.8,22,6,0,0,1,2,4,28
609,20160306,Sun 3/6,DEN,114-116,L,18,11,0.611,8,5,0.625,3,3,1.0,30,6,1,1,0,3,1,35
