ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6589,20150415,Wed 4/15,DEN,133-126,W,5,2,0.4,2,0,0.0,4,4,1.0,8,3,3,1,0,3,1,20
6589,20150413,Mon 4/13,MEM,111-107,W,4,2,0.5,2,1,0.5,0,0,0.0,5,9,4,0,1,2,3,27
6589,20150411,Sat 4/11,MIN,110-101,W,9,5,0.556,3,1,0.333,2,2,1.0,13,14,5,1,2,4,1,37
6589,20150409,Thu 4/9,POR,116-105,W,11,5,0.455,4,1,0.25,0,0,0.0,11,14,3,2,1,3,1,36
6589,20150407,Tue 4/7,NO,100-103,L,18,10,0.556,7,3,0.429,2,1,0.5,24,14,4,1,1,4,1,35
6589,20150405,Sun 4/5,SA,92-107,L,11,2,0.182,3,0,0.0,4,2,0.5,6,7,6,0,1,1,1,27
6589,20150404,Sat 4/4,DAL,123-110,W,7,2,0.286,3,1,0.333,2,0,0.0,5,6,4,0,1,4,2,30
6589,20150402,Thu 4/2,PHX,107-106,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6589,20150331,Tue 3/31,LAC,110-106,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6589,20150328,Sat 3/28,MIL,108-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6589,20150327,Fri 3/27,MEM,107-84,W,9,5,0.556,1,0,0.0,1,0,0.0,10,2,3,0,1,3,2,20
6589,20150324,Tue 3/24,POR,122-108,W,10,6,0.6,4,1,0.25,2,1,0.5,14,11,8,3,0,3,2,37
6589,20150323,Mon 3/23,WSH,107-76,W,11,5,0.455,8,3,0.375,2,0,0.0,13,6,0,1,1,2,3,22
6589,20150321,Sat 3/21,UTAH,106-91,W,10,2,0.2,3,0,0.0,13,11,0.846,15,6,7,0,2,5,2,32
6589,20150320,Fri 3/20,NO,112-96,W,6,3,0.5,1,0,0.0,0,0,0.0,6,8,3,1,1,1,1,27
6589,20150318,Wed 3/18,ATL,114-95,W,11,6,0.545,7,5,0.714,4,1,0.25,18,7,3,0,1,3,2,29
6589,20150316,Mon 3/16,LAL,108-105,W,14,7,0.5,5,1,0.2,1,1,1.0,16,8,3,1,5,5,3,34
6589,20150314,Sat 3/14,NY,125-94,W,7,5,0.714,3,2,0.667,0,0,0.0,12,7,5,0,5,2,2,25
6589,20150313,Fri 3/13,DEN,103-114,L,10,5,0.5,3,0,0.0,2,2,1.0,12,6,2,0,0,3,2,20
6589,20150311,Wed 3/11,DET,105-98,W,11,4,0.364,3,0,0.0,7,5,0.714,13,7,3,0,0,3,3,31
6589,20150309,Mon 3/9,PHX,98-80,W,13,3,0.231,6,2,0.333,4,3,0.75,11,10,0,1,3,2,3,34
6589,20150308,Sun 3/8,LAC,106-98,W,15,8,0.533,7,3,0.429,4,4,1.0,23,3,6,1,1,3,0,28
6589,20150306,Fri 3/6,DAL,104-89,W,14,8,0.571,5,2,0.4,0,0,0.0,18,9,4,1,1,2,0,31
6589,20150304,Wed 3/4,MIL,102-93,W,14,9,0.643,9,4,0.444,6,1,0.167,23,12,5,3,3,5,1,40
6589,20150302,Mon 3/2,BKN,108-110,L,5,1,0.2,2,0,0.0,2,1,0.5,3,11,4,1,2,2,3,30
6589,20150301,Sun 3/1,BOS,106-101,W,13,4,0.308,6,2,0.333,6,4,0.667,14,11,4,3,0,4,1,44
6589,20150227,Fri 2/27,TOR,113-89,W,9,6,0.667,5,3,0.6,2,2,1.0,17,9,2,3,2,3,0,28
6589,20150226,Thu 2/26,CLE,99-110,L,13,7,0.538,4,0,0.0,5,2,0.4,16,8,4,0,5,4,1,38
6589,20150224,Tue 2/24,WSH,114-107,W,9,5,0.556,4,3,0.75,0,0,0.0,13,6,5,1,0,4,2,30
6589,20150222,Sun 2/22,IND,98-104,L,6,1,0.167,4,1,0.25,4,3,0.75,6,4,2,3,0,6,2,34
6589,20150220,Fri 2/20,SA,110-99,W,11,4,0.364,6,3,0.5,1,0,0.0,11,6,4,0,3,4,1,33
6589,20150211,Wed 2/11,MIN,94-91,W,6,1,0.167,2,0,0.0,2,1,0.5,3,13,5,1,2,2,0,36
6589,20150209,Mon 2/9,PHI,89-84,W,6,2,0.333,1,0,0.0,0,0,0.0,4,3,2,1,1,3,1,27
6589,20150207,Sat 2/7,NY,106-92,W,12,8,0.667,5,3,0.6,1,1,1.0,20,13,3,2,1,1,2,34
6589,20150206,Fri 2/6,ATL,116-124,L,14,6,0.429,2,0,0.0,2,0,0.0,12,20,6,0,1,5,2,35
6589,20150204,Wed 2/4,DAL,128-114,W,6,1,0.167,4,0,0.0,0,0,0.0,2,10,6,3,1,5,1,40
6589,20150203,Tue 2/3,SAC,121-96,W,6,3,0.5,1,1,1.0,2,1,0.5,8,6,4,1,4,0,1,25
6589,20150131,Sat 1/31,PHX,106-87,W,9,2,0.222,5,2,0.4,4,3,0.75,9,11,4,2,1,4,3,37
6589,20150130,Fri 1/30,UTAH,100-110,L,6,2,0.333,2,0,0.0,4,3,0.75,7,5,1,1,2,4,2,24
6589,20150127,Tue 1/27,CHI,111-113,L,14,4,0.286,6,1,0.167,2,1,0.5,10,9,6,2,1,2,2,39
6589,20150125,Sun 1/25,BOS,114-111,W,12,5,0.417,6,1,0.167,3,3,1.0,14,9,2,1,3,5,1,32
6589,20150123,Fri 1/23,SAC,126-101,W,7,4,0.571,6,3,0.5,0,0,0.0,11,8,2,0,2,4,1,27
6589,20150121,Wed 1/21,HOU,126-113,W,12,7,0.583,5,3,0.6,2,1,0.5,18,6,2,1,1,5,1,33
6589,20150119,Mon 1/19,DEN,122-79,W,4,2,0.5,3,2,0.667,0,0,0.0,6,8,2,0,0,3,0,23
6589,20150117,Sat 1/17,HOU,131-106,W,6,3,0.5,4,1,0.25,6,4,0.667,11,4,2,1,3,3,1,21
6589,20150116,Fri 1/16,OKC,115-127,L,6,2,0.333,1,0,0.0,3,1,0.333,5,9,2,1,4,3,1,30
6589,20150114,Wed 1/14,MIA,104-89,W,7,2,0.286,2,0,0.0,3,2,0.667,6,3,3,0,0,5,2,25
6589,20150113,Tue 1/13,UTAH,116-105,W,9,6,0.667,4,3,0.75,0,0,0.0,15,1,3,1,1,0,1,24
6589,20150109,Fri 1/9,CLE,112-94,W,13,5,0.385,6,0,0.0,0,0,0.0,10,11,8,3,1,2,1,31
6589,20150107,Wed 1/7,IND,117-102,W,8,2,0.25,5,1,0.2,4,2,0.5,7,9,3,2,3,5,1,30
6589,20150105,Mon 1/5,OKC,117-91,W,10,4,0.4,7,3,0.429,4,0,0.0,11,13,5,3,1,3,1,29
6589,20150102,Fri 1/2,TOR,126-105,W,12,6,0.5,6,2,0.333,2,2,1.0,16,11,13,2,2,4,2,40
6589,20151230,Tue 12/30,PHI,126-86,W,7,3,0.429,2,1,0.5,3,3,1.0,10,10,3,3,4,3,2,29
6589,20151227,Sat 12/27,MIN,110-97,W,5,2,0.4,1,0,0.0,0,0,0.0,4,8,6,3,6,3,2,32
6589,20151225,Thu 12/25,LAC,86-100,L,10,4,0.4,5,2,0.4,0,0,0.0,10,10,3,2,2,3,0,34
6589,20151223,Tue 12/23,LAL,105-115,L,6,1,0.167,0,0,0.0,0,0,0.0,2,3,2,0,0,2,1,23
6589,20151222,Mon 12/22,SAC,128-108,W,5,2,0.4,2,0,0.0,3,2,0.667,6,8,4,2,3,2,1,26
6589,20151218,Thu 12/18,OKC,114-109,W,14,7,0.5,5,1,0.2,4,1,0.25,16,9,9,1,1,4,2,44
6589,20151216,Tue 12/16,MEM,98-105,L,11,2,0.182,4,0,0.0,0,0,0.0,4,10,6,5,1,3,3,36
6589,20151214,Sun 12/14,NO,128-122,W,11,5,0.455,1,0,0.0,1,1,1.0,11,13,5,4,1,4,2,48
6589,20151213,Sat 12/13,DAL,105-98,W,8,5,0.625,4,2,0.5,10,8,0.8,20,8,1,2,0,5,1,37
6589,20151210,Wed 12/10,HOU,105-93,W,8,4,0.5,4,1,0.25,2,2,1.0,11,8,1,0,4,4,2,34
