ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
1987,20120426,Thu 4/26,WSH,70-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1987,20120424,Tue 4/24,BOS,66-78,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1987,20120422,Sun 4/22,HOU,97-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1987,20120421,Sat 4/21,WSH,84-86,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3
1987,20120419,Thu 4/19,CHI,83-72,W,16,7,0.438,0,0,0.0,6,4,0.667,18,3,5,0,3,3,1,33
1987,20120418,Wed 4/18,TOR,96-72,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1987,20120416,Mon 4/16,&nbsp;NJ,101-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1987,20120415,Sun 4/15,NY,93-85,W,18,10,0.556,2,0,0.0,8,8,1.0,28,9,4,1,0,3,6,38
1987,20120413,Fri 4/13,&nbsp;CHA,105-82,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1987,20120412,Thu 4/12,CHI,86-96,L,21,10,0.476,0,0,0.0,2,1,0.5,21,5,4,2,2,3,2,41
1987,20120410,Tue 4/10,BOS,107-115,L,21,9,0.429,2,0,0.0,4,2,0.5,20,2,5,1,3,3,2,39
1987,20120408,Sun 4/8,DET,98-75,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1987,20120406,Fri 4/6,MEM,82-97,L,18,8,0.444,1,1,1.0,4,3,0.75,20,7,2,0,2,2,3,36
1987,20120404,Wed 4/4,OKC,98-93,W,18,7,0.389,2,0,0.0,6,5,0.833,19,3,2,2,3,1,5,38
1987,20120403,Tue 4/3,PHI,99-93,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
1987,20120401,Sun 4/1,BOS,72-91,L,17,6,0.353,3,0,0.0,5,3,0.6,15,8,3,3,1,4,2,36
1987,20120330,Fri 3/30,TOR,113-101,W,19,12,0.632,2,1,0.5,7,5,0.714,30,6,6,1,3,1,0,36
1987,20120329,Thu 3/29,DAL,106-85,W,11,5,0.455,0,0,0.0,9,6,0.667,16,3,5,0,1,2,2,32
1987,20120326,Mon 3/26,IND,90-105,L,16,7,0.438,8,4,0.5,8,6,0.75,24,5,6,4,0,2,1,35
1987,20120325,Sun 3/25,OKC,87-103,L,10,6,0.6,4,3,0.75,7,7,1.0,22,4,4,2,3,2,6,38
1987,20120323,Fri 3/23,DET,88-73,W,19,10,0.526,1,0,0.0,4,4,1.0,24,9,5,0,3,0,3,36
1987,20120320,Tue 3/20,PHX,99-95,W,17,6,0.353,2,0,0.0,9,7,0.778,19,7,5,1,0,4,1,36
1987,20120318,Sun 3/18,ORL,91-81,W,25,13,0.52,1,0,0.0,7,5,0.714,31,6,4,1,1,2,3,38
1987,20120316,Fri 3/16,PHI,84-78,W,16,6,0.375,2,0,0.0,2,0,0.0,12,11,6,2,2,2,4,38
1987,20120314,Wed 3/14,CHI,102-106,L,26,16,0.615,3,1,0.333,4,3,0.75,36,7,1,2,1,1,3,39
1987,20120313,Tue 3/13,ORL,98-104,L,22,12,0.545,3,2,0.667,2,2,1.0,28,6,5,2,2,3,1,38
1987,20120310,Sat 3/10,IND,93-91,W,16,10,0.625,1,0,0.0,9,8,0.889,28,4,7,1,1,2,5,40
1987,20120307,Wed 3/7,ATL,89-86,W,17,7,0.412,0,0,0.0,6,4,0.667,18,9,6,1,3,1,2,35
1987,20120306,Tue 3/6,&nbsp;NJ,108-78,W,8,6,0.75,0,0,0.0,1,1,1.0,13,2,3,0,0,1,1,15
1987,20120304,Sun 3/4,LAL,83-93,L,17,7,0.412,4,1,0.25,2,1,0.5,16,4,5,1,2,6,5,31
1987,20120302,Fri 3/2,UTAH,98-99,L,20,10,0.5,1,1,1.0,11,10,0.909,31,6,2,0,1,3,3,36
1987,20120301,Thu 3/1,POR,107-93,W,23,12,0.522,1,0,0.0,11,9,0.818,33,2,10,1,3,3,4,35
1987,20120223,Thu 2/23,NY,102-88,W,22,10,0.455,1,0,0.0,3,2,0.667,22,5,5,0,2,3,2,35
1987,20120221,Tue 2/21,SAC,120-108,W,16,11,0.688,0,0,0.0,10,8,0.8,30,4,10,2,3,3,2,30
1987,20120219,Sun 2/19,ORL,90-78,W,23,13,0.565,2,0,0.0,1,1,1.0,27,6,2,3,2,3,2,31
1987,20120217,Fri 2/17,CLE,111-87,W,10,7,0.7,1,1,1.0,9,7,0.778,22,6,2,2,0,4,3,24
1987,20120214,Tue 2/14,IND,105-90,W,12,6,0.5,0,0,0.0,4,4,1.0,16,6,3,1,0,0,1,24
1987,20120213,Mon 2/13,MIL,114-96,W,14,8,0.571,0,0,0.0,8,6,0.75,22,5,4,1,0,2,5,28
1987,20120212,Sun 2/12,ATL,107-87,W,14,7,0.5,0,0,0.0,7,7,1.0,21,5,3,1,2,0,0,24
1987,20120210,Fri 2/10,WSH,106-89,W,18,11,0.611,0,0,0.0,4,4,1.0,26,3,5,0,1,3,4,31
1987,20120208,Wed 2/8,ORL,89-102,L,24,15,0.625,2,0,0.0,3,3,1.0,33,2,2,3,1,1,2,36
1987,20120207,Tue 2/7,CLE,107-91,W,17,9,0.529,1,0,0.0,8,8,1.0,26,4,6,1,3,2,4,35
1987,20120205,Sun 2/5,TOR,95-89,W,14,8,0.571,1,0,0.0,12,9,0.75,25,2,3,2,0,1,1,34
1987,20120203,Fri 2/3,PHI,99-79,W,20,10,0.5,0,0,0.0,8,6,0.75,26,5,4,0,1,4,1,33
