ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2583639,20150415,Wed 4/15,BKN,88-101,L,5,1,0.2,1,0,0.0,2,0,0.0,2,3,6,1,4,1,4,35
2583639,20150413,Mon 4/13,MIA,93-100,L,9,4,0.444,0,0,0.0,3,2,0.667,10,1,7,0,3,2,0,38
2583639,20150411,Sat 4/11,NY,79-80,L,7,3,0.429,0,0,0.0,4,1,0.25,7,1,9,1,2,0,0,37
2583639,20150410,Fri 4/10,TOR,99-101,L,7,2,0.286,1,0,0.0,2,2,1.0,6,6,8,2,4,3,1,35
2583639,20150408,Wed 4/8,CHI,105-103,W,14,6,0.429,2,2,1.0,3,3,1.0,17,9,9,0,2,1,3,40
2583639,20150404,Sat 4/4,MIL,97-90,W,11,4,0.364,2,1,0.5,1,1,1.0,10,3,11,1,3,3,3,40
2583639,20150403,Fri 4/3,MIN,97-84,W,9,4,0.444,1,0,0.0,2,2,1.0,10,6,10,0,4,2,4,40
2583639,20150401,Wed 4/1,SA,91-103,L,15,7,0.467,0,0,0.0,0,0,0.0,14,7,7,1,4,3,1,36
2583639,20150327,Fri 3/27,DET,97-111,L,10,6,0.6,0,0,0.0,2,2,1.0,14,4,13,0,0,3,2,39
2583639,20150325,Wed 3/25,ATL,83-95,L,19,7,0.368,2,0,0.0,7,5,0.714,19,9,7,0,1,5,5,35
2583639,20150322,Sun 3/22,DEN,100-119,L,9,3,0.333,1,0,0.0,0,0,0.0,6,8,8,0,3,4,5,35
2583639,20150320,Fri 3/20,POR,111-104,W,13,10,0.769,0,0,0.0,2,2,1.0,22,10,10,0,4,2,1,37
2583639,20150318,Wed 3/18,DAL,102-107,L,10,6,0.6,2,1,0.5,2,2,1.0,15,10,12,0,2,3,3,41
2583639,20150317,Tue 3/17,HOU,94-107,L,9,5,0.556,1,0,0.0,0,0,0.0,10,4,7,1,2,4,3,34
2583639,20150315,Sun 3/15,CLE,108-123,L,14,5,0.357,1,1,1.0,6,2,0.333,13,9,10,0,2,1,5,38
2583639,20150313,Fri 3/13,BOS,88-95,L,16,7,0.438,3,2,0.667,15,4,0.267,20,5,9,1,1,1,5,34
2583639,20150311,Wed 3/11,MIL,91-97,L,12,6,0.5,1,0,0.0,2,2,1.0,14,2,5,0,2,2,3,35
2583639,20150310,Tue 3/10,IND,86-118,L,13,5,0.385,0,0,0.0,6,4,0.667,14,3,6,1,1,3,2,32
2583639,20150308,Sun 3/8,BOS,103-98,W,16,7,0.438,1,0,0.0,6,5,0.833,19,10,7,0,1,5,3,42
2583639,20150306,Fri 3/6,SAC,119-114,W,10,5,0.5,1,0,0.0,1,0,0.0,10,4,12,1,1,1,1,42
2583639,20150304,Wed 3/4,PHX,100-105,L,11,4,0.364,1,0,0.0,2,1,0.5,9,4,10,0,5,4,5,33
2583639,20150301,Sun 3/1,CHA,83-98,L,4,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,1,1,13
2583639,20150227,Fri 2/27,ATL,88-95,L,8,2,0.25,0,0,0.0,0,0,0.0,4,1,5,0,2,0,2,25
2583639,20150225,Wed 2/25,MIA,90-93,L,8,1,0.125,0,0,0.0,4,1,0.25,3,5,9,0,1,2,3,39
2583639,20150222,Sun 2/22,PHI,103-98,W,7,3,0.429,0,0,0.0,8,4,0.5,10,8,7,0,1,1,1,36
2583639,20150220,Fri 2/20,NO,95-84,W,7,4,0.571,0,0,0.0,4,2,0.5,10,7,11,0,0,3,0,32
2583639,20150211,Wed 2/11,NY,89-83,W,8,4,0.5,1,0,0.0,5,4,0.8,12,5,4,0,2,1,3,33
2583639,20150209,Mon 2/9,WSH,80-96,L,11,4,0.364,0,0,0.0,5,3,0.6,11,5,5,0,6,2,4,37
2583639,20150208,Sun 2/8,CHI,97-98,L,6,5,0.833,0,0,0.0,0,0,0.0,10,9,3,0,2,4,2,24
2583639,20150206,Fri 2/6,LAL,103-97,W,5,2,0.4,0,0,0.0,0,0,0.0,4,2,6,0,2,1,3,34
2583639,20150204,Wed 2/4,SA,103-110,L,8,6,0.75,0,0,0.0,6,2,0.333,14,6,9,0,1,3,1,40
2583639,20150202,Mon 2/2,OKC,97-104,L,6,0,0.0,0,0,0.0,0,0,0.0,0,3,3,0,0,2,1,21
2583639,20150131,Sat 1/31,DAL,93-108,L,6,1,0.167,0,0,0.0,2,2,1.0,4,5,5,0,1,2,3,20
2583639,20150129,Thu 1/29,MIL,100-115,L,10,6,0.6,0,0,0.0,4,3,0.75,15,2,6,1,1,1,5,38
2583639,20150126,Mon 1/26,MEM,94-103,L,14,5,0.357,0,0,0.0,4,2,0.5,12,2,6,0,2,3,2,36
2583639,20150125,Sun 1/25,IND,99-106,L,8,4,0.5,0,0,0.0,5,2,0.4,10,3,8,0,1,4,1,31
2583639,20150123,Fri 1/23,NY,106-113,L,6,3,0.5,0,0,0.0,4,3,0.75,9,3,11,1,2,3,4,37
2583639,20150121,Wed 1/21,DET,118-128,L,9,4,0.444,0,0,0.0,0,0,0.0,8,4,8,0,3,2,5,30
2583639,20150118,Sun 1/18,OKC,99-127,L,17,9,0.529,0,0,0.0,2,1,0.5,19,4,8,0,3,5,4,39
2583639,20150116,Fri 1/16,MEM,96-106,L,16,9,0.563,1,0,0.0,5,4,0.8,22,4,12,0,2,4,4,39
2583639,20150114,Wed 1/14,HOU,120-113,W,11,5,0.455,0,0,0.0,6,5,0.833,15,6,4,0,2,2,5,35
2583639,20150112,Mon 1/12,CHI,121-114,W,7,5,0.714,0,0,0.0,0,0,0.0,10,4,7,1,2,4,1,33
2583639,20150110,Sat 1/10,POR,92-103,L,10,4,0.4,0,0,0.0,2,1,0.5,9,5,4,0,0,3,1,32
2583639,20150109,Fri 1/9,LAL,84-101,L,4,1,0.25,0,0,0.0,0,0,0.0,2,2,2,2,1,3,1,21
2583639,20150107,Wed 1/7,DEN,90-93,L,6,1,0.167,0,0,0.0,0,0,0.0,2,8,6,0,3,3,1,31
2583639,20150103,Sat 1/3,CHA,90-98,L,9,3,0.333,0,0,0.0,1,1,1.0,7,3,7,0,2,0,1,35
2583639,20150102,Fri 1/2,BKN,98-100,L,13,6,0.462,1,1,1.0,5,3,0.6,16,9,10,1,3,3,2,36
2583639,20151230,Tue 12/30,DET,86-109,L,8,4,0.5,1,0,0.0,0,0,0.0,8,0,6,0,0,1,5,24
2583639,20151229,Mon 12/29,MIA,102-101,W,5,2,0.4,1,0,0.0,0,0,0.0,4,4,8,0,4,2,2,30
2583639,20151227,Sat 12/27,CHA,102-94,W,13,4,0.308,1,0,0.0,4,3,0.75,11,7,8,0,1,2,0,35
2583639,20151226,Fri 12/26,CLE,89-98,L,5,3,0.6,0,0,0.0,0,0,0.0,6,5,3,0,2,2,5,25
2583639,20151223,Tue 12/23,BOS,100-95,W,10,6,0.6,1,0,0.0,2,0,0.0,12,1,7,0,2,2,4,29
2583639,20151221,Sun 12/21,PHI,88-96,L,7,0,0.0,1,0,0.0,2,1,0.5,1,5,6,0,1,4,2,35
2583639,20151219,Fri 12/19,UTAH,94-101,L,7,5,0.714,0,0,0.0,2,1,0.5,11,2,11,0,1,4,3,28
2583639,20151217,Wed 12/17,BOS,92-109,L,5,3,0.6,1,0,0.0,0,0,0.0,6,2,4,0,0,1,2,26
2583639,20151215,Mon 12/15,TOR,82-95,L,3,2,0.667,0,0,0.0,0,0,0.0,4,2,2,1,0,1,2,14
2583639,20151213,Sat 12/13,ATL,100-99,W,7,2,0.286,0,0,0.0,2,1,0.5,5,1,7,0,1,0,2,20
2583639,20151212,Fri 12/12,ATL,81-87,L,5,1,0.2,0,0,0.0,0,0,0.0,2,1,2,0,0,2,2,21
2583639,20151210,Wed 12/10,WSH,89-91,L,15,6,0.4,1,0,0.0,0,0,0.0,12,6,4,0,1,2,1,29
2583639,20151206,Sat 12/6,SAC,105-96,W,7,3,0.429,1,0,0.0,2,2,1.0,8,5,6,0,1,2,3,25
2583639,20151205,Fri 12/5,UTAH,98-93,W,5,1,0.2,0,0,0.0,0,0,0.0,2,3,4,0,4,1,1,30
2583639,20151203,Wed 12/3,LAC,86-114,L,6,3,0.5,0,0,0.0,9,2,0.222,8,1,6,0,1,3,2,30
2583639,20151202,Tue 12/2,GS,97-98,L,10,3,0.3,1,0,0.0,2,1,0.5,7,5,6,0,3,3,1,29
2583639,20151130,Sun 11/30,PHX,93-90,W,3,1,0.333,0,0,0.0,8,5,0.625,7,9,4,0,2,5,5,27
2583639,20151128,Fri 11/28,IND,83-98,L,4,1,0.25,1,0,0.0,0,0,0.0,2,4,6,0,1,2,3,26
2583639,20151126,Wed 11/26,GS,96-111,L,7,5,0.714,2,1,0.5,3,2,0.667,13,0,5,0,1,2,3,20
2583639,20151124,Mon 11/24,CLE,74-106,L,7,2,0.286,2,1,0.5,2,1,0.5,6,1,3,0,0,0,2,18
2583639,20151122,Sat 11/22,MIA,92-99,L,6,4,0.667,0,0,0.0,4,1,0.25,9,3,4,0,5,4,3,23
2583639,20151121,Fri 11/21,CHA,105-100,W,11,7,0.636,1,0,0.0,6,2,0.333,16,2,5,0,0,0,1,27
2583639,20151119,Wed 11/19,LAC,90-114,L,8,3,0.375,1,1,1.0,0,0,0.0,7,7,5,0,0,1,3,16
2583639,20151117,Mon 11/17,DET,107-93,W,2,1,0.5,0,0,0.0,0,0,0.0,2,0,1,0,1,2,0,6
2583639,20151115,Sat 11/15,WSH,93-98,L,6,1,0.167,1,0,0.0,2,1,0.5,3,3,1,0,2,1,0,16
2583639,20151114,Fri 11/14,MIL,101-85,W,5,1,0.2,0,0,0.0,0,0,0.0,2,4,3,0,1,4,2,22
2583639,20151112,Wed 11/12,NY,97-95,W,2,0,0.0,0,0,0.0,0,0,0.0,0,3,8,0,0,1,1,23
2583639,20151111,Tue 11/11,TOR,100-104,L,2,1,0.5,1,0,0.0,0,0,0.0,2,1,3,0,0,3,2,19
2583639,20151109,Sun 11/9,BKN,96-104,L,5,1,0.2,0,0,0.0,0,0,0.0,2,0,6,0,2,2,5,29
2583639,20151107,Fri 11/7,MIN,112-103,W,15,6,0.4,0,0,0.0,4,3,0.75,15,5,4,1,1,2,1,39
2583639,20151105,Wed 11/5,PHI,91-89,W,8,4,0.5,0,0,0.0,1,0,0.0,8,6,5,1,4,2,4,28
2583639,20151104,Tue 11/4,CHI,90-98,L,14,3,0.214,0,0,0.0,7,3,0.429,9,6,7,1,3,2,2,32
2583639,20151101,Sat 11/1,TOR,95-108,L,12,6,0.5,0,0,0.0,8,4,0.5,16,3,9,0,0,4,1,30
