ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6447,20160412,Tue 4/12,SA,98-102,L,14,6,0.429,3,1,0.333,4,4,1.0,17,16,0,0,1,2,3,38
6447,20160411,Mon 4/11,LAL,112-79,W,2,0,0.0,0,0,0.0,4,2,0.5,2,4,0,0,0,2,2,17
6447,20160409,Sat 4/9,SAC,112-114,L,7,4,0.571,1,1,1.0,4,2,0.5,11,6,0,0,1,1,2,20
6447,20160406,Wed 4/6,POR,115-120,L,18,13,0.722,1,1,1.0,7,6,0.857,33,20,0,1,1,3,1,36
6447,20160405,Tue 4/5,DEN,124-102,W,14,9,0.643,0,0,0.0,0,0,0.0,18,11,1,1,0,5,1,21
6447,20160403,Sun 4/3,HOU,110-118,L,10,7,0.7,0,0,0.0,2,2,1.0,16,6,0,0,1,4,3,18
6447,20160331,Thu 3/31,LAC,119-117,W,7,5,0.714,0,0,0.0,1,1,1.0,11,4,0,0,0,1,0,18
6447,20160329,Tue 3/29,DET,82-88,L,8,6,0.75,1,1,1.0,3,1,0.333,14,14,1,0,0,3,3,25
6447,20160328,Mon 3/28,TOR,119-100,W,6,2,0.333,0,0,0.0,3,3,1.0,7,9,0,0,1,4,1,20
6447,20160326,Sat 3/26,SA,111-92,W,12,7,0.583,0,0,0.0,7,6,0.857,20,10,0,1,1,2,2,21
6447,20160324,Thu 3/24,UTAH,113-91,W,10,5,0.5,0,0,0.0,5,4,0.8,14,7,0,0,0,4,0,22
6447,20160322,Tue 3/22,HOU,111-107,W,4,3,0.75,0,0,0.0,6,4,0.667,10,10,0,0,1,1,0,22
6447,20160319,Sat 3/19,IND,115-111,W,11,6,0.545,1,0,0.0,3,3,1.0,15,10,0,1,0,3,1,24
6447,20160318,Fri 3/18,PHI,111-97,W,10,6,0.6,1,1,1.0,3,3,1.0,16,7,0,1,0,4,6,23
6447,20160316,Wed 3/16,BOS,130-109,W,15,7,0.467,1,0,0.0,3,3,1.0,17,12,1,1,0,3,2,26
6447,20160314,Mon 3/14,POR,128-94,W,15,9,0.6,0,0,0.0,8,8,1.0,26,7,1,0,2,2,3,22
6447,20160312,Sat 3/12,SA,85-93,L,6,4,0.667,0,0,0.0,3,3,1.0,11,17,0,0,0,1,1,28
6447,20160311,Fri 3/11,MIN,96-99,L,9,7,0.778,0,0,0.0,3,3,1.0,17,14,0,0,0,1,3,21
6447,20160309,Wed 3/9,LAC,120-108,W,10,7,0.7,0,0,0.0,0,0,0.0,14,7,0,0,2,0,0,17
6447,20160306,Sun 3/6,MIL,104-96,W,9,7,0.778,1,0,0.0,5,4,0.8,18,12,0,1,0,1,2,20
6447,20160303,Thu 3/3,GS,106-121,L,5,3,0.6,0,0,0.0,1,0,0.0,6,3,0,0,0,1,1,13
6447,20160302,Wed 3/2,LAC,98-103,L,9,4,0.444,0,0,0.0,0,0,0.0,8,8,0,0,0,0,0,15
