ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4238,20130417,Wed 4/17,SAC,112-108,W,1,0,0.0,1,0,0.0,0,0,0.0,0,3,3,0,0,0,3,13
4238,20130416,Tue 4/16,POR,93-77,W,10,2,0.2,2,0,0.0,0,0,0.0,4,3,2,0,0,2,1,23
4238,20130413,Sat 4/13,MEM,91-87,W,10,3,0.3,2,1,0.5,2,2,1.0,9,4,2,0,3,3,0,21
4238,20130412,Fri 4/12,&nbsp;NO,96-93,W,4,3,0.75,2,1,0.5,4,2,0.5,9,2,2,1,1,4,0,19
4238,20130410,Wed 4/10,MIN,111-95,W,4,1,0.25,1,1,1.0,0,0,0.0,3,1,3,1,0,1,1,17
4238,20130407,Sun 4/7,LAL,109-95,W,2,0,0.0,1,0,0.0,0,0,0.0,0,2,0,0,0,0,1,7
4238,20130403,Wed 4/3,PHX,126-101,W,14,8,0.571,3,1,0.333,0,0,0.0,17,2,7,1,2,1,2,22
4238,20130401,Mon 4/1,IND,106-109,L,7,3,0.429,1,0,0.0,1,1,1.0,7,1,5,0,0,1,0,21
4238,20130330,Sat 3/30,HOU,81-98,L,4,1,0.25,1,0,0.0,0,0,0.0,2,5,2,0,3,0,2,25
4238,20130329,Fri 3/29,SA,102-104,L,6,4,0.667,0,0,0.0,0,0,0.0,8,2,1,1,1,1,0,14
4238,20130327,Wed 3/27,&nbsp;NO,105-91,W,1,1,1.0,1,1,1.0,4,3,0.75,6,0,2,0,1,1,1,16
4238,20130326,Tue 3/26,DAL,102-109,L,3,1,0.333,1,0,0.0,0,0,0.0,2,4,1,0,0,0,3,14
4238,20130323,Sat 3/23,BKN,101-95,W,7,3,0.429,2,0,0.0,1,1,1.0,7,2,1,0,1,0,1,10
4238,20130320,Wed 3/20,PHI,101-72,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4238,20130319,Tue 3/19,SAC,101-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4238,20130317,Sun 3/17,NY,93-80,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4238,20130313,Wed 3/13,MEM,85-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4238,20130310,Sun 3/10,DET,129-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
