ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2767,20120426,Thu 4/26,BOS,74-87,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2767,20120425,Wed 4/25,PHI,85-90,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2767,20120423,Mon 4/23,TOR,92-86,W,10,6,0.6,4,2,0.5,8,5,0.625,19,15,2,1,0,1,1,36
2767,20120421,Sat 4/21,&nbsp;NJ,106-95,W,13,7,0.538,3,1,0.333,4,2,0.5,17,17,3,2,3,4,1,34
2767,20120419,Thu 4/19,IND,109-118,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2767,20120418,Wed 4/18,WSH,112-121,L,9,3,0.333,2,1,0.5,8,7,0.875,14,11,1,0,3,3,4,32
2767,20120414,Sat 4/14,IND,99-105,L,8,4,0.5,3,1,0.333,2,2,1.0,11,4,0,0,0,3,1,21
2767,20120413,Fri 4/13,DET,113-97,W,13,6,0.462,1,1,1.0,2,1,0.5,14,7,2,2,0,3,2,27
2767,20120411,Wed 4/11,NY,107-111,L,3,1,0.333,1,1,1.0,0,0,0.0,3,2,0,0,0,3,1,14
2767,20120409,Mon 4/9,OKC,89-109,L,9,6,0.667,5,3,0.6,4,3,0.75,18,2,2,2,0,0,2,24
2767,20120407,Sat 4/7,POR,116-94,W,14,8,0.571,4,4,1.0,0,0,0.0,20,12,2,0,1,4,3,27
2767,20120406,Fri 4/6,&nbsp;CHA,95-90,W,15,5,0.333,3,1,0.333,3,1,0.333,12,15,1,0,2,0,2,38
2767,20120404,Wed 4/4,CLE,107-98,W,13,8,0.615,3,1,0.333,2,1,0.5,18,6,2,0,1,0,0,38
2767,20120402,Mon 4/2,WSH,112-98,W,12,6,0.5,1,0,0.0,4,4,1.0,16,11,1,1,1,2,2,35
2767,20120331,Sat 3/31,MEM,95-99,L,11,5,0.455,4,2,0.5,12,8,0.667,20,16,3,2,2,2,1,43
2767,20120330,Fri 3/30,CLE,121-84,W,11,9,0.818,2,2,1.0,0,0,0.0,20,10,2,0,0,3,0,24
2767,20120327,Tue 3/27,ATL,108-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2767,20120326,Mon 3/26,NY,80-89,L,2,0,0.0,1,0,0.0,2,2,1.0,2,1,0,0,1,4,2,19
2767,20120324,Sat 3/24,IND,104-125,L,15,8,0.533,2,1,0.5,5,5,1.0,22,8,0,0,0,1,0,29
2767,20120323,Fri 3/23,&nbsp;CHA,112-92,W,8,6,0.75,2,1,0.5,2,2,1.0,15,8,1,1,1,2,0,22
2767,20120322,Thu 3/22,BOS,91-100,L,11,6,0.545,1,0,0.0,1,0,0.0,12,14,3,2,1,2,0,30
2767,20120320,Tue 3/20,POR,116-87,W,6,3,0.5,1,0,0.0,2,1,0.5,7,4,1,1,0,2,4,23
2767,20120316,Fri 3/16,GS,120-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2767,20120314,Wed 3/14,CLE,115-105,W,12,7,0.583,1,0,0.0,8,8,1.0,22,8,1,2,0,6,0,31
2767,20120312,Mon 3/12,&nbsp;NJ,105-99,W,6,2,0.333,0,0,0.0,0,0,0.0,4,3,0,0,1,3,2,24
2767,20120311,Sun 3/11,TOR,105-99,W,16,11,0.688,3,3,1.0,6,6,1.0,31,12,1,0,2,3,0,44
2767,20120309,Fri 3/9,NY,119-114,W,13,9,0.692,3,2,0.667,7,6,0.857,26,3,0,0,1,0,1,36
2767,20120307,Wed 3/7,CHI,104-106,L,18,14,0.778,3,2,0.667,3,2,0.667,32,10,1,1,0,2,0,43
2767,20120305,Mon 3/5,PHI,97-93,W,11,3,0.273,3,1,0.333,4,4,1.0,11,18,4,2,0,4,1,42
2767,20120303,Sat 3/3,ORL,98-114,L,13,7,0.538,1,1,1.0,3,3,1.0,18,7,3,1,1,3,4,31
2767,20120302,Fri 3/2,ATL,94-99,L,8,4,0.5,2,0,0.0,0,0,0.0,8,10,1,0,2,4,0,25
2767,20120229,Wed 2/29,BOS,96-102,L,19,11,0.579,2,0,0.0,4,3,0.75,25,10,3,1,0,3,2,35
2767,20120228,Tue 2/28,WSH,119-118,W,9,5,0.556,2,1,0.5,2,2,1.0,13,11,1,0,0,3,3,27
2767,20120222,Wed 2/22,CHI,91-110,L,11,6,0.545,3,1,0.333,2,2,1.0,15,4,1,0,1,3,0,27
2767,20120220,Mon 2/20,ORL,90-93,L,15,6,0.4,4,0,0.0,3,3,1.0,15,15,0,0,0,1,0,40
2767,20120219,Sun 2/19,&nbsp;NJ,92-85,W,23,11,0.478,4,2,0.5,6,5,0.833,29,25,0,1,1,6,1,36
2767,20120217,Fri 2/17,ORL,85-94,L,11,5,0.455,1,1,1.0,4,3,0.75,14,10,2,2,1,4,2,33
2767,20120215,Wed 2/15,&nbsp;NO,89-92,L,21,9,0.429,2,1,0.5,6,4,0.667,23,7,1,2,0,2,0,35
2767,20120213,Mon 2/13,MIA,96-114,L,5,2,0.4,0,0,0.0,4,3,0.75,7,6,3,2,0,0,2,25
2767,20120211,Sat 2/11,ORL,94-99,L,10,7,0.7,1,1,1.0,2,2,1.0,17,16,2,1,1,1,0,33
2767,20120210,Fri 2/10,CLE,113-112,W,8,4,0.5,2,2,1.0,2,2,1.0,12,6,1,0,1,5,1,30
2767,20120208,Wed 2/8,TOR,105-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2767,20120207,Tue 2/7,PHX,105-107,L,9,4,0.444,4,1,0.25,8,8,1.0,17,12,1,2,0,0,1,33
2767,20120204,Sat 2/4,CHI,90-113,L,10,1,0.1,2,0,0.0,2,1,0.5,3,5,0,0,1,0,0,16
2767,20120203,Fri 2/3,DET,80-88,L,8,3,0.375,0,0,0.0,4,3,0.75,9,12,1,1,1,2,2,21
