ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4239,20120426,Thu 4/26,DET,86-108,L,10,4,0.4,0,0,0.0,2,2,1.0,10,4,6,0,1,0,4,32
4239,20120425,Wed 4/25,MIL,90-85,W,29,13,0.448,5,1,0.2,4,2,0.5,29,13,6,2,0,1,3,41
4239,20120423,Mon 4/23,&nbsp;NJ,105-87,W,8,6,0.75,0,0,0.0,2,1,0.5,13,5,4,1,1,1,2,20
4239,20120421,Sat 4/21,IND,109-106,W,4,2,0.5,0,0,0.0,2,2,1.0,6,3,4,0,0,3,3,17
4239,20120418,Wed 4/18,CLE,103-87,W,11,4,0.364,1,0,0.0,2,2,1.0,10,4,4,1,0,2,2,25
4239,20120417,Tue 4/17,IND,97-102,L,3,0,0.0,0,0,0.0,0,0,0.0,0,7,4,0,0,4,1,27
4239,20120416,Mon 4/16,ORL,100-113,L,8,6,0.75,0,0,0.0,1,1,1.0,13,5,2,1,0,1,4,23
4239,20120413,Fri 4/13,&nbsp;NJ,89-95,L,16,9,0.563,0,0,0.0,1,0,0.0,18,7,1,0,0,0,2,26
4239,20120411,Wed 4/11,TOR,93-75,W,6,3,0.5,0,0,0.0,0,0,0.0,6,8,6,0,0,2,0,24
4239,20120410,Tue 4/10,&nbsp;NJ,107-88,W,4,1,0.25,1,0,0.0,0,0,0.0,2,2,2,1,1,1,2,19
4239,20120408,Sun 4/8,BOS,79-103,L,6,3,0.5,0,0,0.0,4,4,1.0,10,3,2,0,0,2,4,33
4239,20120407,Sat 4/7,ORL,82-88,L,8,3,0.375,0,0,0.0,0,0,0.0,6,5,1,0,2,1,0,19
4239,20120404,Wed 4/4,TOR,78-99,L,10,2,0.2,0,0,0.0,0,0,0.0,4,3,2,0,0,3,0,26
4239,20120403,Tue 4/3,MIA,93-99,L,19,12,0.632,1,0,0.0,3,2,0.667,26,8,1,0,0,5,4,40
4239,20120331,Sat 3/31,ATL,95-90,W,13,6,0.462,0,0,0.0,2,1,0.5,13,3,4,0,2,1,1,30
4239,20120330,Fri 3/30,WSH,76-97,L,7,5,0.714,0,0,0.0,2,1,0.5,11,2,3,0,1,1,0,29
4239,20120327,Tue 3/27,CLE,103-85,W,13,6,0.462,1,0,0.0,0,0,0.0,12,7,2,2,2,2,0,31
4239,20120325,Sun 3/25,SA,76-93,L,11,5,0.455,1,0,0.0,0,0,0.0,10,6,3,0,0,2,5,36
4239,20120323,Fri 3/23,BOS,99-86,W,9,3,0.333,0,0,0.0,0,0,0.0,6,5,4,0,0,5,2,34
4239,20120321,Wed 3/21,NY,79-82,L,7,1,0.143,2,0,0.0,0,0,0.0,2,5,0,1,1,2,0,26
4239,20120319,Mon 3/19,&nbsp;CHA,105-80,W,11,3,0.273,1,0,0.0,0,0,0.0,6,3,0,0,0,2,1,27
4239,20120317,Sat 3/17,CHI,80-89,L,8,2,0.25,0,0,0.0,2,2,1.0,6,6,2,0,2,3,3,32
