ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2579294,20160413,Wed 4/13,ORL,117-103,W,5,1,0.2,1,0,0.0,2,1,0.5,3,2,1,0,0,0,1,20
2579294,20160411,Mon 4/11,BOS,114-100,W,5,2,0.4,2,1,0.5,4,3,0.75,8,7,1,1,0,1,0,19
2579294,20160410,Sun 4/10,WSH,98-113,L,8,4,0.5,3,3,1.0,9,7,0.778,18,11,0,0,0,2,0,30
2579294,20160408,Fri 4/8,BKN,113-99,W,8,5,0.625,2,1,0.5,1,1,1.0,12,4,1,0,1,1,0,21
2579294,20160406,Wed 4/6,NY,111-97,W,13,7,0.538,5,2,0.4,1,0,0.0,16,4,3,0,1,1,0,24
2579294,20160405,Tue 4/5,TOR,90-96,L,10,3,0.3,7,2,0.286,2,1,0.5,9,6,1,1,0,2,0,30
2579294,20160403,Sun 4/3,CLE,103-112,L,4,2,0.5,2,1,0.5,0,0,0.0,5,4,1,1,1,1,1,24
2579294,20160401,Fri 4/1,PHI,100-91,W,7,3,0.429,4,1,0.25,2,1,0.5,8,6,0,1,1,3,3,18
2579294,20160329,Tue 3/29,PHI,100-85,W,5,2,0.4,1,0,0.0,2,2,1.0,6,4,0,0,0,0,0,17
2579294,20160326,Sat 3/26,MIL,115-91,W,3,2,0.667,0,0,0.0,0,0,0.0,4,1,1,0,0,0,0,17
2579294,20160325,Fri 3/25,DET,105-112,L,3,1,0.333,2,1,0.5,0,0,0.0,3,1,0,0,0,2,0,17
2579294,20160322,Tue 3/22,BKN,105-100,W,11,5,0.455,5,2,0.4,2,2,1.0,14,7,1,2,0,2,1,28
2579294,20160321,Mon 3/21,SA,91-88,W,9,2,0.222,3,0,0.0,2,1,0.5,5,1,0,0,1,0,0,26
2579294,20160319,Sat 3/19,DEN,93-101,L,2,1,0.5,0,0,0.0,2,2,1.0,4,2,1,0,0,1,0,16
2579294,20160317,Thu 3/17,MIA,109-106,W,4,3,0.75,0,0,0.0,0,0,0.0,6,1,1,0,0,1,0,16
