ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4023,20160413,Wed 4/13,ATL,109-98,W,7,4,0.571,4,2,0.5,3,2,0.667,12,1,1,1,1,0,6,16
4023,20160411,Mon 4/11,BKN,120-111,W,5,3,0.6,3,3,1.0,2,2,1.0,11,5,1,0,0,1,1,24
4023,20160410,Sun 4/10,CHA,113-98,W,2,1,0.5,1,0,0.0,1,1,1.0,3,2,3,0,0,3,1,17
4023,20160408,Fri 4/8,DET,99-112,L,6,1,0.167,3,0,0.0,0,0,0.0,2,3,2,1,1,1,0,21
4023,20160406,Wed 4/6,BKN,121-103,W,8,3,0.375,3,2,0.667,2,2,1.0,10,6,6,0,3,2,0,29
4023,20160403,Sun 4/3,LAC,109-114,L,6,2,0.333,3,0,0.0,2,1,0.5,5,2,1,0,1,3,1,14
4023,20160401,Fri 4/1,PHX,106-99,W,3,1,0.333,2,0,0.0,0,0,0.0,2,1,1,0,1,3,1,19
4023,20160330,Wed 3/30,SAC,111-120,L,4,3,0.75,2,1,0.5,5,4,0.8,11,5,3,0,1,1,0,25
4023,20160329,Tue 3/29,GS,94-102,L,2,1,0.5,1,1,1.0,0,0,0.0,3,1,2,0,0,3,0,18
4023,20160327,Sun 3/27,LAL,101-88,W,2,2,1.0,0,0,0.0,0,0,0.0,4,0,0,0,1,3,0,16
4023,20160325,Fri 3/25,MIN,129-132,L,3,1,0.333,3,1,0.333,0,0,0.0,3,1,0,0,0,2,0,11
4023,20160323,Wed 3/23,ATL,101-122,L,2,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,4,0,5
4023,20160321,Mon 3/21,ATL,117-102,W,5,2,0.4,4,1,0.25,0,0,0.0,5,3,1,1,1,5,1,25
4023,20160319,Sat 3/19,NY,99-89,W,1,1,1.0,1,1,1.0,2,2,1.0,5,7,0,2,0,2,2,16
4023,20160317,Thu 3/17,PHI,99-94,W,11,4,0.364,8,2,0.25,0,0,0.0,10,3,4,1,1,1,3,40
4023,20160316,Wed 3/16,CHI,117-96,W,8,5,0.625,6,5,0.833,0,0,0.0,15,6,4,0,1,1,0,30
4023,20160314,Mon 3/14,DET,124-81,W,4,1,0.25,2,1,0.5,0,0,0.0,3,2,1,0,0,2,0,16
4023,20160312,Sat 3/12,DEN,100-116,L,8,4,0.5,5,2,0.4,2,2,1.0,12,5,0,0,1,6,2,34
4023,20160311,Fri 3/11,UTAH,93-114,L,2,2,1.0,2,2,1.0,0,0,0.0,6,1,1,0,0,1,1,21
4023,20160308,Tue 3/8,POR,109-116,L,6,3,0.5,3,2,0.667,0,0,0.0,8,4,4,0,1,3,1,31
4023,20160305,Sat 3/5,IND,99-100,L,7,5,0.714,2,1,0.5,0,0,0.0,11,4,2,0,1,4,1,26
4023,20160304,Fri 3/4,CLE,83-108,L,5,0,0.0,4,0,0.0,0,0,0.0,0,0,0,1,0,3,0,27
4023,20160302,Wed 3/2,MIN,104-98,W,7,1,0.143,4,0,0.0,0,0,0.0,2,5,3,0,1,4,2,28
4023,20160229,Mon 2/29,PHI,116-108,W,3,2,0.667,2,1,0.5,2,2,1.0,7,1,1,0,1,3,1,27
4023,20160228,Sun 2/28,CLE,113-99,W,5,1,0.2,3,0,0.0,0,0,0.0,2,2,0,0,1,3,0,22
4023,20160226,Fri 2/26,PHI,103-94,W,2,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,2,0,12
4023,20160224,Wed 2/24,CHI,104-109,L,12,6,0.5,8,4,0.5,4,2,0.5,18,2,1,0,1,3,2,26
4023,20160223,Tue 2/23,NO,109-89,W,7,2,0.286,2,1,0.5,2,2,1.0,7,5,2,0,0,2,1,24
4023,20160220,Sat 2/20,MIA,94-114,L,4,0,0.0,1,0,0.0,0,0,0.0,0,1,0,0,0,3,0,17
4023,20160219,Fri 2/19,DET,98-86,W,5,1,0.2,2,0,0.0,0,0,0.0,2,4,4,0,1,1,0,30
4023,20160218,Thu 2/18,UTAH,103-89,W,7,1,0.143,3,1,0.333,4,1,0.25,4,1,1,0,4,4,4,29
4023,20160211,Thu 2/11,MIL,92-99,L,2,1,0.5,1,0,0.0,3,1,0.333,3,3,0,0,2,1,0,16
4023,20160209,Tue 2/9,NY,111-108,W,4,2,0.5,2,1,0.5,0,0,0.0,5,1,1,0,0,4,1,32
4023,20160206,Sat 2/6,CHA,104-108,L,4,1,0.25,2,0,0.0,0,0,0.0,2,3,1,0,1,5,2,25
4023,20160205,Fri 2/5,PHI,106-94,W,3,2,0.667,1,0,0.0,6,4,0.667,8,0,1,0,0,3,1,30
4023,20160203,Wed 2/3,GS,121-134,L,9,2,0.222,5,1,0.2,3,3,1.0,8,3,4,0,2,3,0,33
4023,20160201,Mon 2/1,OKC,98-114,L,9,4,0.444,4,1,0.25,0,0,0.0,9,3,2,0,1,3,1,37
4023,20160130,Sat 1/30,HOU,123-122,W,14,5,0.357,7,1,0.143,0,0,0.0,11,4,4,0,1,6,0,34
4023,20160128,Thu 1/28,DEN,113-117,L,16,7,0.438,10,5,0.5,2,1,0.5,20,5,3,0,1,3,0,38
4023,20160126,Tue 1/26,TOR,89-106,L,8,3,0.375,5,2,0.4,0,0,0.0,8,1,0,0,0,3,1,34
4023,20160125,Mon 1/25,BOS,91-116,L,7,0,0.0,4,0,0.0,2,2,1.0,2,4,1,0,0,2,0,23
4023,20160120,Wed 1/20,MIA,106-87,W,6,4,0.667,1,1,1.0,2,2,1.0,11,2,3,0,1,0,0,29
4023,20160118,Mon 1/18,POR,98-108,L,10,6,0.6,5,3,0.6,4,3,0.75,18,3,1,0,0,1,0,29
4023,20160116,Sat 1/16,BOS,117-119,L,8,2,0.25,5,1,0.2,7,7,1.0,12,3,3,1,0,3,0,34
4023,20160115,Fri 1/15,IND,118-104,W,8,2,0.25,4,1,0.25,0,0,0.0,5,6,5,1,0,4,1,28
4023,20160113,Wed 1/13,MIL,106-101,W,8,4,0.5,6,3,0.5,0,0,0.0,11,4,5,1,5,1,0,32
4023,20160111,Mon 1/11,CHI,114-100,W,10,6,0.6,4,2,0.5,0,0,0.0,14,1,2,2,1,3,1,30
4023,20160109,Sat 1/9,ORL,105-99,W,8,5,0.625,2,1,0.5,0,0,0.0,11,4,4,0,0,4,2,33
4023,20160108,Fri 1/8,TOR,88-97,L,9,3,0.333,2,1,0.5,0,0,0.0,7,1,3,0,2,5,1,32
4023,20160106,Wed 1/6,CLE,115-121,L,10,7,0.7,5,3,0.6,5,4,0.8,21,4,1,0,0,3,0,34
4023,20160103,Sun 1/3,MIA,75-97,L,16,4,0.25,8,2,0.25,2,1,0.5,11,3,3,1,1,2,2,41
4023,20160101,Fri 1/1,ORL,103-91,W,10,4,0.4,3,1,0.333,2,2,1.0,11,1,3,0,1,1,0,29
4023,20161230,Wed 12/30,TOR,91-94,L,6,1,0.167,1,1,1.0,2,1,0.5,4,4,2,0,0,6,1,32
4023,20161228,Mon 12/28,LAC,91-108,L,9,2,0.222,4,0,0.0,4,2,0.5,6,3,2,0,1,4,2,39
4023,20161226,Sat 12/26,BKN,111-96,W,9,3,0.333,5,1,0.2,2,2,1.0,9,1,3,1,2,2,1,34
4023,20161223,Wed 12/23,MEM,100-91,W,17,8,0.471,9,3,0.333,2,1,0.5,20,6,1,0,0,4,2,40
4023,20161221,Mon 12/21,SAC,113-99,W,17,8,0.471,10,5,0.5,2,2,1.0,23,5,3,0,2,4,0,42
4023,20161219,Sat 12/19,CHA,109-101,W,9,7,0.778,3,2,0.667,7,5,0.714,21,5,3,0,2,2,1,35
4023,20161216,Wed 12/16,SA,95-114,L,2,1,0.5,1,0,0.0,2,1,0.5,3,0,1,1,0,1,0,11
4023,20161214,Mon 12/14,MEM,95-112,L,5,2,0.4,3,0,0.0,2,2,1.0,6,0,1,1,0,0,2,17
4023,20161212,Sat 12/12,DAL,114-111,W,6,2,0.333,2,1,0.5,0,0,0.0,5,2,4,1,2,3,2,28
4023,20161211,Fri 12/11,NO,105-107,L,8,4,0.5,6,2,0.333,0,0,0.0,10,0,3,0,3,2,1,28
4023,20161209,Wed 12/9,HOU,103-109,L,6,2,0.333,2,0,0.0,2,1,0.5,5,4,1,0,1,2,0,17
4023,20161207,Mon 12/7,MIA,114-103,W,2,1,0.5,1,1,1.0,0,0,0.0,3,2,1,0,0,2,0,8
4023,20161206,Sun 12/6,DAL,104-116,L,1,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,4,0,13
4023,20161204,Fri 12/4,PHX,109-106,W,6,2,0.333,4,1,0.25,2,1,0.5,6,3,1,0,1,2,0,35
4023,20161202,Wed 12/2,LAL,104-108,L,1,0,0.0,1,0,0.0,8,4,0.5,4,4,2,0,2,0,2,15
4023,20161201,Tue 12/1,CLE,97-85,W,9,3,0.333,5,1,0.2,0,0,0.0,7,5,0,0,0,4,0,28
4023,20161128,Sat 11/28,TOR,82-84,L,6,0,0.0,4,0,0.0,2,1,0.5,1,2,1,1,3,1,0,17
4023,20161127,Fri 11/27,BOS,78-111,L,4,2,0.5,1,0,0.0,2,1,0.5,5,1,0,0,1,0,1,11
4023,20161125,Wed 11/25,CHA,87-101,L,3,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,2,0,0,10
4023,20161124,Tue 11/24,IND,106-123,L,5,1,0.2,3,0,0.0,0,0,0.0,2,6,2,0,0,3,2,18
4023,20161121,Sat 11/21,DET,97-95,W,6,3,0.5,3,1,0.333,2,1,0.5,8,5,1,0,1,1,1,26
4023,20161117,Tue 11/17,MIL,115-86,W,9,3,0.333,4,2,0.5,2,2,1.0,10,2,2,0,2,3,0,30
4023,20161114,Sat 11/14,ORL,108-99,W,10,5,0.5,6,3,0.5,6,5,0.833,18,3,2,0,1,2,0,31
4023,20161110,Tue 11/10,OKC,101-125,L,8,3,0.375,3,0,0.0,3,3,1.0,9,3,2,0,0,3,1,21
4023,20161107,Sat 11/7,ATL,99-114,L,0,0,0.0,0,0,0.0,2,1,0.5,1,0,0,0,0,0,0,1
4023,20161106,Fri 11/6,BOS,98-118,L,3,1,0.333,2,1,0.5,2,2,1.0,5,1,0,0,0,0,1,11
4023,20161104,Wed 11/4,SA,102-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,0,0,3
4023,20161031,Sat 10/31,NY,110-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4023,20161030,Fri 10/30,MIL,118-113,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0
4023,20161028,Wed 10/28,ORL,88-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4023,20161023,Fri 10/23,TOR,82-92,L,2,0,0.0,1,0,0.0,0,0,0.0,0,0,1,0,0,1,0,15
4023,20161021,Wed 10/21,MIA,105-110,L,7,2,0.286,3,1,0.333,0,0,0.0,5,3,1,1,0,4,1,16
4023,20161006,Tue 10/6,PHI,129-95,W,9,2,0.222,3,1,0.333,2,2,1.0,7,9,7,0,1,0,0,24
