ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2999547,20160413,Wed 4/13,POR,99-107,L,15,6,0.4,5,2,0.4,2,2,1.0,16,4,1,0,0,1,3,37
2999547,20160410,Sun 4/10,UTAH,84-100,L,9,5,0.556,3,1,0.333,2,2,1.0,13,3,2,0,0,1,0,33
2999547,20160408,Fri 4/8,SA,102-98,W,6,2,0.333,3,0,0.0,2,2,1.0,6,3,3,0,1,3,1,29
2999547,20160405,Tue 4/5,OKC,102-124,L,10,6,0.6,6,3,0.5,3,2,0.667,17,4,5,0,2,0,1,27
2999547,20160402,Sat 4/2,SAC,106-115,L,11,6,0.545,7,4,0.571,4,3,0.75,19,4,2,2,0,1,0,36
2999547,20160331,Thu 3/31,NO,95-101,L,11,6,0.545,3,1,0.333,3,3,1.0,16,0,4,0,2,2,1,38
2999547,20160330,Wed 3/30,MEM,109-105,W,7,2,0.286,5,1,0.2,0,0,0.0,5,1,4,1,1,4,0,20
2999547,20160328,Mon 3/28,DAL,88-97,L,9,5,0.556,4,2,0.5,1,1,1.0,13,0,1,0,0,1,1,30
2999547,20160327,Sun 3/27,LAC,90-105,L,10,4,0.4,5,3,0.6,0,0,0.0,11,1,2,0,2,2,0,29
2999547,20160325,Fri 3/25,LAL,116-105,W,13,6,0.462,4,1,0.25,1,0,0.0,13,3,2,0,2,2,1,24
2999547,20160323,Wed 3/23,PHI,104-103,W,11,6,0.545,2,1,0.5,5,5,1.0,18,5,0,0,0,1,0,36
2999547,20160321,Mon 3/21,CLE,91-124,L,12,4,0.333,6,1,0.167,2,2,1.0,11,2,1,0,2,2,0,34
2999547,20160319,Sat 3/19,CHA,101-93,W,7,5,0.714,2,1,0.5,2,2,1.0,13,4,1,0,0,1,3,37
2999547,20160317,Thu 3/17,ATL,98-116,L,15,6,0.4,3,1,0.333,3,2,0.667,15,4,2,0,1,4,0,32
2999547,20160315,Tue 3/15,ORL,110-116,L,12,6,0.5,5,2,0.4,5,4,0.8,18,3,3,0,3,1,3,36
2999547,20160314,Mon 3/14,MIA,119-124,L,14,6,0.429,5,1,0.2,6,5,0.833,18,3,2,0,3,0,0,34
2999547,20160312,Sat 3/12,WSH,116-100,W,13,8,0.615,3,0,0.0,1,1,1.0,17,5,2,1,1,2,3,31
2999547,20160310,Thu 3/10,PHX,116-98,W,11,5,0.455,5,2,0.4,0,0,0.0,12,4,2,0,1,5,0,32
2999547,20160308,Tue 3/8,NY,110-94,W,11,6,0.545,4,2,0.5,2,2,1.0,16,4,4,1,1,1,1,33
2999547,20160306,Sun 3/6,DAL,116-114,W,13,7,0.538,3,1,0.333,1,1,1.0,16,3,3,0,2,0,2,44
2999547,20160304,Fri 3/4,BKN,120-121,L,15,8,0.533,7,1,0.143,4,4,1.0,21,2,3,1,3,0,2,41
2999547,20160302,Wed 3/2,LAL,117-107,W,12,6,0.5,5,2,0.4,2,2,1.0,16,3,2,0,1,2,3,40
2999547,20160229,Mon 2/29,MEM,96-103,L,13,6,0.462,8,3,0.375,0,0,0.0,15,2,1,1,0,3,1,34
2999547,20160226,Fri 2/26,DAL,116-122,L,13,6,0.462,9,3,0.333,5,2,0.4,17,4,0,0,2,4,1,46
2999547,20160224,Wed 2/24,LAC,87-81,W,14,7,0.5,4,3,0.75,0,0,0.0,17,5,1,0,3,1,2,29
2999547,20160223,Tue 2/23,SAC,110-114,L,9,2,0.222,2,0,0.0,0,0,0.0,4,2,3,0,1,1,0,25
2999547,20160221,Sun 2/21,BOS,101-121,L,14,6,0.429,4,0,0.0,3,2,0.667,14,1,2,0,3,2,3,38
2999547,20160219,Fri 2/19,SAC,110-116,L,11,6,0.545,5,1,0.2,2,1,0.5,14,4,5,0,1,2,1,40
2999547,20160210,Wed 2/10,DET,103-92,W,11,4,0.364,3,1,0.333,2,2,1.0,11,2,4,0,2,1,1,36
2999547,20160208,Mon 2/8,BKN,104-105,L,12,8,0.667,4,1,0.25,0,0,0.0,17,3,1,0,3,1,1,40
2999547,20160207,Sun 2/7,NY,101-96,W,9,2,0.222,2,0,0.0,0,0,0.0,4,4,3,0,1,1,0,40
2999547,20160205,Fri 2/5,CHI,115-110,W,7,3,0.429,3,0,0.0,0,0,0.0,6,6,1,0,0,0,0,35
2999547,20160203,Wed 2/3,UTAH,81-85,L,9,4,0.444,5,1,0.2,2,2,1.0,11,6,0,0,3,3,1,42
2999547,20160201,Mon 2/1,TOR,112-93,W,6,3,0.5,3,2,0.667,1,1,1.0,9,2,1,0,0,4,0,20
2999547,20160130,Sat 1/30,IND,105-109,L,11,7,0.636,3,2,0.667,3,2,0.667,18,1,3,1,1,5,2,36
2999547,20160128,Thu 1/28,WSH,117-113,W,6,2,0.333,2,1,0.5,0,0,0.0,5,1,0,0,2,2,2,29
2999547,20160127,Wed 1/27,BOS,103-111,L,7,4,0.571,4,1,0.25,6,6,1.0,15,7,0,0,2,1,2,33
2999547,20160125,Mon 1/25,ATL,105-119,L,9,6,0.667,5,3,0.6,0,0,0.0,15,0,1,1,4,0,3,31
2999547,20160123,Sat 1/23,DET,104-101,W,10,5,0.5,3,1,0.333,2,2,1.0,13,4,2,0,5,4,1,32
2999547,20160121,Thu 1/21,MEM,101-102,L,9,3,0.333,3,1,0.333,0,0,0.0,7,2,4,0,1,1,0,21
2999547,20160119,Tue 1/19,OKC,104-110,L,8,3,0.375,4,2,0.5,4,3,0.75,11,6,2,0,0,4,3,30
2999547,20160117,Sun 1/17,IND,129-126,W,12,8,0.667,3,1,0.333,3,3,1.0,20,4,2,0,0,2,2,38
2999547,20160115,Fri 1/15,MIA,95-98,L,14,4,0.286,4,1,0.25,2,2,1.0,11,1,2,0,0,1,0,38
2999547,20160113,Wed 1/13,GS,112-110,W,14,7,0.5,4,1,0.25,4,4,1.0,19,7,0,1,0,2,1,39
2999547,20160110,Sun 1/10,CHA,95-92,W,8,4,0.5,5,3,0.6,2,1,0.5,12,1,3,0,2,3,1,36
2999547,20160108,Fri 1/8,MEM,84-91,L,9,4,0.444,4,1,0.25,2,2,1.0,11,5,1,0,1,1,4,31
2999547,20160106,Wed 1/6,MIN,78-74,W,6,3,0.5,4,2,0.5,0,0,0.0,8,0,0,0,0,1,0,24
2999547,20160103,Sun 1/3,POR,106-112,L,6,2,0.333,3,2,0.667,2,1,0.5,7,2,1,0,1,3,0,27
2999547,20160102,Sat 1/2,GS,108-111,L,12,5,0.417,4,1,0.25,0,0,0.0,11,2,1,0,2,2,1,39
2999547,20161230,Wed 12/30,POR,103-110,L,11,6,0.545,6,4,0.667,4,3,0.75,19,4,2,0,2,1,1,41
2999547,20161229,Tue 12/29,CLE,87-93,L,13,5,0.385,6,1,0.167,2,1,0.5,12,7,2,0,2,2,2,33
2999547,20161227,Sun 12/27,OKC,112-122,L,13,6,0.462,5,2,0.4,4,2,0.5,16,2,3,0,2,2,1,31
2999547,20161226,Sat 12/26,SA,86-101,L,10,4,0.4,2,0,0.0,2,2,1.0,10,2,5,0,0,1,2,34
2999547,20161223,Wed 12/23,PHX,104-96,W,13,2,0.154,5,0,0.0,0,0,0.0,4,3,3,0,0,3,0,38
2999547,20161222,Tue 12/22,LAL,107-111,L,15,9,0.6,5,2,0.4,2,1,0.5,21,1,1,1,1,4,3,35
2999547,20161220,Sun 12/20,NO,125-130,L,8,1,0.125,3,0,0.0,0,0,0.0,2,2,1,1,3,2,0,26
2999547,20161218,Fri 12/18,UTAH,88-97,L,11,5,0.455,6,1,0.167,1,1,1.0,12,2,2,1,1,3,3,29
2999547,20161215,Tue 12/15,MIN,112-100,W,5,2,0.4,1,0,0.0,0,0,0.0,4,2,0,0,0,1,1,24
2999547,20161214,Mon 12/14,HOU,114-108,W,11,8,0.727,2,1,0.5,4,4,1.0,21,2,1,2,1,1,2,40
2999547,20161211,Fri 12/11,MIN,111-108,W,15,5,0.333,6,2,0.333,0,0,0.0,12,2,1,0,0,3,2,44
2999547,20161208,Tue 12/8,ORL,74-85,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2999547,20161205,Sat 12/5,PHI,108-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2999547,20161203,Thu 12/3,TOR,106-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2999547,20161202,Wed 12/2,CHI,90-99,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2999547,20161130,Mon 11/30,MIL,74-92,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2999547,20161128,Sat 11/28,DAL,81-92,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2999547,20161127,Fri 11/27,SA,80-91,L,4,2,0.5,3,1,0.333,0,0,0.0,5,1,3,0,1,1,2,25
2999547,20161124,Tue 11/24,LAC,94-111,L,11,5,0.455,6,3,0.5,1,1,1.0,14,3,1,0,0,5,1,35
2999547,20161122,Sun 11/22,GS,105-118,L,11,5,0.455,3,1,0.333,2,1,0.5,12,3,3,0,1,2,2,34
2999547,20161120,Fri 11/20,PHX,107-114,L,13,8,0.615,4,2,0.5,2,2,1.0,20,2,0,0,0,2,1,28
