ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3438,20140416,Wed 4/16,ORL,101-86,W,5,2,0.4,2,1,0.5,0,0,0.0,5,4,2,0,2,1,0,14
3438,20140413,Sun 4/13,OKC,102-97,W,3,1,0.333,2,0,0.0,2,1,0.5,3,0,2,0,0,4,0,23
3438,20140411,Fri 4/11,MIA,86-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,4,0,0,1,2,33
3438,20140409,Wed 4/9,MIL,104-102,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3438,20140406,Sun 4/6,ATL,88-107,L,10,3,0.3,5,2,0.4,6,4,0.667,12,7,0,0,2,4,2,37
3438,20140404,Fri 4/4,TOR,94-102,L,5,2,0.4,3,1,0.333,4,3,0.75,8,4,5,0,1,1,1,35
3438,20140402,Wed 4/2,DET,101-94,W,9,4,0.444,3,0,0.0,5,4,0.8,12,1,2,0,1,3,0,39
3438,20140331,Mon 3/31,SA,77-103,L,6,3,0.5,1,1,1.0,0,0,0.0,7,3,0,1,0,0,0,37
3438,20140330,Sun 3/30,CLE,76-90,L,9,3,0.333,3,1,0.333,4,2,0.5,9,7,6,0,2,1,2,36
3438,20140328,Fri 3/28,WSH,78-91,L,6,3,0.5,0,0,0.0,2,2,1.0,8,3,6,0,2,2,1,38
3438,20140326,Wed 3/26,MIA,84-83,W,4,1,0.25,1,0,0.0,2,0,0.0,2,4,4,0,0,2,2,41
3438,20140324,Mon 3/24,CHI,77-89,L,10,6,0.6,3,2,0.667,3,3,1.0,17,2,4,0,1,0,0,39
3438,20140322,Sat 3/22,MEM,71-82,L,7,2,0.286,1,0,0.0,0,0,0.0,4,2,5,1,0,2,0,35
3438,20140321,Fri 3/21,CHI,91-79,W,10,3,0.3,4,0,0.0,4,4,1.0,10,3,3,0,1,4,1,36
3438,20140319,Wed 3/19,NY,86-92,L,7,3,0.429,4,1,0.25,0,0,0.0,7,6,4,1,0,2,2,40
3438,20140317,Mon 3/17,PHI,99-90,W,11,4,0.364,7,3,0.429,0,0,0.0,11,5,3,1,2,2,1,36
3438,20140315,Sat 3/15,DET,112-104,W,7,1,0.143,3,0,0.0,0,0,0.0,2,7,3,0,2,4,1,34
3438,20140314,Fri 3/14,PHI,101-94,W,11,4,0.364,8,3,0.375,4,3,0.75,14,6,9,0,2,2,2,39
3438,20140311,Tue 3/11,BOS,94-83,W,11,4,0.364,6,2,0.333,2,2,1.0,12,3,4,1,1,1,1,36
3438,20140309,Sun 3/9,DAL,94-105,L,16,7,0.438,5,2,0.4,6,4,0.667,20,5,3,0,2,3,1,38
3438,20140307,Fri 3/7,HOU,86-112,L,5,2,0.4,1,0,0.0,0,0,0.0,4,0,3,0,0,2,1,28
3438,20140305,Wed 3/5,&nbsp;CHA,87-109,L,10,6,0.6,5,3,0.6,3,2,0.667,17,3,1,0,0,2,0,31
3438,20140304,Tue 3/4,GS,96-98,L,9,3,0.333,2,0,0.0,2,2,1.0,8,7,3,0,0,3,1,35
