ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3423,20160413,Wed 4/13,BOS,88-98,L,16,9,0.563,1,0,0.0,0,0,0.0,18,2,3,2,1,5,0,33
3423,20160412,Tue 4/12,DET,99-93,W,15,8,0.533,2,0,0.0,0,0,0.0,16,5,4,0,1,4,2,26
3423,20160410,Sun 4/10,ORL,118-96,W,12,8,0.667,1,0,0.0,3,3,1.0,19,2,6,1,1,1,1,36
3423,20160408,Fri 4/8,ORL,109-112,L,16,6,0.375,3,1,0.333,2,2,1.0,15,8,6,0,1,2,4,30
3423,20160407,Thu 4/7,CHI,106-98,W,16,7,0.438,3,0,0.0,2,2,1.0,16,12,4,1,1,1,3,31
3423,20160405,Tue 4/5,DET,107-89,W,15,9,0.6,4,4,1.0,0,0,0.0,22,5,8,0,0,4,4,34
3423,20160402,Sat 4/2,POR,93-110,L,14,6,0.429,2,0,0.0,4,3,0.75,15,2,1,0,1,3,3,34
3423,20160401,Fri 4/1,SAC,112-106,W,12,5,0.417,2,1,0.5,8,7,0.875,18,2,7,1,0,4,4,30
3423,20160330,Wed 3/30,LAL,100-102,L,14,5,0.357,5,1,0.2,0,0,0.0,11,3,9,0,2,4,4,38
3423,20160328,Mon 3/28,BKN,110-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3423,20160325,Fri 3/25,ORL,108-97,W,13,9,0.692,3,1,0.333,7,3,0.429,22,0,8,0,4,4,5,36
3423,20160323,Wed 3/23,SA,88-112,L,8,2,0.25,1,0,0.0,0,0,0.0,4,1,4,0,2,2,6,25
3423,20160322,Tue 3/22,NO,113-99,W,18,8,0.444,7,3,0.429,2,2,1.0,21,8,5,0,1,4,3,36
3423,20160319,Sat 3/19,CLE,122-101,W,12,7,0.583,0,0,0.0,4,4,1.0,18,4,11,0,1,1,2,29
3423,20160317,Thu 3/17,CHA,106-109,L,16,8,0.5,3,0,0.0,0,0,0.0,16,7,8,0,2,1,4,36
3423,20160314,Mon 3/14,DEN,124-119,W,10,5,0.5,4,1,0.25,2,0,0.0,11,2,8,0,0,3,1,33
3423,20160312,Sat 3/12,TOR,104-112,L,18,5,0.278,3,1,0.333,2,2,1.0,13,7,9,0,0,4,3,41
3423,20160311,Fri 3/11,CHI,118-96,W,16,10,0.625,2,1,0.5,6,5,0.833,26,3,9,1,1,0,1,31
3423,20160309,Wed 3/9,MIL,108-114,L,9,4,0.444,3,0,0.0,2,2,1.0,10,3,6,0,0,4,1,36
3423,20160306,Sun 3/6,PHI,103-98,W,15,9,0.6,4,3,0.75,2,2,1.0,23,8,5,0,0,4,3,38
3423,20160304,Fri 3/4,PHI,112-102,W,16,6,0.375,2,0,0.0,4,3,0.75,15,5,11,0,1,2,4,34
3423,20160303,Thu 3/3,PHX,108-92,W,18,10,0.556,6,3,0.5,4,2,0.5,25,7,4,0,1,4,3,34
3423,20160301,Tue 3/1,CHI,129-111,W,14,8,0.571,2,0,0.0,2,1,0.5,17,4,11,0,1,3,1,35
3423,20160228,Sun 2/28,NY,98-81,W,12,5,0.417,3,0,0.0,4,3,0.75,13,3,6,1,1,0,3,33
3423,20160227,Sat 2/27,BOS,89-101,L,15,9,0.6,4,1,0.25,2,2,1.0,21,5,5,0,1,4,4,34
3423,20160224,Wed 2/24,GS,112-118,L,17,5,0.294,5,1,0.2,2,2,1.0,13,2,7,0,1,5,2,34
3423,20160222,Mon 2/22,IND,101-93,W,17,10,0.588,2,1,0.5,6,3,0.5,24,8,5,0,0,3,2,41
3423,20160220,Sat 2/20,WSH,114-94,W,20,9,0.45,3,0,0.0,7,6,0.857,24,7,8,1,0,1,0,30
3423,20160219,Fri 2/19,ATL,115-111,W,14,6,0.429,4,1,0.25,5,4,0.8,17,5,10,0,4,2,4,33
3423,20160209,Tue 2/9,SA,101-119,L,9,5,0.556,0,0,0.0,2,0,0.0,10,1,6,0,1,2,4,31
