ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2534781,20150415,Wed 4/15,OKC,113-138,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150413,Mon 4/13,NO,88-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150411,Sat 4/11,GS,101-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150410,Fri 4/10,LAL,98-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150408,Wed 4/8,POR,91-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150407,Tue 4/7,SAC,111-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150403,Fri 4/3,ORL,84-97,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150401,Wed 4/1,TOR,99-113,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150330,Mon 3/30,UTAH,84-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2534781,20150329,Sun 3/29,NO,88-110,L,1,0,0.0,0,0,0.0,0,0,0.0,0,3,0,3,0,1,0,9
2534781,20150327,Fri 3/27,HOU,110-120,L,11,7,0.636,0,0,0.0,4,4,1.0,18,12,4,1,1,1,0,38
2534781,20150325,Wed 3/25,LAL,99-101,L,6,4,0.667,0,0,0.0,2,2,1.0,10,3,1,2,1,5,6,33
2534781,20150323,Mon 3/23,UTAH,106-104,W,8,4,0.5,0,0,0.0,4,3,0.75,11,5,1,3,3,5,1,45
2534781,20150322,Sun 3/22,CHA,98-109,L,8,5,0.625,1,0,0.0,6,6,1.0,16,8,1,1,0,4,2,36
2534781,20150319,Thu 3/19,NY,95-92,W,10,9,0.9,0,0,0.0,4,1,0.25,19,11,1,6,2,3,2,48
2534781,20150318,Wed 3/18,TOR,100-105,L,9,2,0.222,0,0,0.0,4,2,0.5,6,7,3,2,1,1,4,38
2534781,20150316,Mon 3/16,BKN,106-122,L,7,4,0.571,0,0,0.0,4,3,0.75,11,5,4,4,2,3,1,39
2534781,20150315,Sun 3/15,SA,97-123,L,13,5,0.385,0,0,0.0,2,0,0.0,10,6,0,1,1,3,2,32
2534781,20150313,Fri 3/13,OKC,99-113,L,10,7,0.7,0,0,0.0,8,7,0.875,21,14,3,3,2,3,6,42
2534781,20150311,Wed 3/11,PHX,97-106,L,4,3,0.75,0,0,0.0,4,4,1.0,10,7,4,0,1,4,2,31
2534781,20150309,Mon 3/9,LAC,76-89,L,8,3,0.375,0,0,0.0,0,0,0.0,6,10,1,1,0,2,0,27
2534781,20150307,Sat 3/7,POR,121-113,W,3,2,0.667,0,0,0.0,2,2,1.0,6,5,4,1,1,4,2,27
2534781,20150304,Wed 3/4,DEN,85-100,L,5,2,0.4,0,0,0.0,4,4,1.0,8,10,0,2,1,4,3,33
2534781,20150302,Mon 3/2,LAC,105-110,L,8,4,0.5,0,0,0.0,2,2,1.0,10,11,0,2,1,5,2,39
2534781,20150228,Sat 2/28,MEM,97-101,L,6,4,0.667,0,0,0.0,6,5,0.833,13,9,0,0,2,3,1,39
2534781,20150227,Fri 2/27,CHI,89-96,L,2,1,0.5,0,0,0.0,4,2,0.5,4,5,0,0,1,0,3,25
2534781,20150225,Wed 2/25,WSH,97-77,W,7,3,0.429,0,0,0.0,0,0,0.0,6,7,0,0,1,1,2,25
2534781,20150223,Mon 2/23,HOU,102-113,L,4,1,0.25,0,0,0.0,6,5,0.833,7,14,4,1,1,5,0,27
2534781,20150220,Fri 2/20,PHX,111-109,W,8,6,0.75,0,0,0.0,6,3,0.5,15,12,1,2,0,3,2,38
2534781,20150211,Wed 2/11,GS,91-94,L,5,0,0.0,0,0,0.0,4,2,0.5,2,2,2,0,0,0,1,14
2534781,20150209,Mon 2/9,ATL,105-117,L,6,3,0.5,0,0,0.0,0,0,0.0,6,12,3,5,1,1,0,24
2534781,20150208,Sun 2/8,DET,112-101,W,4,1,0.25,0,0,0.0,0,0,0.0,2,3,1,0,1,4,3,15
2534781,20150206,Fri 2/6,MEM,90-89,W,4,2,0.5,0,0,0.0,0,0,0.0,4,7,0,0,0,3,1,21
2534781,20150204,Wed 2/4,MIA,102-101,W,5,4,0.8,0,0,0.0,5,5,1.0,13,9,1,1,0,2,1,27
2534781,20150202,Mon 2/2,DAL,94-100,L,8,4,0.5,0,0,0.0,2,1,0.5,9,9,2,0,1,3,1,21
2534781,20150131,Sat 1/31,CLE,90-106,L,3,0,0.0,0,0,0.0,6,4,0.667,4,3,3,1,1,2,0,20
2534781,20150130,Fri 1/30,PHI,94-103,L,10,5,0.5,1,0,0.0,5,4,0.8,14,10,2,3,2,2,3,32
2534781,20150128,Wed 1/28,BOS,110-98,W,11,6,0.545,1,0,0.0,5,4,0.8,16,14,1,3,0,2,1,35
2534781,20150126,Mon 1/26,OKC,84-92,L,8,3,0.375,0,0,0.0,0,0,0.0,6,18,2,3,1,2,2,36
2534781,20150125,Sun 1/25,ATL,100-112,L,6,3,0.5,0,0,0.0,4,3,0.75,9,7,4,1,0,3,1,28
2534781,20150123,Fri 1/23,NO,84-92,L,12,6,0.5,0,0,0.0,3,2,0.667,14,15,3,1,0,0,3,35
2534781,20150121,Wed 1/21,DAL,75-98,L,6,3,0.5,0,0,0.0,0,0,0.0,6,7,1,0,0,1,1,25
2534781,20150119,Mon 1/19,CHA,80-105,L,10,3,0.3,1,1,1.0,2,2,1.0,9,10,1,4,0,2,5,33
2534781,20150117,Sat 1/17,DEN,113-105,W,8,4,0.5,0,0,0.0,4,4,1.0,12,8,5,1,1,4,4,37
2534781,20150116,Fri 1/16,PHX,99-110,L,10,5,0.5,0,0,0.0,2,2,1.0,12,6,4,2,0,3,1,34
2534781,20150113,Tue 1/13,IND,110-101,W,7,3,0.429,0,0,0.0,4,4,1.0,10,10,6,2,3,3,4,38
2534781,20150110,Sat 1/10,SA,93-108,L,11,7,0.636,0,0,0.0,4,4,1.0,18,12,1,4,1,1,0,31
