ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4260,20130417,Wed 4/17,BKN,99-103,L,10,5,0.5,0,0,0.0,4,2,0.5,12,12,3,0,2,4,5,29
4260,20130415,Mon 4/15,PHI,109-101,W,14,10,0.714,0,0,0.0,7,7,1.0,27,16,4,1,0,1,2,37
4260,20130412,Fri 4/12,&nbsp;CHA,113-93,W,9,4,0.444,0,0,0.0,4,4,1.0,12,6,4,0,4,2,2,32
4260,20130410,Wed 4/10,CLE,111-104,W,18,10,0.556,0,0,0.0,5,3,0.6,23,8,4,0,1,2,0,38
4260,20130407,Sun 4/7,CHI,99-85,W,11,5,0.455,0,0,0.0,2,1,0.5,11,7,7,0,0,2,2,32
4260,20130406,Sat 4/6,MIN,101-107,L,13,7,0.538,1,0,0.0,2,2,1.0,16,6,1,1,2,4,4,32
4260,20130403,Wed 4/3,BOS,93-98,L,22,11,0.5,1,0,0.0,3,2,0.667,24,17,3,0,2,2,6,39
4260,20130401,Mon 4/1,TOR,108-98,W,18,10,0.556,0,0,0.0,4,4,1.0,24,4,4,1,0,0,0,38
4260,20130331,Sun 3/31,CHI,94-95,L,12,7,0.583,0,0,0.0,6,4,0.667,18,10,4,2,2,3,4,32
4260,20130329,Fri 3/29,TOR,82-99,L,11,3,0.273,0,0,0.0,6,5,0.833,11,13,5,2,0,1,3,30
4260,20130326,Tue 3/26,MIN,82-105,L,13,5,0.385,1,0,0.0,2,1,0.5,11,12,1,0,4,2,2,29
4260,20130323,Sat 3/23,&nbsp;CHA,92-91,W,11,2,0.182,0,0,0.0,2,2,1.0,6,9,8,0,2,2,1,29
4260,20130322,Fri 3/22,MIA,89-103,L,19,10,0.526,0,0,0.0,5,3,0.6,23,15,6,1,1,3,3,41
4260,20130318,Mon 3/18,BKN,82-119,L,10,8,0.8,0,0,0.0,2,1,0.5,17,7,3,2,1,4,6,32
4260,20130316,Sat 3/16,POR,101-112,L,9,5,0.556,0,0,0.0,8,4,0.5,14,9,6,0,0,5,1,36
4260,20130313,Wed 3/13,GS,97-105,L,16,4,0.25,0,0,0.0,6,5,0.833,13,7,4,0,1,4,2,39
4260,20130311,Mon 3/11,UTAH,90-103,L,15,7,0.467,0,0,0.0,1,1,1.0,15,13,3,1,0,2,0,41
4260,20130310,Sun 3/10,LAC,97-129,L,8,2,0.25,0,0,0.0,10,6,0.6,10,5,4,0,0,3,3,33
4260,20130308,Fri 3/8,DAL,99-102,L,13,5,0.385,1,0,0.0,5,4,0.8,14,10,4,0,1,0,2,34
4260,20130306,Wed 3/6,NY,77-87,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4260,20130303,Sun 3/3,SA,75-114,L,13,6,0.462,0,0,0.0,4,4,1.0,16,8,4,0,0,1,4,30
4260,20130301,Fri 3/1,&nbsp;NO,95-100,L,22,11,0.5,0,0,0.0,8,5,0.625,27,10,3,0,1,4,4,35
4260,20130227,Wed 2/27,WSH,96-95,W,17,12,0.706,0,0,0.0,3,2,0.667,26,11,1,0,4,4,5,39
4260,20130225,Mon 2/25,ATL,103-114,L,9,5,0.556,0,0,0.0,8,5,0.625,15,8,5,1,2,0,2,31
4260,20130223,Sat 2/23,IND,72-90,L,16,4,0.25,0,0,0.0,7,4,0.571,12,12,4,0,3,5,5,34
4260,20130222,Fri 2/22,IND,82-114,L,9,2,0.222,0,0,0.0,2,1,0.5,5,4,2,1,0,1,2,22
4260,20130220,Wed 2/20,&nbsp;CHA,105-99,W,13,7,0.538,0,0,0.0,5,5,1.0,19,7,7,3,1,2,1,35
4260,20130219,Tue 2/19,MEM,91-105,L,9,4,0.444,0,0,0.0,1,1,1.0,9,6,2,1,1,3,1,23
4260,20130213,Wed 2/13,WSH,96-85,W,12,5,0.417,0,0,0.0,8,6,0.75,16,18,4,0,2,3,1,34
