ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6578,20150415,Wed 4/15,DEN,133-126,W,8,5,0.625,2,2,1.0,0,0,0.0,12,5,1,0,0,2,0,17
6578,20150413,Mon 4/13,MEM,111-107,W,6,1,0.167,1,0,0.0,0,0,0.0,2,2,2,2,2,1,0,23
6578,20150411,Sat 4/11,MIN,110-101,W,12,5,0.417,4,1,0.25,3,2,0.667,13,12,2,2,0,1,1,29
6578,20150409,Thu 4/9,POR,116-105,W,6,5,0.833,1,0,0.0,2,2,1.0,12,7,4,0,1,1,2,29
6578,20150407,Tue 4/7,NO,100-103,L,7,3,0.429,0,0,0.0,2,1,0.5,7,1,1,1,1,2,0,23
6578,20150405,Sun 4/5,SA,92-107,L,7,2,0.286,3,0,0.0,0,0,0.0,4,2,0,1,0,3,0,28
6578,20150404,Sat 4/4,DAL,123-110,W,11,5,0.455,3,0,0.0,4,3,0.75,13,10,3,0,4,5,2,28
6578,20150402,Thu 4/2,PHX,107-106,W,8,2,0.25,3,0,0.0,0,0,0.0,4,3,3,0,0,2,0,24
6578,20150331,Tue 3/31,LAC,110-106,W,7,0,0.0,3,0,0.0,2,1,0.5,1,7,2,0,0,2,0,25
6578,20150328,Sat 3/28,MIL,108-95,W,8,4,0.5,3,2,0.667,5,3,0.6,13,6,0,0,1,4,2,26
6578,20150327,Fri 3/27,MEM,107-84,W,2,1,0.5,1,1,1.0,0,0,0.0,3,5,2,0,2,2,0,24
6578,20150324,Tue 3/24,POR,122-108,W,6,5,0.833,1,1,1.0,2,2,1.0,13,3,0,0,0,1,1,36
6578,20150323,Mon 3/23,WSH,107-76,W,7,2,0.286,3,1,0.333,2,2,1.0,7,7,2,0,3,2,0,22
6578,20150321,Sat 3/21,UTAH,106-91,W,10,5,0.5,4,2,0.5,0,0,0.0,12,4,1,0,0,1,1,28
6578,20150320,Fri 3/20,NO,112-96,W,13,9,0.692,1,1,1.0,3,3,1.0,22,1,0,0,1,2,0,20
6578,20150318,Wed 3/18,ATL,114-95,W,13,11,0.846,3,2,0.667,2,1,0.5,25,4,1,0,1,4,1,28
6578,20150316,Mon 3/16,LAL,108-105,W,8,3,0.375,4,1,0.25,4,4,1.0,11,2,2,1,1,1,0,23
6578,20150314,Sat 3/14,NY,125-94,W,5,3,0.6,1,1,1.0,2,1,0.5,8,4,0,0,0,0,2,20
6578,20150313,Fri 3/13,DEN,103-114,L,7,1,0.143,3,0,0.0,2,2,1.0,4,6,2,0,1,2,2,24
6578,20150311,Wed 3/11,DET,105-98,W,3,2,0.667,2,1,0.5,0,0,0.0,5,5,1,0,0,0,2,23
6578,20150309,Mon 3/9,PHX,98-80,W,8,3,0.375,2,0,0.0,3,3,1.0,9,4,1,0,0,2,1,32
6578,20150308,Sun 3/8,LAC,106-98,W,12,3,0.25,4,1,0.25,4,3,0.75,10,8,0,0,3,1,1,34
6578,20150306,Fri 3/6,DAL,104-89,W,9,5,0.556,4,2,0.5,0,0,0.0,12,6,1,0,0,2,3,28
6578,20150304,Wed 3/4,MIL,102-93,W,7,3,0.429,2,0,0.0,2,0,0.0,6,5,1,0,1,2,2,32
6578,20150302,Mon 3/2,BKN,108-110,L,7,2,0.286,2,1,0.5,2,1,0.5,6,6,0,0,3,1,0,26
6578,20150301,Sun 3/1,BOS,106-101,W,14,6,0.429,7,3,0.429,2,2,1.0,17,8,0,0,0,3,1,30
6578,20150227,Fri 2/27,TOR,113-89,W,5,2,0.4,3,1,0.333,2,1,0.5,6,7,3,0,1,1,0,30
6578,20150226,Thu 2/26,CLE,99-110,L,10,4,0.4,5,3,0.6,2,0,0.0,11,7,3,0,1,4,2,28
6578,20150224,Tue 2/24,WSH,114-107,W,12,5,0.417,3,1,0.333,0,0,0.0,11,2,2,0,0,2,1,31
6578,20150222,Sun 2/22,IND,98-104,L,11,3,0.273,1,0,0.0,0,0,0.0,6,6,1,0,1,3,0,29
6578,20150220,Fri 2/20,SA,110-99,W,11,7,0.636,4,2,0.5,0,0,0.0,16,5,0,0,1,1,0,28
6578,20150211,Wed 2/11,MIN,94-91,W,7,3,0.429,3,2,0.667,0,0,0.0,8,7,1,0,0,2,2,23
