ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4262,20160413,Wed 4/13,BOS,88-98,L,10,6,0.6,0,0,0.0,9,7,0.778,19,9,0,4,1,2,1,28
4262,20160412,Tue 4/12,DET,99-93,W,10,4,0.4,0,0,0.0,8,6,0.75,14,9,0,3,2,4,3,34
4262,20160410,Sun 4/10,ORL,118-96,W,7,5,0.714,0,0,0.0,8,8,1.0,18,15,0,2,1,2,2,28
4262,20160408,Fri 4/8,ORL,109-112,L,12,6,0.5,0,0,0.0,7,1,0.143,13,16,0,4,0,3,0,28
4262,20160407,Thu 4/7,CHI,106-98,W,11,5,0.455,0,0,0.0,7,6,0.857,16,12,0,1,1,6,0,27
4262,20160405,Tue 4/5,DET,107-89,W,13,7,0.538,0,0,0.0,0,0,0.0,14,12,0,4,1,3,0,29
4262,20160402,Sat 4/2,POR,93-110,L,14,6,0.429,0,0,0.0,11,8,0.727,20,13,1,4,1,3,3,28
4262,20160401,Fri 4/1,SAC,112-106,W,4,2,0.5,0,0,0.0,2,2,1.0,6,13,1,3,0,3,2,30
4262,20160330,Wed 3/30,LAL,100-102,L,9,7,0.778,0,0,0.0,12,6,0.5,20,17,0,7,0,5,3,39
4262,20160328,Mon 3/28,BKN,110-99,W,16,12,0.75,0,0,0.0,4,3,0.75,27,8,1,1,1,4,1,31
4262,20160325,Fri 3/25,ORL,108-97,W,15,10,0.667,0,0,0.0,7,6,0.857,26,12,0,5,1,3,1,29
4262,20160323,Wed 3/23,SA,88-112,L,9,5,0.556,0,0,0.0,4,2,0.5,12,14,1,2,1,2,2,34
4262,20160322,Tue 3/22,NO,113-99,W,11,10,0.909,0,0,0.0,6,4,0.667,24,14,0,3,1,4,4,30
4262,20160319,Sat 3/19,CLE,122-101,W,9,6,0.667,0,0,0.0,5,4,0.8,16,13,2,2,0,0,2,24
4262,20160317,Thu 3/17,CHA,106-109,L,10,6,0.6,0,0,0.0,6,5,0.833,17,7,0,1,1,3,3,27
4262,20160314,Mon 3/14,DEN,124-119,W,7,6,0.857,0,0,0.0,6,6,1.0,18,10,0,1,0,4,4,31
4262,20160312,Sat 3/12,TOR,104-112,L,12,5,0.417,0,0,0.0,4,3,0.75,13,11,0,3,1,5,1,33
4262,20160311,Fri 3/11,CHI,118-96,W,13,6,0.462,0,0,0.0,2,1,0.5,13,16,2,3,1,0,0,31
4262,20160309,Wed 3/9,MIL,108-114,L,13,9,0.692,0,0,0.0,5,5,1.0,23,13,0,3,0,5,2,29
4262,20160306,Sun 3/6,PHI,103-98,W,11,4,0.364,0,0,0.0,10,6,0.6,14,13,1,7,0,3,2,31
4262,20160304,Fri 3/4,PHI,112-102,W,11,6,0.545,0,0,0.0,8,7,0.875,19,19,2,2,0,2,1,34
4262,20160303,Thu 3/3,PHX,108-92,W,8,4,0.5,0,0,0.0,1,1,1.0,9,11,1,5,1,4,3,23
4262,20160301,Tue 3/1,CHI,129-111,W,11,8,0.727,0,0,0.0,11,10,0.909,26,14,1,4,0,1,1,33
4262,20160228,Sun 2/28,NY,98-81,W,13,7,0.538,0,0,0.0,2,2,1.0,16,11,0,2,3,4,2,26
4262,20160227,Sat 2/27,BOS,89-101,L,9,5,0.556,0,0,0.0,3,3,1.0,13,15,0,8,1,3,1,33
4262,20160224,Wed 2/24,GS,112-118,L,11,8,0.727,0,0,0.0,5,5,1.0,21,13,0,2,1,3,2,32
4262,20160222,Mon 2/22,IND,101-93,W,17,8,0.471,0,0,0.0,4,3,0.75,19,18,1,6,0,3,1,41
4262,20160220,Sat 2/20,WSH,114-94,W,15,11,0.733,0,0,0.0,7,3,0.429,25,23,0,2,0,3,1,29
4262,20160219,Fri 2/19,ATL,115-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160209,Tue 2/9,SA,101-119,L,9,6,0.667,0,0,0.0,3,2,0.667,14,6,0,2,0,4,1,25
4262,20160207,Sun 2/7,LAC,93-100,L,5,3,0.6,0,0,0.0,6,4,0.667,10,10,0,0,0,2,0,17
4262,20160205,Fri 2/5,CHA,98-95,W,8,4,0.5,0,0,0.0,3,2,0.667,10,10,0,10,0,4,2,27
4262,20160203,Wed 2/3,DAL,93-90,W,5,5,1.0,0,0,0.0,0,0,0.0,10,9,1,5,1,5,1,17
4262,20160202,Tue 2/2,HOU,102-115,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160131,Sun 1/31,ATL,105-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160129,Fri 1/29,MIL,107-103,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160126,Tue 1/26,BKN,102-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160125,Mon 1/25,CHI,89-84,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160122,Fri 1/22,TOR,81-101,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160120,Wed 1/20,WSH,87-106,L,1,1,1.0,0,0,0.0,0,0,0.0,2,2,1,1,1,0,2,11
4262,20160119,Tue 1/19,MIL,79-91,L,9,8,0.889,0,0,0.0,11,7,0.636,23,18,1,2,0,1,1,35
4262,20160117,Sun 1/17,OKC,74-99,L,9,7,0.778,0,0,0.0,0,0,0.0,14,11,0,4,1,1,3,33
4262,20160115,Fri 1/15,DEN,98-95,W,13,8,0.615,0,0,0.0,5,3,0.6,19,17,2,11,1,2,4,38
4262,20160113,Wed 1/13,LAC,90-104,L,5,3,0.6,0,0,0.0,6,4,0.667,10,11,1,3,1,4,5,27
4262,20160111,Mon 1/11,GS,103-111,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160109,Sat 1/9,UTAH,83-98,L,8,4,0.5,0,0,0.0,6,2,0.333,10,11,0,4,1,3,1,31
4262,20160108,Fri 1/8,PHX,103-95,W,8,2,0.25,0,0,0.0,2,1,0.5,5,9,0,0,0,2,1,19
4262,20160106,Wed 1/6,NY,90-98,L,6,3,0.5,0,0,0.0,2,2,1.0,8,8,1,1,0,1,4,28
4262,20160104,Mon 1/4,IND,103-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4262,20160103,Sun 1/3,WSH,97-75,W,9,3,0.333,0,0,0.0,2,0,0.0,6,13,1,6,1,1,0,30
4262,20160101,Fri 1/1,DAL,106-82,W,16,12,0.75,0,0,0.0,2,1,0.5,25,19,0,1,0,4,4,32
4262,20161229,Tue 12/29,MEM,90-99,L,4,2,0.5,0,0,0.0,2,1,0.5,5,11,1,5,0,6,3,37
4262,20161228,Mon 12/28,BKN,105-111,L,10,7,0.7,0,0,0.0,6,4,0.667,18,11,0,5,1,4,3,33
4262,20161226,Sat 12/26,ORL,108-101,W,5,2,0.4,0,0,0.0,3,3,1.0,7,6,0,3,0,3,0,37
4262,20161225,Fri 12/25,NO,94-88,W,7,3,0.429,0,0,0.0,4,2,0.5,8,17,0,4,0,4,3,25
4262,20161222,Tue 12/22,DET,92-93,L,13,7,0.538,0,0,0.0,2,2,1.0,16,16,0,4,0,2,2,35
4262,20161220,Sun 12/20,POR,116-109,W,13,10,0.769,0,0,0.0,4,2,0.5,22,11,1,5,2,3,2,38
4262,20161218,Fri 12/18,TOR,94-108,L,6,4,0.667,0,0,0.0,0,0,0.0,8,13,0,5,0,2,0,31
4262,20161216,Wed 12/16,BKN,104-98,W,10,7,0.7,0,0,0.0,8,6,0.75,20,13,0,1,0,4,2,30
4262,20161214,Mon 12/14,ATL,100-88,W,11,4,0.364,0,0,0.0,2,0,0.0,8,13,0,3,0,4,2,26
4262,20161213,Sun 12/13,MEM,100-97,W,5,4,0.8,0,0,0.0,3,1,0.333,9,11,0,0,2,3,1,28
4262,20161211,Fri 12/11,IND,83-96,L,4,4,1.0,0,0,0.0,1,0,0.0,8,10,0,2,0,3,1,17
4262,20161209,Wed 12/9,CHA,81-99,L,5,3,0.6,0,0,0.0,0,0,0.0,6,8,1,3,0,2,6,23
4262,20161207,Mon 12/7,WSH,103-114,L,7,7,1.0,0,0,0.0,3,0,0.0,14,4,0,3,0,1,0,23
4262,20161205,Sat 12/5,CLE,99-84,W,3,2,0.667,0,0,0.0,7,3,0.429,7,9,0,5,1,2,0,21
4262,20161203,Thu 12/3,OKC,97-95,W,8,5,0.625,0,0,0.0,2,1,0.5,11,8,0,2,0,3,2,29
