ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6468,20130417,Wed 4/17,ATL,98-92,W,11,7,0.636,2,1,0.5,3,3,1.0,18,7,8,0,2,3,3,38
6468,20130415,Mon 4/15,&nbsp;CHA,95-106,L,16,5,0.313,6,1,0.167,3,3,1.0,14,2,5,0,1,3,3,42
6468,20130414,Sun 4/14,IND,90-80,W,8,3,0.375,4,2,0.5,2,2,1.0,10,5,2,0,0,4,0,25
6468,20130412,Fri 4/12,CLE,101-91,W,11,3,0.273,4,0,0.0,2,2,1.0,8,11,3,1,1,2,1,36
6468,20130411,Thu 4/11,CHI,111-118,L,3,3,1.0,1,1,1.0,0,0,0.0,7,1,0,0,1,6,0,26
6468,20130409,Tue 4/9,WSH,120-99,W,10,7,0.7,6,4,0.667,0,0,0.0,18,4,2,1,1,4,0,24
6468,20130407,Sun 4/7,OKC,125-120,W,2,0,0.0,2,0,0.0,0,0,0.0,0,2,1,0,1,2,0,11
6468,20130405,Fri 4/5,MIL,101-83,W,7,0,0.0,3,0,0.0,0,0,0.0,0,3,0,1,0,2,0,19
6468,20130403,Wed 4/3,ATL,95-82,W,6,2,0.333,2,0,0.0,0,0,0.0,4,6,1,0,0,3,0,23
6468,20130402,Tue 4/2,MIA,102-90,W,5,3,0.6,5,3,0.6,0,0,0.0,9,3,2,0,0,2,1,23
6468,20130331,Sun 3/31,BOS,108-89,W,3,3,1.0,2,2,1.0,2,2,1.0,10,4,2,0,1,5,1,27
6468,20130329,Fri 3/29,&nbsp;CHA,111-102,W,4,2,0.5,4,2,0.5,2,2,1.0,8,2,5,0,2,3,1,27
6468,20130327,Wed 3/27,MEM,108-101,W,10,6,0.6,6,4,0.667,0,0,0.0,16,3,1,0,2,4,1,21
6468,20130326,Tue 3/26,BOS,100-85,W,3,1,0.333,2,0,0.0,0,0,0.0,2,3,1,0,1,2,0,26
6468,20130323,Sat 3/23,TOR,110-84,W,6,3,0.5,4,2,0.5,0,0,0.0,8,3,2,1,4,2,1,21
6468,20130322,Fri 3/22,TOR,99-94,W,2,2,1.0,1,1,1.0,0,0,0.0,5,3,3,0,0,0,0,17
6468,20130320,Wed 3/20,ORL,106-94,W,4,2,0.5,2,1,0.5,2,2,1.0,7,0,3,0,0,0,0,14
