ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
6472,20140416,Wed 4/16,PHX,99-104,L,5,2,0.4,3,0,0.0,0,0,0.0,4,0,4,1,0,2,2,17
6472,20140413,Sun 4/13,MIN,106-103,W,13,6,0.462,5,1,0.2,2,1,0.5,14,3,4,0,0,3,2,30
6472,20140412,Sat 4/12,LAC,101-117,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140409,Wed 4/9,POR,99-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140408,Tue 4/8,OKC,92-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140406,Sun 4/6,DAL,91-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140404,Fri 4/4,GS,69-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140402,Wed 4/2,LAL,107-102,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140331,Mon 3/31,NO,102-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140329,Sat 3/29,DAL,100-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140328,Fri 3/28,OKC,81-94,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140326,Wed 3/26,NY,99-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
6472,20140323,Sun 3/23,MIL,124-107,W,13,9,0.692,4,3,0.75,11,9,0.818,30,3,8,0,0,3,1,37
6472,20140321,Fri 3/21,SA,79-99,L,17,7,0.412,3,0,0.0,7,4,0.571,18,3,4,0,1,4,4,37
6472,20140318,Tue 3/18,WSH,117-111,W,16,6,0.375,7,2,0.286,10,10,1.0,24,11,10,1,0,5,4,43
6472,20140316,Sun 3/16,MIN,102-104,L,21,11,0.524,10,4,0.4,2,1,0.5,27,6,7,0,1,3,2,33
6472,20140315,Sat 3/15,CHI,87-94,L,18,7,0.389,5,2,0.4,13,10,0.769,26,3,5,0,0,3,4,42
6472,20140312,Wed 3/12,PHI,115-98,W,10,4,0.4,4,1,0.25,12,11,0.917,20,5,6,0,4,3,4,37
6472,20140311,Tue 3/11,DET,89-99,L,15,6,0.4,4,0,0.0,9,7,0.778,19,4,8,0,1,1,5,39
6472,20140309,Sun 3/9,BKN,89-104,L,14,3,0.214,9,1,0.111,4,3,0.75,10,3,4,0,0,3,7,36
6472,20140307,Fri 3/7,TOR,87-99,L,13,5,0.385,6,1,0.167,4,3,0.75,14,2,5,0,1,0,1,35
6472,20140305,Wed 3/5,MIL,116-102,W,16,9,0.563,6,3,0.5,4,4,1.0,25,3,6,0,4,3,2,33
6472,20140303,Mon 3/3,NO,96-89,W,16,8,0.5,3,0,0.0,6,6,1.0,22,3,5,0,2,3,5,43
6472,20140301,Sat 3/1,MIN,97-108,L,18,10,0.556,5,0,0.0,2,2,1.0,22,2,8,0,0,5,2,34
6472,20140228,Fri 2/28,LAL,122-126,L,16,10,0.625,2,2,1.0,5,4,0.8,26,1,8,2,1,2,5,32
6472,20140225,Tue 2/25,HOU,103-129,L,14,4,0.286,6,2,0.333,3,2,0.667,12,3,5,0,3,1,3,34
6472,20140223,Sun 2/23,DEN,109-95,W,16,12,0.75,5,4,0.8,6,5,0.833,33,3,6,0,3,4,6,42
6472,20140222,Sat 2/22,BOS,105-98,W,12,6,0.5,1,0,0.0,10,9,0.9,21,4,12,1,0,2,4,37
6472,20140219,Wed 2/19,GS,92-101,L,17,9,0.529,6,2,0.333,7,6,0.857,26,4,7,0,1,2,7,42
6472,20140212,Wed 2/12,NY,106-101,W,17,6,0.353,4,1,0.25,8,7,0.875,20,1,7,0,2,2,1,41
6472,20140211,Tue 2/11,CLE,99-109,L,14,7,0.5,6,1,0.167,5,1,0.2,16,2,8,1,1,2,2,36
6472,20140209,Sun 2/9,WSH,84-93,L,24,11,0.458,1,0,0.0,8,8,1.0,30,3,8,0,3,2,4,43
