ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4305,20150415,Wed 4/15,MIA,101-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150413,Mon 4/13,MIL,97-107,L,7,2,0.286,1,0,0.0,0,0,0.0,4,0,9,0,3,2,5,34
4305,20150411,Sat 4/11,CHI,107-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150408,Wed 4/8,WSH,90-119,L,9,1,0.111,2,0,0.0,2,1,0.5,3,0,6,0,1,3,3,25
4305,20150405,Sun 4/5,NY,91-101,L,18,8,0.444,4,1,0.25,1,0,0.0,17,1,7,0,2,3,1,32
4305,20150404,Sat 4/4,CHA,91-92,L,20,6,0.3,5,1,0.2,4,2,0.5,15,9,5,1,0,2,3,33
4305,20150401,Wed 4/1,WSH,93-106,L,17,11,0.647,2,1,0.5,0,0,0.0,23,3,3,0,3,2,2,30
4305,20150330,Mon 3/30,LAL,111-113,L,20,8,0.4,3,1,0.333,0,0,0.0,17,5,3,0,1,2,0,32
4305,20150329,Sun 3/29,CLE,86-87,L,16,5,0.313,4,0,0.0,1,1,1.0,11,5,7,0,1,0,4,31
4305,20150327,Fri 3/27,LAC,98-119,L,14,8,0.571,2,2,1.0,1,0,0.0,18,2,9,0,2,3,3,32
4305,20150325,Wed 3/25,DEN,99-85,W,9,4,0.444,1,1,1.0,0,0,0.0,9,2,2,0,3,2,2,27
4305,20150324,Tue 3/24,SAC,106-107,L,14,5,0.357,2,1,0.5,2,2,1.0,13,8,7,0,1,2,7,30
4305,20150322,Sun 3/22,LAL,87-101,L,14,3,0.214,1,0,0.0,3,3,1.0,9,2,9,0,0,2,4,29
4305,20150320,Fri 3/20,NY,97-81,W,16,7,0.438,3,1,0.333,0,0,0.0,15,4,9,0,2,0,4,28
4305,20150318,Wed 3/18,DET,94-83,W,12,6,0.5,1,0,0.0,4,3,0.75,15,1,8,1,3,2,3,26
4305,20150316,Mon 3/16,BOS,89-108,L,13,7,0.538,2,1,0.5,2,1,0.5,16,2,4,1,1,1,4,27
4305,20150314,Sat 3/14,BKN,87-94,L,10,3,0.3,3,1,0.333,2,2,1.0,9,2,5,0,2,0,2,23
4305,20150313,Fri 3/13,SAC,114-107,W,11,3,0.273,2,0,0.0,6,4,0.667,10,5,9,0,1,2,3,25
4305,20150311,Wed 3/11,CHI,95-104,L,21,9,0.429,7,3,0.429,2,2,1.0,23,2,6,0,0,1,1,37
4305,20150307,Sat 3/7,ATL,92-84,W,13,4,0.308,3,1,0.333,1,0,0.0,9,2,6,0,1,1,1,22
4305,20150306,Fri 3/6,UTAH,83-89,L,13,6,0.462,1,0,0.0,2,2,1.0,14,1,7,1,1,0,1,23
4305,20150304,Wed 3/4,OKC,118-123,L,5,1,0.2,1,0,0.0,2,0,0.0,2,1,1,1,0,1,1,15
4305,20150302,Mon 3/2,TOR,103-114,L,13,8,0.615,2,1,0.5,3,2,0.667,19,5,9,0,0,1,2,27
4305,20150301,Sun 3/1,IND,74-94,L,13,5,0.385,1,1,1.0,0,0,0.0,11,4,5,0,0,1,2,25
4305,20150227,Fri 2/27,WSH,89-81,W,10,2,0.2,0,0,0.0,6,2,0.333,6,4,6,0,0,0,2,26
4305,20150225,Wed 2/25,MIL,88-104,L,7,3,0.429,1,0,0.0,0,0,0.0,6,0,3,0,1,2,5,15
4305,20150223,Mon 2/23,MIA,108-119,L,7,3,0.429,1,0,0.0,4,1,0.25,7,3,7,0,3,3,4,24
4305,20150222,Sun 2/22,ORL,98-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150219,Thu 2/19,DAL,104-89,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150211,Wed 2/11,MEM,105-89,W,1,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,2,3
4305,20150209,Mon 2/9,DEN,124-114,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150208,Sun 2/8,LAC,131-108,W,2,0,0.0,0,0,0.0,0,0,0.0,0,0,2,0,1,0,0,6
4305,20150206,Fri 2/6,NO,113-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150204,Wed 2/4,NO,102-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,3
4305,20150202,Mon 2/2,ORL,104-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150131,Sat 1/31,MEM,74-85,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150128,Wed 1/28,NY,92-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2
4305,20150126,Mon 1/26,MIN,92-84,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,1
4305,20150125,Sun 1/25,CLE,98-108,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
4305,20150123,Fri 1/23,ATL,93-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
