ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3055,20120426,Thu 4/26,DEN,102-131,L,13,7,0.538,6,3,0.5,4,3,0.75,20,1,5,0,0,1,4,31
3055,20120422,Sun 4/22,GS,88-93,L,18,5,0.278,9,2,0.222,2,2,1.0,14,2,12,0,1,1,3,48
3055,20120419,Thu 4/19,DET,91-80,W,12,5,0.417,4,1,0.25,2,2,1.0,13,6,12,0,1,2,3,39
3055,20120417,Tue 4/17,MEM,84-91,L,20,10,0.5,9,5,0.556,4,3,0.75,28,5,8,0,1,2,5,39
3055,20120416,Mon 4/16,IND,88-111,L,14,5,0.357,6,2,0.333,5,2,0.4,14,1,9,0,0,2,1,31
3055,20120414,Sat 4/14,OKC,110-115,L,16,9,0.563,5,3,0.6,4,3,0.75,24,3,10,0,3,4,3,39
3055,20120412,Thu 4/12,LAC,82-95,L,9,4,0.444,4,2,0.5,0,0,0.0,10,2,11,0,0,4,7,31
3055,20120411,Wed 4/11,DEN,107-113,L,13,5,0.385,2,1,0.5,2,1,0.5,12,6,15,0,1,2,4,36
3055,20120409,Mon 4/9,PHX,90-114,L,17,7,0.412,6,2,0.333,0,0,0.0,16,3,5,0,1,2,1,32
3055,20120407,Sat 4/7,&nbsp;NO,90-99,L,12,4,0.333,4,2,0.5,0,0,0.0,10,1,7,0,0,1,3,34
3055,20120404,Wed 4/4,GS,94-97,L,15,6,0.4,5,3,0.6,2,0,0.0,15,6,8,0,0,2,7,37
3055,20120402,Mon 4/2,SAC,108-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3055,20120401,Sun 4/1,POR,106-119,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3055,20120330,Fri 3/30,BOS,79-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3055,20120328,Wed 3/28,&nbsp;CHA,88-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3055,20120327,Tue 3/27,MEM,86-93,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3055,20120325,Sun 3/25,DEN,117-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3055,20120323,Fri 3/23,OKC,140-149,L,22,10,0.455,5,2,0.4,3,3,1.0,25,10,14,0,3,3,3,47
3055,20120321,Wed 3/21,SA,100-116,L,13,7,0.538,4,2,0.5,3,2,0.667,18,3,11,0,1,1,4,30
3055,20120319,Mon 3/19,GS,97-93,W,10,3,0.3,2,0,0.0,0,0,0.0,6,3,10,0,1,0,2,27
3055,20120318,Sun 3/18,SAC,99-115,L,7,3,0.429,2,0,0.0,0,0,0.0,6,1,4,0,0,1,2,14
3055,20120316,Fri 3/16,LAL,92-97,L,10,4,0.4,3,0,0.0,0,0,0.0,8,5,2,0,0,4,2,18
3055,20120315,Thu 3/15,UTAH,105-111,L,8,4,0.5,3,2,0.667,2,1,0.5,11,0,4,0,0,1,5,18
3055,20120312,Mon 3/12,PHX,127-124,W,3,1,0.333,1,0,0.0,4,1,0.25,3,3,8,0,0,0,0,15
3055,20120310,Sat 3/10,&nbsp;NO,89-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3055,20120309,Fri 3/9,LAL,102-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3055,20120307,Wed 3/7,POR,106-94,W,5,1,0.2,1,0,0.0,2,2,1.0,4,3,7,0,0,0,2,24
3055,20120305,Mon 3/5,LAC,95-94,W,7,0,0.0,1,0,0.0,0,0,0.0,0,2,5,0,0,2,2,20
