ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2444,20130417,Wed 4/17,ATL,98-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2444,20130415,Mon 4/15,&nbsp;CHA,95-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2444,20130414,Sun 4/14,IND,90-80,W,16,7,0.438,3,1,0.333,1,0,0.0,15,8,2,1,2,4,2,30
2444,20130412,Fri 4/12,CLE,101-91,W,16,13,0.813,3,2,0.667,5,3,0.6,31,5,1,1,2,2,0,29
2444,20130411,Thu 4/11,CHI,111-118,L,27,11,0.407,4,2,0.5,7,4,0.571,28,14,4,0,0,3,0,42
2444,20130409,Tue 4/9,WSH,120-99,W,14,7,0.5,3,1,0.333,3,2,0.667,17,2,3,0,0,1,4,32
2444,20130407,Sun 4/7,OKC,125-120,W,18,7,0.389,9,2,0.222,8,6,0.75,22,7,4,0,0,3,3,35
2444,20130405,Fri 4/5,MIL,101-83,W,22,11,0.5,11,5,0.455,4,3,0.75,30,10,3,0,2,0,0,34
2444,20130403,Wed 4/3,ATL,95-82,W,15,8,0.533,4,1,0.25,4,2,0.5,19,1,1,0,1,3,5,31
2444,20130402,Tue 4/2,MIA,102-90,W,15,5,0.333,3,2,0.667,4,2,0.5,14,6,1,0,1,4,2,30
2444,20130331,Sun 3/31,BOS,108-89,W,12,4,0.333,1,0,0.0,10,7,0.7,15,12,4,0,2,1,1,33
2444,20130329,Fri 3/29,&nbsp;CHA,111-102,W,18,12,0.667,2,2,1.0,12,11,0.917,37,2,1,1,1,5,4,37
2444,20130327,Wed 3/27,MEM,108-101,W,18,10,0.556,7,3,0.429,13,12,0.923,35,7,2,1,0,2,4,42
2444,20130326,Tue 3/26,BOS,100-85,W,24,13,0.542,3,1,0.333,5,5,1.0,32,7,1,0,3,3,0,34
2444,20130323,Sat 3/23,TOR,110-84,W,16,9,0.563,3,0,0.0,8,7,0.875,25,5,3,0,2,1,3,31
2444,20130322,Fri 3/22,TOR,99-94,W,10,5,0.5,3,1,0.333,7,3,0.429,14,5,3,0,1,3,1,38
2444,20130320,Wed 3/20,ORL,106-94,W,16,8,0.5,6,2,0.333,5,4,0.8,22,7,2,1,0,0,0,38
2444,20130318,Mon 3/18,UTAH,90-83,W,13,5,0.385,4,1,0.25,10,9,0.9,20,5,1,0,1,3,4,31
2444,20130317,Sun 3/17,LAC,80-93,L,20,4,0.2,7,1,0.143,9,8,0.889,17,6,1,0,1,2,3,36
2444,20130314,Thu 3/14,POR,90-105,L,21,11,0.524,8,4,0.5,10,7,0.7,33,3,2,0,0,3,4,35
2444,20130313,Wed 3/13,DEN,94-117,L,12,5,0.417,5,3,0.6,3,2,0.667,15,5,8,0,1,3,1,32
2444,20130311,Mon 3/11,GS,63-92,L,11,3,0.273,3,0,0.0,4,3,0.75,9,0,1,0,0,2,2,21
2444,20130309,Sat 3/9,UTAH,113-84,W,18,10,0.556,8,4,0.5,2,0,0.0,24,6,3,0,0,2,3,28
2444,20130307,Thu 3/7,OKC,94-95,L,29,14,0.483,13,6,0.462,2,2,1.0,36,3,3,0,3,3,2,36
2444,20130306,Wed 3/6,DET,87-77,W,22,7,0.318,11,4,0.364,2,2,1.0,20,4,5,0,4,2,3,40
2444,20130304,Mon 3/4,CLE,102-97,W,17,6,0.353,7,1,0.143,6,5,0.833,18,7,7,0,1,2,1,38
2444,20130303,Sun 3/3,MIA,93-99,L,18,5,0.278,14,3,0.214,0,0,0.0,13,12,2,0,3,4,3,36
2444,20130301,Fri 3/1,WSH,96-88,W,13,5,0.385,8,3,0.375,0,0,0.0,13,12,2,0,3,6,1,33
2444,20130227,Wed 2/27,GS,109-105,W,19,10,0.526,11,6,0.545,0,0,0.0,26,5,1,0,0,5,1,35
2444,20130224,Sun 2/24,PHI,99-93,W,12,5,0.417,6,3,0.5,2,1,0.5,14,6,2,0,1,2,1,36
2444,20130222,Fri 2/22,TOR,98-100,L,12,7,0.583,6,3,0.5,2,2,1.0,19,4,4,0,1,3,2,33
2444,20130220,Wed 2/20,IND,91-125,L,7,1,0.143,1,0,0.0,6,3,0.5,5,1,1,0,1,1,3,19
2444,20130213,Wed 2/13,TOR,88-92,L,17,8,0.471,10,5,0.5,8,5,0.625,26,4,1,0,0,4,1,34
2444,20130210,Sun 2/10,LAC,88-102,L,9,1,0.111,5,1,0.2,4,3,0.75,6,3,3,0,1,4,2,34
2444,20130208,Fri 2/8,MIN,100-94,W,14,6,0.429,5,2,0.4,1,1,1.0,15,8,4,1,1,3,0,35
2444,20130206,Wed 2/6,WSH,96-106,L,14,6,0.429,4,0,0.0,2,1,0.5,13,2,2,0,0,3,0,35
2444,20130204,Mon 2/4,DET,99-85,W,15,5,0.333,13,5,0.385,2,1,0.5,16,4,2,0,1,1,1,30
2444,20130202,Sat 2/2,SAC,120-81,W,16,9,0.563,14,7,0.5,0,0,0.0,25,6,4,0,2,2,0,22
2444,20130201,Fri 2/1,MIL,96-86,W,14,6,0.429,13,5,0.385,0,0,0.0,17,5,0,0,1,3,0,36
2444,20130130,Wed 1/30,ORL,113-97,W,8,4,0.5,2,2,1.0,2,1,0.5,11,5,4,1,0,3,1,35
2444,20130127,Sun 1/27,ATL,106-104,W,15,7,0.467,5,1,0.2,4,3,0.75,18,3,2,0,2,1,1,37
2444,20130126,Sat 1/26,PHI,80-97,L,8,0,0.0,4,0,0.0,0,0,0.0,0,6,3,1,0,4,4,27
2444,20130124,Thu 1/24,BOS,89-86,W,16,3,0.188,6,1,0.167,3,2,0.667,9,6,0,1,1,2,2,35
2444,20130121,Mon 1/21,BKN,85-88,L,19,7,0.368,7,2,0.286,0,0,0.0,16,4,1,0,3,1,0,38
2444,20130117,Thu 1/17,DET,102-87,W,15,6,0.4,6,1,0.167,4,3,0.75,16,6,4,0,3,1,4,38
2444,20130113,Sun 1/13,&nbsp;NO,100-87,W,11,3,0.273,3,0,0.0,3,2,0.667,8,4,6,0,2,3,2,27
2444,20130111,Fri 1/11,CHI,101-108,L,17,4,0.235,3,1,0.333,4,4,1.0,13,3,1,1,0,6,1,39
2444,20130110,Thu 1/10,IND,76-81,L,29,10,0.345,4,1,0.25,5,4,0.8,25,3,6,0,1,2,2,40
2444,20130107,Mon 1/7,BOS,96-102,L,18,7,0.389,9,4,0.444,7,6,0.857,24,3,4,1,2,3,1,39
2444,20130105,Sat 1/5,ORL,114-106,W,18,8,0.444,4,0,0.0,3,2,0.667,18,6,2,0,2,5,0,31
2444,20130103,Thu 1/3,SA,100-83,W,17,9,0.529,6,1,0.167,3,1,0.333,20,5,3,1,1,3,0,27
2444,20130101,Tue 1/1,POR,100-105,L,22,10,0.455,12,4,0.333,6,4,0.667,28,11,5,0,3,2,2,40
2444,20131228,Fri 12/28,SAC,105-106,L,25,11,0.44,3,1,0.333,5,5,1.0,28,7,5,0,0,2,4,43
2444,20131226,Wed 12/26,PHX,99-97,W,27,11,0.407,4,0,0.0,6,5,0.833,27,6,5,1,5,3,4,37
2444,20131225,Tue 12/25,LAL,94-100,L,23,10,0.435,8,3,0.375,4,2,0.5,25,5,0,0,2,4,1,37
2444,20131223,Sun 12/23,MIN,94-91,W,15,7,0.467,6,2,0.333,4,3,0.75,19,5,7,0,3,3,3,39
