ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2327577,20150415,Wed 4/15,IND,95-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,0,1
2327577,20150413,Mon 4/13,GS,107-111,L,5,4,0.8,1,0,0.0,2,2,1.0,10,8,0,1,2,5,3,24
2327577,20150411,Sat 4/11,LAC,86-94,L,3,2,0.667,0,0,0.0,0,0,0.0,4,2,1,1,2,2,0,17
2327577,20150410,Fri 4/10,UTAH,89-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150408,Wed 4/8,NO,110-74,W,2,1,0.5,1,0,0.0,0,0,0.0,2,2,0,0,1,0,0,5
2327577,20150404,Sat 4/4,WSH,83-92,L,4,2,0.5,0,0,0.0,0,0,0.0,4,3,1,0,0,1,1,8
2327577,20150403,Fri 4/3,OKC,100-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150330,Mon 3/30,SAC,97-83,W,2,1,0.5,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,4
2327577,20150329,Sun 3/29,SA,89-103,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2327577,20150327,Fri 3/27,GS,84-107,L,0,0,0.0,0,0,0.0,0,0,0.0,0,1,1,0,0,0,1,3
2327577,20150325,Wed 3/25,CLE,89-111,L,2,1,0.5,0,0,0.0,2,2,1.0,4,1,0,0,0,0,0,6
2327577,20150323,Mon 3/23,NY,103-82,W,1,0,0.0,0,0,0.0,0,0,0.0,0,4,0,0,0,2,0,6
2327577,20150321,Sat 3/21,POR,97-86,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150320,Fri 3/20,DAL,112-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2327577,20150317,Tue 3/17,DET,95-105,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150316,Mon 3/16,DEN,92-81,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150314,Sat 3/14,MIL,96-83,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,2
2327577,20150312,Thu 3/12,WSH,87-107,L,11,6,0.545,1,0,0.0,2,1,0.5,13,6,1,1,0,4,3,33
2327577,20150311,Wed 3/11,BOS,92-95,L,3,2,0.667,0,0,0.0,0,0,0.0,4,4,0,0,0,0,1,5
2327577,20150309,Mon 3/9,CHI,101-91,W,0,0,0.0,0,0,0.0,2,1,0.5,1,1,0,0,0,0,0,2
2327577,20150307,Sat 3/7,NO,89-95,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150306,Fri 3/6,LAL,97-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150304,Wed 3/4,HOU,102-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150303,Tue 3/3,UTAH,82-93,L,2,1,0.5,0,0,0.0,0,0,0.0,2,1,0,0,0,1,0,6
2327577,20150228,Sat 2/28,MIN,101-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150227,Fri 2/27,LAC,79-97,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,2
2327577,20150225,Wed 2/25,SAC,90-102,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2327577,20150223,Mon 2/23,LAC,90-87,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150222,Sun 2/22,POR,98-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150211,Wed 2/11,OKC,89-105,L,2,0,0.0,1,0,0.0,0,0,0.0,0,3,0,0,0,1,2,4
2327577,20150210,Tue 2/10,BKN,95-86,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150208,Sun 2/8,ATL,94-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150206,Fri 2/6,MIN,89-90,L,3,3,1.0,0,0,0.0,2,2,1.0,8,2,0,0,0,2,1,9
2327577,20150204,Wed 2/4,UTAH,100-90,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150202,Mon 2/2,PHX,102-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150125,Sun 1/25,MIL,101-95,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
2327577,20150123,Fri 1/23,LAL,99-85,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,1,1,3
2327577,20150122,Thu 1/22,CHI,81-104,L,7,4,0.571,2,0,0.0,0,0,0.0,8,3,0,2,0,4,0,15
2327577,20150120,Tue 1/20,DEN,109-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,1,0,1
2327577,20150118,Sun 1/18,UTAH,89-69,W,0,0,0.0,0,0,0.0,0,0,0.0,0,1,0,0,0,0,1,6
2327577,20151024,Fri 10/24,HOU,87-96,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,1
2327577,20151022,Wed 10/22,ATL,107-117,L,1,1,1.0,0,0,0.0,0,0,0.0,2,1,0,0,0,1,0,4
2327577,20151020,Mon 10/20,SAC,106-99,W,5,4,0.8,0,0,0.0,5,4,0.8,12,4,0,1,2,1,1,13
2327577,20151018,Sat 10/18,MIA,108-111,L,3,3,1.0,0,0,0.0,5,5,1.0,11,5,1,1,0,1,2,13
2327577,20151016,Thu 10/16,PHX,90-121,L,3,1,0.333,0,0,0.0,4,1,0.25,3,4,1,0,1,1,0,12
2327577,20151011,Sat 10/11,&nbsp;FUL,96-90,W,3,2,0.667,0,0,0.0,0,0,0.0,4,2,0,0,0,1,0,8
