ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3452,20120426,Thu 4/26,MIN,131-102,W,12,9,0.75,0,0,0.0,1,1,1.0,19,5,0,1,0,4,1,18
3452,20120425,Wed 4/25,OKC,106-101,W,9,5,0.556,0,0,0.0,1,0,0.0,10,6,0,1,2,0,1,18
3452,20120422,Sun 4/22,ORL,101-74,W,11,8,0.727,0,0,0.0,3,1,0.333,17,8,0,3,0,1,2,24
3452,20120421,Sat 4/21,PHX,118-107,W,10,5,0.5,0,0,0.0,2,1,0.5,11,3,0,0,1,2,0,19
3452,20120418,Wed 4/18,LAC,98-104,L,4,3,0.75,0,0,0.0,0,0,0.0,6,1,0,0,0,2,0,15
3452,20120416,Mon 4/16,HOU,105-102,W,5,4,0.8,0,0,0.0,4,1,0.25,9,3,0,0,0,1,0,17
3452,20120415,Sun 4/15,HOU,101-86,W,3,3,1.0,0,0,0.0,4,1,0.25,7,6,0,1,0,2,0,18
3452,20120413,Fri 4/13,LAL,97-103,L,9,7,0.778,0,0,0.0,0,0,0.0,14,10,0,0,1,5,1,28
3452,20120411,Wed 4/11,MIN,113-107,W,4,3,0.75,0,0,0.0,4,2,0.5,8,4,1,3,0,3,1,17
3452,20120409,Mon 4/9,GS,123-84,W,10,5,0.5,0,0,0.0,8,3,0.375,13,8,0,4,0,1,1,23
3452,20120407,Sat 4/7,GS,97-112,L,7,3,0.429,0,0,0.0,0,0,0.0,6,6,2,4,1,0,0,23
3452,20120406,Fri 4/6,PHX,105-99,W,7,3,0.429,0,0,0.0,5,1,0.2,7,2,0,1,1,4,0,20
3452,20120404,Wed 4/4,&nbsp;NO,92-94,L,8,4,0.5,0,0,0.0,0,0,0.0,8,4,0,0,2,3,1,15
3452,20120401,Sun 4/1,ORL,104-101,W,3,1,0.333,0,0,0.0,2,0,0.0,2,7,0,0,0,2,5,11
3452,20120330,Fri 3/30,&nbsp;CHA,99-88,W,9,4,0.444,0,0,0.0,3,3,1.0,11,3,0,2,0,2,4,22
3452,20120328,Wed 3/28,TOR,96-105,L,4,3,0.75,0,0,0.0,3,2,0.667,8,7,1,2,1,4,0,23
3452,20120326,Mon 3/26,CHI,108-91,W,11,5,0.455,0,0,0.0,2,0,0.0,10,8,0,2,0,0,0,24
3452,20120325,Sun 3/25,MIN,100-117,L,8,6,0.75,0,0,0.0,2,1,0.5,13,11,1,2,0,3,1,25
3452,20120323,Fri 3/23,UTAH,102-121,L,7,5,0.714,0,0,0.0,4,1,0.25,11,6,1,2,0,4,0,28
3452,20120321,Wed 3/21,DET,116-115,W,11,7,0.636,0,0,0.0,3,1,0.333,15,7,0,3,1,5,1,24
3452,20120319,Mon 3/19,DAL,95-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3452,20120317,Sat 3/17,BOS,98-91,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
3452,20120313,Tue 3/13,DAL,98-107,L,9,4,0.444,0,0,0.0,5,4,0.8,12,5,1,3,0,0,1,30
