ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
165,20150414,Tue 4/14,PHX,112-101,W,12,4,0.333,7,2,0.286,0,0,0.0,10,3,4,0,3,1,2,29
165,20150413,Mon 4/13,DEN,110-103,W,6,1,0.167,3,0,0.0,1,1,1.0,3,1,1,0,1,1,2,23
165,20150411,Sat 4/11,MEM,94-86,W,11,3,0.273,5,2,0.4,3,3,1.0,11,0,2,1,0,3,0,20
165,20150407,Tue 4/7,LAL,105-100,W,7,2,0.286,4,0,0.0,1,0,0.0,4,0,1,0,0,3,0,19
165,20150405,Sun 4/5,LAL,106-78,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150404,Sat 4/4,DEN,107-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150401,Wed 4/1,POR,126-122,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150331,Tue 3/31,GS,106-110,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150329,Sun 3/29,BOS,119-106,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150327,Fri 3/27,PHI,119-98,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150325,Wed 3/25,NY,111-80,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150322,Sun 3/22,NO,107-100,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150320,Fri 3/20,WSH,113-99,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150318,Wed 3/18,SAC,116-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150317,Tue 3/17,CHA,99-92,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150315,Sun 3/15,HOU,98-100,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150313,Fri 3/13,DAL,99-129,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150311,Wed 3/11,OKC,120-108,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150309,Mon 3/9,MIN,89-76,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150308,Sun 3/8,GS,98-106,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150304,Wed 3/4,POR,93-98,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
165,20150302,Mon 3/2,MIN,110-105,W,9,4,0.444,3,1,0.333,0,0,0.0,9,2,0,0,0,2,0,11
165,20150301,Sun 3/1,CHI,96-86,W,18,6,0.333,6,1,0.167,4,3,0.75,16,0,0,1,1,2,1,34
165,20150227,Fri 2/27,MEM,97-79,W,16,8,0.5,5,2,0.4,1,1,1.0,19,5,1,2,0,0,0,29
165,20150225,Wed 2/25,HOU,105-110,L,17,10,0.588,7,3,0.429,1,1,1.0,24,2,0,0,0,0,2,33
165,20150223,Mon 2/23,MEM,87-90,L,15,4,0.267,8,3,0.375,4,4,1.0,15,3,2,0,1,1,2,27
165,20150221,Sat 2/21,SAC,126-99,W,18,10,0.556,7,1,0.143,2,2,1.0,23,1,6,0,1,3,1,21
165,20150219,Thu 2/19,SA,119-115,W,15,8,0.533,7,5,0.714,6,5,0.833,26,0,5,1,2,0,2,31
165,20150211,Wed 2/11,HOU,110-95,W,15,6,0.4,4,1,0.25,8,7,0.875,20,3,3,0,2,2,1,32
165,20150209,Mon 2/9,DAL,115-98,W,24,9,0.375,5,0,0.0,4,4,1.0,22,2,1,0,1,1,1,35
165,20150208,Sun 2/8,OKC,108-131,L,20,8,0.4,7,3,0.429,3,2,0.667,21,3,4,0,0,3,1,34
165,20150206,Fri 2/6,TOR,107-123,L,13,4,0.308,7,2,0.286,11,10,0.909,20,0,0,2,1,0,1,35
165,20150205,Thu 2/5,CLE,94-105,L,14,6,0.429,6,1,0.167,0,0,0.0,13,0,1,0,1,2,3,30
165,20150202,Mon 2/2,BKN,100-102,L,22,7,0.318,7,2,0.286,3,2,0.667,18,5,4,0,0,3,2,37
165,20150131,Sat 1/31,SA,105-85,W,10,2,0.2,2,0,0.0,4,4,1.0,8,2,0,2,3,1,2,21
165,20150130,Fri 1/30,NO,103-108,L,16,6,0.375,6,1,0.167,3,2,0.667,15,1,0,0,0,3,0,28
165,20150128,Wed 1/28,UTAH,94-89,W,14,5,0.357,7,4,0.571,7,7,1.0,21,3,0,0,2,2,1,40
165,20150126,Mon 1/26,DEN,102-98,W,14,6,0.429,7,3,0.429,9,8,0.889,23,4,3,0,2,2,2,30
165,20150125,Sun 1/25,PHX,120-100,W,12,3,0.25,5,1,0.2,4,3,0.75,10,3,2,0,0,1,0,24
165,20150122,Thu 1/22,BKN,123-84,W,10,4,0.4,5,2,0.4,7,7,1.0,17,2,2,0,1,0,1,18
165,20150119,Mon 1/19,BOS,102-93,W,13,5,0.385,6,2,0.333,4,4,1.0,16,3,2,0,0,2,2,23
165,20150117,Sat 1/17,SAC,117-108,W,15,5,0.333,7,1,0.143,2,2,1.0,13,3,5,0,0,1,1,29
165,20150116,Fri 1/16,CLE,121-126,L,12,3,0.25,4,1,0.25,7,6,0.857,13,0,6,0,1,2,1,24
165,20150114,Wed 1/14,POR,100-94,W,22,10,0.455,11,4,0.364,1,1,1.0,25,3,1,0,1,2,0,31
165,20150111,Sun 1/11,MIA,90-104,L,9,1,0.111,2,0,0.0,3,2,0.667,4,2,1,0,1,1,4,22
165,20150110,Sat 1/10,DAL,120-100,W,10,6,0.6,6,3,0.5,4,4,1.0,19,3,4,0,2,2,4,22
165,20150107,Wed 1/7,LAL,114-89,W,6,1,0.167,3,0,0.0,2,2,1.0,4,3,3,1,0,1,1,18
165,20150105,Mon 1/5,ATL,98-107,L,9,3,0.333,5,2,0.4,2,2,1.0,10,0,1,1,0,2,2,25
165,20150103,Sat 1/3,PHI,127-91,W,9,3,0.333,5,1,0.2,5,5,1.0,12,4,3,0,0,2,1,22
165,20151231,Wed 12/31,NY,99-78,W,10,4,0.4,7,2,0.286,3,3,1.0,13,0,3,0,1,1,2,21
165,20151229,Mon 12/29,UTAH,101-97,W,14,6,0.429,4,2,0.5,4,3,0.75,17,1,1,0,0,0,1,24
165,20151227,Sat 12/27,TOR,98-110,L,14,6,0.429,8,3,0.375,5,5,1.0,20,1,5,0,0,2,2,28
165,20151225,Thu 12/25,GS,100-86,W,18,8,0.444,10,4,0.4,5,4,0.8,24,7,2,0,0,1,2,28
165,20151223,Tue 12/23,ATL,104-107,L,19,5,0.263,7,3,0.429,5,5,1.0,18,7,3,0,1,1,0,30
