ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3992,20150415,Wed 4/15,UTAH,117-91,W,8,3,0.375,5,2,0.4,8,8,1.0,16,11,10,1,1,2,6,27
3992,20150413,Mon 4/13,CHA,100-90,W,20,7,0.35,8,1,0.125,16,14,0.875,29,6,6,2,1,1,2,37
3992,20150412,Sun 4/12,NO,121-114,W,18,10,0.556,6,1,0.167,9,9,1.0,30,1,7,1,1,2,4,38
3992,20150410,Fri 4/10,SA,103-104,L,19,5,0.263,5,2,0.4,6,4,0.667,16,2,10,0,3,2,4,38
3992,20150408,Wed 4/8,SA,98-110,L,15,6,0.4,6,2,0.333,8,8,1.0,22,4,4,0,1,1,1,35
3992,20150405,Sun 4/5,OKC,115-112,W,22,12,0.545,9,6,0.667,13,11,0.846,41,6,6,0,3,6,3,38
3992,20150402,Thu 4/2,DAL,108-101,W,15,6,0.4,8,2,0.25,12,10,0.833,24,4,6,0,1,2,5,39
3992,20150401,Wed 4/1,SAC,115-111,W,25,16,0.64,9,8,0.889,13,11,0.846,51,8,6,0,3,1,7,38
3992,20150330,Mon 3/30,TOR,96-99,L,22,9,0.409,8,3,0.375,12,10,0.833,31,5,5,0,1,3,3,38
3992,20150329,Sun 3/29,WSH,99-91,W,20,7,0.35,6,1,0.167,10,9,0.9,24,3,6,1,2,3,3,38
3992,20150327,Fri 3/27,MIN,120-110,W,19,9,0.474,12,6,0.5,10,9,0.9,33,4,8,0,5,4,3,37
3992,20150325,Wed 3/25,NO,95-93,W,20,9,0.45,4,1,0.25,9,6,0.667,25,6,10,1,1,3,2,37
3992,20150323,Mon 3/23,IND,110-100,W,21,10,0.476,8,3,0.375,22,21,0.955,44,4,7,2,2,4,4,43
3992,20150321,Sat 3/21,PHX,102-117,L,19,5,0.263,8,1,0.125,5,5,1.0,16,2,5,2,0,3,5,33
3992,20150319,Thu 3/19,DEN,118-108,W,27,12,0.444,12,4,0.333,25,22,0.88,50,10,4,0,1,2,4,40
3992,20150317,Tue 3/17,ORL,107-94,W,14,4,0.286,4,1,0.25,11,8,0.727,17,8,4,0,3,1,4,35
3992,20150315,Sun 3/15,LAC,100-98,W,16,7,0.438,5,3,0.6,18,17,0.944,34,7,7,0,0,3,3,41
3992,20150312,Thu 3/12,UTAH,91-109,L,13,3,0.231,5,0,0.0,13,9,0.692,15,4,7,0,3,1,3,34
3992,20150311,Wed 3/11,POR,100-105,L,19,7,0.368,3,0,0.0,5,4,0.8,18,2,6,0,3,3,4,38
3992,20150307,Sat 3/7,DEN,114-100,W,19,8,0.421,4,2,0.5,11,10,0.909,28,4,7,0,2,5,4,36
3992,20150306,Fri 3/6,DET,103-93,W,21,10,0.476,6,2,0.333,18,16,0.889,38,12,12,0,1,1,7,38
3992,20150304,Wed 3/4,MEM,100-102,L,16,7,0.438,7,2,0.286,2,2,1.0,18,4,13,2,1,1,3,41
3992,20150303,Tue 3/3,ATL,96-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
