ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3201,20160413,Wed 4/13,ATL,109-98,W,8,5,0.625,4,1,0.25,4,3,0.75,14,6,3,0,2,3,1,33
3201,20160411,Mon 4/11,BKN,120-111,W,6,4,0.667,1,0,0.0,0,0,0.0,8,6,5,0,1,2,0,22
3201,20160410,Sun 4/10,CHA,113-98,W,7,4,0.571,1,1,1.0,2,2,1.0,11,7,3,2,4,2,2,29
3201,20160408,Fri 4/8,DET,99-112,L,4,3,0.75,1,1,1.0,0,0,0.0,7,2,2,0,0,4,0,12
3201,20160406,Wed 4/6,BKN,121-103,W,4,1,0.25,2,0,0.0,0,0,0.0,2,2,2,0,0,1,2,15
3201,20160403,Sun 4/3,LAC,109-114,L,3,1,0.333,0,0,0.0,0,0,0.0,2,3,2,1,2,2,1,12
3201,20160401,Fri 4/1,PHX,106-99,W,2,1,0.5,1,1,1.0,0,0,0.0,3,0,1,0,1,4,0,14
3201,20160330,Wed 3/30,SAC,111-120,L,3,0,0.0,2,0,0.0,2,2,1.0,2,3,2,0,0,2,1,16
3201,20160329,Tue 3/29,GS,94-102,L,4,2,0.5,1,0,0.0,1,1,1.0,5,2,1,0,1,1,1,18
3201,20160327,Sun 3/27,LAL,101-88,W,1,0,0.0,0,0,0.0,0,0,0.0,0,1,2,0,0,2,0,11
3201,20160325,Fri 3/25,MIN,129-132,L,8,4,0.5,5,2,0.4,0,0,0.0,10,3,6,0,0,2,0,31
3201,20160323,Wed 3/23,ATL,101-122,L,6,3,0.5,3,1,0.333,0,0,0.0,7,3,2,0,0,1,2,22
3201,20160321,Mon 3/21,ATL,117-102,W,4,2,0.5,1,0,0.0,2,1,0.5,5,4,2,0,0,1,0,21
3201,20160319,Sat 3/19,NY,99-89,W,3,0,0.0,2,0,0.0,0,0,0.0,0,2,1,0,0,1,0,12
3201,20160317,Thu 3/17,PHI,99-94,W,3,1,0.333,2,0,0.0,0,0,0.0,2,3,1,0,0,4,0,16
3201,20160316,Wed 3/16,CHI,117-96,W,3,1,0.333,2,0,0.0,0,0,0.0,2,2,0,0,0,1,1,16
3201,20160314,Mon 3/14,DET,124-81,W,3,1,0.333,1,0,0.0,0,0,0.0,2,0,1,0,0,2,0,24
3201,20160312,Sat 3/12,DEN,100-116,L,4,2,0.5,1,0,0.0,2,1,0.5,5,3,2,0,1,3,0,18
3201,20160311,Fri 3/11,UTAH,93-114,L,3,1,0.333,2,0,0.0,2,0,0.0,2,2,0,0,3,2,2,20
3201,20160308,Tue 3/8,POR,109-116,L,10,6,0.6,4,1,0.25,4,3,0.75,16,5,1,0,2,5,1,39
3201,20160305,Sat 3/5,IND,99-100,L,3,1,0.333,0,0,0.0,0,0,0.0,2,3,0,0,1,2,1,16
3201,20160304,Fri 3/4,CLE,83-108,L,1,0,0.0,1,0,0.0,0,0,0.0,0,2,0,0,0,1,1,15
3201,20160302,Wed 3/2,MIN,104-98,W,4,2,0.5,3,1,0.333,0,0,0.0,5,3,2,1,0,3,0,22
3201,20160229,Mon 2/29,PHI,116-108,W,2,1,0.5,2,1,0.5,2,1,0.5,4,4,1,0,0,4,2,12
3201,20160228,Sun 2/28,CLE,113-99,W,6,3,0.5,4,2,0.5,0,0,0.0,8,4,2,0,0,2,0,22
3201,20160226,Fri 2/26,PHI,103-94,W,10,5,0.5,6,4,0.667,0,0,0.0,14,3,3,1,1,2,1,30
3201,20160224,Wed 2/24,CHI,104-109,L,7,2,0.286,5,1,0.2,0,0,0.0,5,4,2,0,2,4,3,20
3201,20160223,Tue 2/23,NO,109-89,W,11,6,0.545,10,6,0.6,0,0,0.0,18,4,5,0,1,3,2,27
3201,20160220,Sat 2/20,MIA,94-114,L,12,7,0.583,4,1,0.25,1,1,1.0,16,5,2,0,0,2,1,26
3201,20160219,Fri 2/19,DET,98-86,W,7,3,0.429,3,0,0.0,6,4,0.667,10,6,4,2,1,4,1,26
3201,20160218,Thu 2/18,UTAH,103-89,W,6,1,0.167,3,1,0.333,2,1,0.5,4,2,5,2,0,2,1,36
3201,20160211,Thu 2/11,MIL,92-99,L,8,3,0.375,3,0,0.0,0,0,0.0,6,7,3,2,0,5,1,39
3201,20160209,Tue 2/9,NY,111-108,W,8,5,0.625,5,4,0.8,0,0,0.0,14,3,2,0,2,2,2,31
3201,20160206,Sat 2/6,CHA,104-108,L,8,4,0.5,4,2,0.5,0,0,0.0,10,0,1,1,2,0,2,26
3201,20160205,Fri 2/5,PHI,106-94,W,7,5,0.714,3,2,0.667,2,1,0.5,13,4,4,1,1,0,3,34
3201,20160203,Wed 2/3,GS,121-134,L,4,1,0.25,2,1,0.5,2,2,1.0,5,3,4,0,1,3,0,18
3201,20160201,Mon 2/1,OKC,98-114,L,6,2,0.333,3,1,0.333,3,3,1.0,8,4,6,0,1,1,1,31
3201,20160130,Sat 1/30,HOU,123-122,W,8,5,0.625,5,2,0.4,5,4,0.8,16,5,4,0,1,4,1,37
3201,20160128,Thu 1/28,DEN,113-117,L,8,4,0.5,3,1,0.333,4,3,0.75,12,4,4,0,4,5,2,26
3201,20160126,Tue 1/26,TOR,89-106,L,6,2,0.333,0,0,0.0,0,0,0.0,4,4,0,0,0,1,2,20
3201,20160125,Mon 1/25,BOS,91-116,L,7,5,0.714,3,2,0.667,4,3,0.75,15,2,1,0,1,1,3,31
3201,20160120,Wed 1/20,MIA,106-87,W,9,5,0.556,1,0,0.0,0,0,0.0,10,1,4,0,2,2,0,26
3201,20160118,Mon 1/18,POR,98-108,L,8,4,0.5,4,2,0.5,2,0,0.0,10,1,4,0,1,3,0,37
3201,20160116,Sat 1/16,BOS,117-119,L,12,6,0.5,6,2,0.333,2,1,0.5,15,7,4,0,1,6,3,41
3201,20160115,Fri 1/15,IND,118-104,W,3,1,0.333,2,1,0.5,0,0,0.0,3,7,1,0,0,2,0,30
3201,20160113,Wed 1/13,MIL,106-101,W,10,5,0.5,6,3,0.5,0,0,0.0,13,6,0,0,3,4,0,32
3201,20160111,Mon 1/11,CHI,114-100,W,5,3,0.6,3,2,0.667,0,0,0.0,8,2,4,0,0,4,2,30
3201,20160109,Sat 1/9,ORL,105-99,W,11,6,0.545,6,4,0.667,0,0,0.0,16,3,4,0,0,5,0,38
3201,20160108,Fri 1/8,TOR,88-97,L,4,1,0.25,3,1,0.333,2,2,1.0,5,4,4,0,2,2,2,29
3201,20160106,Wed 1/6,CLE,115-121,L,7,3,0.429,4,2,0.5,5,4,0.8,12,5,4,0,1,3,1,35
3201,20160103,Sun 1/3,MIA,75-97,L,6,2,0.333,3,0,0.0,0,0,0.0,4,4,1,0,0,1,0,28
3201,20160101,Fri 1/1,ORL,103-91,W,11,3,0.273,5,1,0.2,0,0,0.0,7,4,0,0,2,0,0,33
3201,20161230,Wed 12/30,TOR,91-94,L,10,6,0.6,6,3,0.5,3,2,0.667,17,3,3,0,3,4,1,36
