ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3064517,20160413,Wed 4/13,GS,104-125,L,8,4,0.5,0,0,0.0,4,3,0.75,11,5,0,0,1,4,3,24
3064517,20160412,Tue 4/12,LAC,84-110,L,4,3,0.75,0,0,0.0,7,6,0.857,12,3,2,0,0,5,0,20
3064517,20160409,Sat 4/9,GS,99-100,L,4,2,0.5,0,0,0.0,0,0,0.0,4,1,0,1,0,3,0,13
3064517,20160408,Fri 4/8,DAL,93-103,L,3,2,0.667,0,0,0.0,2,0,0.0,4,3,0,0,0,3,1,11
3064517,20160405,Tue 4/5,CHI,108-92,W,3,3,1.0,0,0,0.0,1,1,1.0,7,0,1,0,0,2,0,14
3064517,20160403,Sun 4/3,ORL,107-119,L,3,1,0.333,0,0,0.0,6,5,0.833,7,6,1,0,0,2,1,16
3064517,20160401,Fri 4/1,TOR,95-99,L,1,1,1.0,0,0,0.0,8,6,0.75,8,4,0,1,2,3,0,18
3064517,20160330,Wed 3/30,DEN,105-109,L,1,1,1.0,0,0,0.0,0,0,0.0,2,0,0,0,0,0,0,3
3064517,20160328,Mon 3/28,SA,87-101,L,6,3,0.5,0,0,0.0,2,1,0.5,7,5,0,1,0,3,1,20
3064517,20160325,Fri 3/25,SA,104-110,L,1,1,1.0,0,0,0.0,2,1,0.5,3,2,2,0,0,1,0,16
3064517,20160322,Tue 3/22,LAL,100-107,L,3,2,0.667,0,0,0.0,3,2,0.667,6,2,0,0,2,3,2,12
3064517,20160321,Mon 3/21,PHX,103-97,W,1,0,0.0,0,0,0.0,2,2,1.0,2,0,0,0,0,1,0,5
3064517,20160319,Sat 3/19,LAC,113-102,W,7,3,0.429,0,0,0.0,0,0,0.0,6,7,1,0,0,5,2,12
3064517,20160317,Thu 3/17,MIL,86-96,L,7,2,0.286,0,0,0.0,2,1,0.5,5,3,1,0,0,2,2,18
3064517,20160316,Wed 3/16,MIN,108-114,L,9,5,0.556,1,0,0.0,3,2,0.667,12,8,1,1,0,1,0,24
3064517,20160314,Mon 3/14,HOU,81-130,L,12,4,0.333,1,0,0.0,10,9,0.9,17,8,1,0,0,3,0,29
3064517,20160312,Sat 3/12,ATL,83-95,L,10,3,0.3,0,0,0.0,5,4,0.8,10,4,0,0,1,2,2,20
3064517,20160311,Fri 3/11,NO,121-114,W,9,3,0.333,0,0,0.0,2,0,0.0,6,2,2,1,2,1,0,21
3064517,20160309,Wed 3/9,BOS,96-116,L,10,7,0.7,0,0,0.0,3,2,0.667,16,6,1,1,0,5,1,23
3064517,20160307,Mon 3/7,CLE,106-103,W,4,1,0.25,0,0,0.0,0,0,0.0,2,3,2,0,0,4,2,19
3064517,20160306,Sun 3/6,PHX,100-109,L,2,0,0.0,0,0,0.0,0,0,0.0,0,2,0,0,0,2,1,7
3064517,20160304,Fri 3/4,UTAH,94-88,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,3
3064517,20160302,Wed 3/2,SAC,104-98,W,1,1,1.0,0,0,0.0,0,0,0.0,2,8,0,1,0,0,1,10
3064517,20160229,Mon 2/29,DEN,103-96,W,2,1,0.5,0,0,0.0,0,0,0.0,2,4,0,0,0,1,0,12
