ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
2768,20140416,Wed 4/16,BKN,114-85,W,10,2,0.2,3,1,0.333,0,0,0.0,5,3,9,0,2,2,2,25
2768,20140412,Sat 4/12,BOS,99-111,L,14,6,0.429,4,1,0.25,2,2,1.0,15,3,6,0,1,3,0,33
2768,20140411,Fri 4/11,MIL,116-119,L,13,7,0.538,5,2,0.4,5,5,1.0,21,4,2,0,1,2,2,34
2768,20140409,Wed 4/9,DET,122-100,W,6,3,0.5,1,0,0.0,2,1,0.5,7,2,3,0,0,2,4,22
2768,20140405,Sat 4/5,&nbsp;CHA,94-96,L,8,1,0.125,1,0,0.0,3,3,1.0,5,2,2,0,0,3,0,27
2768,20140404,Fri 4/4,ATL,98-117,L,13,4,0.308,6,1,0.167,0,0,0.0,9,3,2,1,0,1,0,22
2768,20140402,Wed 4/2,ORL,119-98,W,9,5,0.556,3,1,0.333,2,2,1.0,13,4,4,0,1,2,3,30
2768,20140330,Sun 3/30,IND,90-76,W,11,4,0.364,2,1,0.5,2,2,1.0,11,6,9,1,1,2,0,36
2768,20140328,Fri 3/28,BKN,97-108,L,12,4,0.333,5,1,0.2,0,0,0.0,9,2,7,0,2,2,1,41
2768,20140326,Wed 3/26,DET,97-96,W,15,7,0.467,4,2,0.5,1,1,1.0,17,2,1,0,0,0,2,29
2768,20140325,Tue 3/25,TOR,102-100,W,9,6,0.667,1,0,0.0,3,1,0.333,13,5,5,1,2,2,1,37
2768,20140323,Sun 3/23,NY,106-100,W,19,13,0.684,2,1,0.5,5,4,0.8,31,5,10,1,0,0,3,42
2768,20140322,Sat 3/22,HOU,111-118,L,13,5,0.385,1,0,0.0,1,1,1.0,11,4,5,1,1,1,2,36
2768,20140320,Thu 3/20,OKC,95-102,L,8,2,0.25,1,0,0.0,2,2,1.0,6,3,4,0,1,2,2,34
2768,20140318,Tue 3/18,MIA,96-100,L,13,8,0.615,6,4,0.667,4,2,0.5,22,4,4,1,0,2,3,42
2768,20140316,Sun 3/16,LAC,80-102,L,8,4,0.5,3,1,0.333,3,3,1.0,12,2,5,0,0,1,6,35
2768,20140314,Fri 3/14,GS,103-94,W,5,4,0.8,0,0,0.0,1,1,1.0,9,3,4,0,1,5,1,28
2768,20140312,Wed 3/12,PHX,110-101,W,7,3,0.429,1,0,0.0,6,5,0.833,11,4,4,0,0,2,1,34
2768,20140308,Sat 3/8,NY,97-107,L,13,5,0.385,4,0,0.0,2,2,1.0,12,2,3,0,2,2,3,39
2768,20140307,Fri 3/7,&nbsp;CHA,92-101,L,6,3,0.5,1,0,0.0,4,4,1.0,10,2,6,1,0,1,3,27
2768,20140304,Tue 3/4,SA,101-122,L,5,2,0.4,2,0,0.0,0,0,0.0,4,0,3,0,0,2,0,21
2768,20140301,Sat 3/1,MEM,96-110,L,6,3,0.5,1,0,0.0,0,0,0.0,6,3,5,0,1,1,1,35
2768,20140228,Fri 2/28,UTAH,99-79,W,9,2,0.222,4,0,0.0,2,1,0.5,5,1,4,0,0,2,1,28
2768,20140226,Wed 2/26,OKC,114-104,W,14,6,0.429,7,3,0.429,6,6,1.0,21,3,4,0,1,2,1,39
2768,20140225,Tue 2/25,TOR,93-99,L,10,5,0.5,1,1,1.0,1,1,1.0,12,3,4,0,2,2,1,26
2768,20140223,Sun 2/23,WSH,83-96,L,11,3,0.273,3,0,0.0,0,0,0.0,6,4,3,0,0,2,3,38
2768,20140221,Fri 2/21,TOR,91-98,L,9,3,0.333,1,1,1.0,2,2,1.0,9,2,5,0,1,2,3,41
2768,20140219,Wed 2/19,ORL,101-93,W,10,3,0.3,2,1,0.5,4,3,0.75,10,6,6,2,2,2,1,34
2768,20140218,Tue 2/18,PHI,114-85,W,6,2,0.333,0,0,0.0,2,2,1.0,6,2,7,0,1,3,4,23
2768,20140212,Wed 2/12,DET,93-89,W,7,3,0.429,2,1,0.5,3,2,0.667,9,2,8,0,2,2,1,28
2768,20140211,Tue 2/11,SAC,109-99,W,3,1,0.333,0,0,0.0,0,0,0.0,2,3,4,1,2,3,3,18
2768,20140209,Sun 2/9,MEM,91-83,W,4,1,0.25,1,0,0.0,0,0,0.0,2,3,1,0,0,0,1,15
2768,20140207,Fri 2/7,WSH,115-113,W,3,0,0.0,0,0,0.0,2,0,0.0,0,0,0,0,0,0,0,12
2768,20140205,Wed 2/5,LAL,108-119,L,5,2,0.4,2,0,0.0,4,3,0.75,7,4,1,1,0,2,1,17
2768,20140203,Mon 2/3,DAL,107-124,L,7,5,0.714,2,1,0.5,2,1,0.5,12,3,8,0,0,3,3,40
2768,20140201,Sat 2/1,HOU,92-106,L,9,3,0.333,6,1,0.167,0,0,0.0,7,0,6,0,0,2,1,31
2768,20140130,Thu 1/30,NY,86-117,L,8,1,0.125,3,1,0.333,2,1,0.5,4,0,1,0,2,1,3,20
2768,20140128,Tue 1/28,NO,89-100,L,4,0,0.0,1,0,0.0,2,2,1.0,2,3,3,0,2,0,0,21
