ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
841,20160413,Wed 4/13,SAC,116-81,W,8,3,0.375,7,3,0.429,0,0,0.0,9,2,3,0,0,0,0,14
841,20160411,Mon 4/11,MIN,129-105,W,6,2,0.333,5,2,0.4,0,0,0.0,6,2,2,0,1,1,0,23
841,20160410,Sun 4/10,LAL,130-110,W,8,4,0.5,7,3,0.429,0,0,0.0,11,0,2,0,1,0,1,21
841,20160407,Thu 4/7,PHX,115-124,L,9,4,0.444,3,0,0.0,0,0,0.0,8,1,3,1,0,4,1,23
841,20160406,Wed 4/6,DAL,86-88,L,6,1,0.167,3,0,0.0,2,1,0.5,3,1,2,0,0,0,1,17
841,20160403,Sun 4/3,OKC,118-110,W,3,1,0.333,3,1,0.333,0,0,0.0,3,0,2,0,2,0,0,8
841,20160331,Thu 3/31,CHI,100-103,L,4,1,0.25,4,1,0.25,0,0,0.0,3,0,1,0,0,3,1,18
841,20160329,Tue 3/29,CLE,106-100,W,2,1,0.5,2,1,0.5,0,0,0.0,3,0,0,0,0,0,1,9
841,20160327,Sun 3/27,IND,101-104,L,3,0,0.0,3,0,0.0,0,0,0.0,0,1,2,0,0,0,1,10
841,20160325,Fri 3/25,TOR,112-109,W,7,2,0.286,2,1,0.5,0,0,0.0,5,5,3,0,0,1,1,23
841,20160323,Wed 3/23,UTAH,87-89,L,2,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,0,0,16
841,20160322,Tue 3/22,OKC,107-111,L,6,3,0.5,3,2,0.667,0,0,0.0,8,1,0,0,0,2,1,19
841,20160319,Sat 3/19,ATL,97-109,L,4,1,0.25,3,1,0.333,0,0,0.0,3,0,1,0,1,1,0,17
841,20160318,Fri 3/18,MIN,116-111,W,6,1,0.167,3,0,0.0,0,0,0.0,2,0,1,0,1,1,0,22
841,20160316,Wed 3/16,LAC,106-122,L,10,5,0.5,5,1,0.2,0,0,0.0,11,2,3,0,1,2,0,26
841,20160314,Mon 3/14,MEM,130-81,W,4,4,1.0,4,4,1.0,0,0,0.0,12,0,2,0,0,2,2,16
841,20160312,Sat 3/12,CHA,109-125,L,9,4,0.444,3,2,0.667,1,1,1.0,11,2,2,0,2,4,0,20
841,20160311,Fri 3/11,BOS,102-98,W,3,1,0.333,2,0,0.0,0,0,0.0,2,0,1,0,0,0,1,21
841,20160309,Wed 3/9,PHI,118-104,W,6,3,0.5,5,3,0.6,1,1,1.0,10,3,3,0,2,0,1,28
841,20160306,Sun 3/6,TOR,113-107,W,3,0,0.0,1,0,0.0,0,0,0.0,0,0,2,0,1,0,0,15
841,20160305,Sat 3/5,CHI,100-108,L,5,1,0.2,4,0,0.0,0,0,0.0,2,1,1,1,2,1,0,17
841,20160302,Wed 3/2,NO,100-95,W,5,0,0.0,5,0,0.0,0,0,0.0,0,1,1,0,1,0,0,18
841,20160229,Mon 2/29,MIL,121-128,L,7,4,0.571,6,4,0.667,0,0,0.0,12,0,0,0,1,1,2,16
841,20160227,Sat 2/27,SA,94-104,L,10,6,0.6,6,3,0.5,0,0,0.0,15,1,3,0,0,2,3,29
841,20160225,Thu 2/25,POR,119-105,W,8,4,0.5,4,2,0.5,1,1,1.0,11,3,1,1,1,1,0,23
841,20160223,Tue 2/23,UTAH,114-117,L,9,2,0.222,6,1,0.167,3,3,1.0,8,1,0,0,0,1,0,21
841,20160219,Fri 2/19,PHX,116-100,W,3,0,0.0,1,0,0.0,0,0,0.0,0,3,2,0,0,1,2,11
841,20160210,Wed 2/10,POR,103-116,L,8,3,0.375,5,2,0.4,0,0,0.0,8,0,0,0,0,0,0,17
841,20160209,Tue 2/9,GS,110-123,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20160206,Sat 2/6,POR,79-96,L,1,0,0.0,0,0,0.0,0,0,0.0,0,0,1,0,0,2,0,4
841,20160204,Thu 2/4,PHX,111-105,W,5,2,0.4,4,1,0.25,0,0,0.0,5,6,1,0,1,2,0,17
841,20160202,Tue 2/2,MIA,115-102,W,1,0,0.0,1,0,0.0,0,0,0.0,0,1,1,0,0,0,1,12
841,20160130,Sat 1/30,WSH,122-123,L,7,2,0.286,7,2,0.286,0,0,0.0,6,1,1,0,0,2,1,15
841,20160129,Fri 1/29,OKC,108-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20160127,Wed 1/27,SA,99-130,L,7,3,0.429,7,3,0.429,1,1,1.0,10,3,1,0,0,1,0,20
841,20160125,Mon 1/25,NO,112-111,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20160124,Sun 1/24,DAL,115-104,W,5,3,0.6,4,2,0.5,0,0,0.0,8,0,1,0,0,0,0,20
841,20160122,Fri 1/22,MIL,102-98,W,9,2,0.222,8,2,0.25,0,0,0.0,6,1,2,0,3,1,0,19
841,20160120,Wed 1/20,DET,114-123,L,6,4,0.667,3,2,0.667,0,0,0.0,10,0,1,0,0,2,0,18
841,20160118,Mon 1/18,LAC,132-140,L,5,2,0.4,5,2,0.4,2,1,0.5,7,1,1,1,0,2,1,19
841,20160117,Sun 1/17,LAL,112-95,W,4,1,0.25,2,0,0.0,0,0,0.0,2,0,3,0,0,1,1,17
841,20160115,Fri 1/15,CLE,77-91,L,6,2,0.333,4,1,0.25,0,0,0.0,5,1,1,1,2,0,2,18
841,20160113,Wed 1/13,MIN,107-104,W,6,3,0.5,5,2,0.4,2,2,1.0,10,0,1,0,1,0,0,26
841,20160112,Tue 1/12,MEM,107-91,W,6,1,0.167,4,1,0.25,0,0,0.0,3,1,6,0,0,2,1,19
841,20160110,Sun 1/10,IND,107-103,W,7,2,0.286,4,1,0.25,0,0,0.0,5,0,1,0,1,0,0,20
841,20160107,Thu 1/7,UTAH,103-94,W,8,5,0.625,3,2,0.667,0,0,0.0,12,2,2,0,0,1,3,20
841,20160104,Mon 1/4,UTAH,93-91,W,7,3,0.429,5,1,0.2,4,2,0.5,9,3,4,0,1,1,0,31
841,20160102,Sat 1/2,SA,103-121,L,5,3,0.6,5,3,0.6,0,0,0.0,9,2,0,0,0,1,0,16
841,20161231,Thu 12/31,GS,110-114,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20161229,Tue 12/29,ATL,115-121,L,1,1,1.0,1,1,1.0,0,0,0.0,3,0,1,0,0,0,0,6
841,20161226,Sat 12/26,NO,108-110,L,2,1,0.5,1,1,1.0,0,0,0.0,3,0,0,0,0,0,0,12
841,20161225,Fri 12/25,SA,88-84,W,3,3,1.0,2,2,1.0,5,4,0.8,12,1,1,0,3,0,1,17
841,20161223,Wed 12/23,ORL,101-104,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20161221,Mon 12/21,CHA,102-95,W,4,1,0.25,3,0,0.0,0,0,0.0,2,3,2,0,0,3,1,21
841,20161219,Sat 12/19,LAC,107-97,W,5,2,0.4,3,1,0.333,2,2,1.0,7,1,2,0,1,2,0,17
841,20161217,Thu 12/17,LAL,107-87,W,1,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,6
841,20161215,Tue 12/15,SAC,97-107,L,13,6,0.462,8,2,0.25,0,0,0.0,14,1,4,0,2,2,1,27
841,20161214,Mon 12/14,DEN,108-114,L,3,1,0.333,2,0,0.0,0,0,0.0,2,3,0,0,1,1,0,13
841,20161212,Sat 12/12,LAL,126-97,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20161209,Wed 12/9,WSH,109-103,W,5,3,0.6,3,1,0.333,0,0,0.0,7,0,1,0,0,1,0,17
841,20161208,Tue 12/8,BKN,105-110,L,5,2,0.4,4,2,0.5,2,2,1.0,8,2,1,0,2,1,0,15
841,20161205,Sat 12/5,SAC,120-113,W,4,2,0.5,4,2,0.5,0,0,0.0,6,0,0,1,1,0,2,18
841,20161204,Fri 12/4,DAL,100-96,W,5,3,0.6,1,1,1.0,0,0,0.0,7,1,1,0,1,2,0,12
841,20161202,Wed 12/2,NO,108-101,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20161130,Mon 11/30,DET,105-116,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20161129,Sun 11/29,NY,116-111,W,4,2,0.5,4,2,0.5,2,1,0.5,7,0,0,0,3,3,1,20
841,20161127,Fri 11/27,PHI,116-114,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,0,0
841,20161125,Wed 11/25,MEM,93-102,L,9,4,0.444,8,3,0.375,2,2,1.0,13,2,3,1,2,4,2,29
841,20161121,Sat 11/21,NY,102-107,L,11,4,0.364,8,3,0.375,0,0,0.0,11,0,1,0,1,4,0,31
841,20161120,Fri 11/20,MEM,84-96,L,5,1,0.2,3,0,0.0,0,0,0.0,2,3,1,1,0,4,2,21
841,20161118,Wed 11/18,POR,108-103,W,3,2,0.667,2,1,0.5,0,0,0.0,5,4,3,0,1,5,2,29
841,20161116,Mon 11/16,BOS,95-111,L,4,1,0.25,2,0,0.0,1,1,1.0,3,1,3,1,0,3,3,18
841,20161114,Sat 11/14,DAL,98-110,L,10,6,0.6,9,5,0.556,2,2,1.0,19,0,1,0,0,5,1,26
841,20161113,Fri 11/13,DEN,98-107,L,6,3,0.5,6,3,0.5,0,0,0.0,9,0,0,0,1,2,3,16
841,20161111,Wed 11/11,BKN,98-106,L,1,0,0.0,1,0,0.0,0,0,0.0,0,0,0,0,0,0,0,9
841,20161107,Sat 11/7,LAC,109-105,W,5,1,0.2,3,0,0.0,0,0,0.0,2,0,1,0,1,0,0,13
841,20161106,Fri 11/6,SAC,116-110,W,3,1,0.333,2,0,0.0,0,0,0.0,2,1,0,0,0,0,1,13
841,20161104,Wed 11/4,ORL,119-114,W,1,1,1.0,0,0,0.0,0,0,0.0,2,2,3,0,0,1,0,9
841,20161102,Mon 11/2,OKC,110-105,W,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20161101,Sun 11/1,MIA,89-109,L,3,1,0.333,3,1,0.333,0,0,0.0,3,0,0,0,0,0,0,5
841,20161030,Fri 10/30,GS,92-112,L,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0
841,20161028,Wed 10/28,DEN,85-105,L,1,0,0.0,1,0,0.0,0,0,0.0,0,1,2,0,1,0,0,11
841,20161023,Fri 10/23,SA,86-111,L,2,0,0.0,1,0,0.0,0,0,0.0,0,1,0,0,0,0,0,11
841,20161019,Mon 10/19,NO,120-100,W,5,3,0.6,4,2,0.5,0,0,0.0,8,3,2,0,1,0,2,18
841,20161013,Tue 10/13,PHX,135-129,W,6,1,0.167,5,1,0.2,1,1,1.0,4,2,3,0,0,3,3,21
841,20161007,Wed 10/7,DAL,109-82,W,4,1,0.25,3,0,0.0,0,0,0.0,2,1,3,0,0,1,0,8
