ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
3209,20130417,Wed 4/17,TOR,90-114,L,7,4,0.571,1,1,1.0,0,0,0.0,9,6,2,0,0,2,3,17
3209,20130413,Sat 4/13,ORL,120-88,W,17,6,0.353,3,2,0.667,5,3,0.6,17,6,3,0,2,0,2,37
3209,20130412,Fri 4/12,MIA,101-109,L,17,10,0.588,6,1,0.167,4,4,1.0,25,8,2,0,0,1,0,36
3209,20130410,Wed 4/10,BKN,93-101,L,17,4,0.235,4,2,0.5,1,1,1.0,11,4,2,0,0,2,2,35
3209,20130407,Sun 4/7,WSH,107-96,W,8,3,0.375,0,0,0.0,2,2,1.0,8,3,0,0,2,4,4,27
3209,20130405,Fri 4/5,CLE,91-97,L,13,8,0.615,1,1,1.0,8,6,0.75,23,9,4,0,0,4,2,33
3209,20130403,Wed 4/3,DET,98-93,W,19,13,0.684,4,3,0.75,7,5,0.714,34,6,1,4,1,5,3,43
3209,20130401,Mon 4/1,MIN,100-110,L,10,5,0.5,0,0,0.0,0,0,0.0,10,7,5,0,0,2,5,38
3209,20130331,Sun 3/31,NY,89-108,L,14,10,0.714,5,2,0.4,8,5,0.625,27,4,1,0,0,4,1,35
3209,20130329,Fri 3/29,ATL,118-107,W,20,11,0.55,5,3,0.6,3,2,0.667,27,4,4,1,2,2,1,38
3209,20130327,Wed 3/27,CLE,93-92,W,18,7,0.389,2,2,1.0,8,5,0.625,21,7,5,1,2,3,2,41
3209,20130326,Tue 3/26,NY,85-100,L,14,6,0.429,4,1,0.25,6,6,1.0,19,10,6,1,1,4,2,39
3209,20130323,Sat 3/23,MEM,106-110,L,10,4,0.4,4,1,0.25,4,3,0.75,12,5,4,2,1,2,2,45
3209,20130322,Fri 3/22,DAL,94-104,L,11,5,0.455,2,0,0.0,0,0,0.0,10,3,4,1,0,5,5,30
3209,20130320,Wed 3/20,&nbsp;NO,86-87,L,8,4,0.5,1,1,1.0,4,4,1.0,13,2,0,2,1,3,1,27
3209,20130318,Mon 3/18,MIA,103-105,L,21,14,0.667,7,5,0.714,13,10,0.769,43,7,2,4,2,2,2,40
3209,20130316,Sat 3/16,&nbsp;CHA,105-88,W,9,5,0.556,1,0,0.0,0,0,0.0,10,5,4,0,0,0,2,31
3209,20130313,Wed 3/13,TOR,112-88,W,14,7,0.5,2,1,0.5,5,5,1.0,20,6,3,1,2,4,1,31
3209,20130312,Tue 3/12,&nbsp;CHA,74-100,L,11,4,0.364,0,0,0.0,8,6,0.75,14,3,1,0,1,3,1,30
