ID,NumDate,StDate,Opp,Score,Res,FGA,FGM,FGP,3PA,3PM,3PP,FTA,FTM,FTP,PTS,REB,AST,BLK,STL,PF,TO,MIN
4015,20120426,Thu 4/26,DAL,106-89,W,11,7,0.636,4,3,0.75,0,0,0.0,17,2,5,0,1,0,0,28
4015,20120424,Tue 4/24,LAC,109-102,W,12,7,0.583,2,1,0.5,6,6,1.0,21,3,2,2,1,4,2,29
4015,20120422,Sun 4/22,NY,112-113,L,14,9,0.643,2,1,0.5,6,4,0.667,23,3,6,1,5,3,4,36
4015,20120420,Fri 4/20,BOS,97-92,W,6,1,0.167,0,0,0.0,0,0,0.0,2,2,5,1,0,2,1,20
4015,20120418,Wed 4/18,DET,116-84,W,6,3,0.5,2,0,0.0,0,0,0.0,6,3,5,0,1,1,0,21
4015,20120416,Mon 4/16,TOR,109-87,W,11,6,0.545,3,1,0.333,8,6,0.75,19,6,10,2,2,3,1,36
4015,20120415,Sun 4/15,TOR,86-102,L,4,1,0.25,1,0,0.0,0,0,0.0,2,1,2,0,1,1,1,25
4015,20120413,Fri 4/13,ORL,109-81,W,4,1,0.25,2,0,0.0,1,1,1.0,3,1,3,0,0,4,0,14
4015,20120411,Wed 4/11,BOS,86-88,L,12,8,0.667,1,1,1.0,4,4,1.0,21,3,5,1,2,2,5,41
4015,20120407,Sat 4/7,&nbsp;CHA,116-96,W,8,5,0.625,1,0,0.0,2,1,0.5,11,1,5,0,0,2,3,23
4015,20120406,Fri 4/6,DET,101-96,W,16,9,0.563,4,1,0.25,6,5,0.833,24,5,11,1,2,2,2,41
4015,20120404,Wed 4/4,&nbsp;CHA,120-93,W,10,5,0.5,1,0,0.0,7,7,1.0,17,3,6,1,1,1,2,30
4015,20120331,Sat 3/31,PHI,90-95,L,8,2,0.25,1,0,0.0,6,4,0.667,8,0,4,0,1,1,2,32
4015,20120330,Fri 3/30,NY,100-90,W,9,5,0.556,2,0,0.0,2,1,0.5,11,2,7,3,3,4,5,38
4015,20120328,Wed 3/28,CHI,77-98,L,14,5,0.357,4,1,0.25,2,2,1.0,13,3,8,1,1,1,2,37
4015,20120327,Tue 3/27,MIL,101-108,L,8,6,0.75,3,1,0.333,2,2,1.0,15,1,7,0,1,5,7,37
4015,20120325,Sun 3/25,UTAH,139-133,W,14,4,0.286,5,0,0.0,11,10,0.909,18,7,9,0,0,3,3,53
4015,20120324,Sat 3/24,WSH,95-92,W,10,4,0.4,4,0,0.0,2,1,0.5,9,1,9,0,1,5,3,37
4015,20120323,Fri 3/23,&nbsp;NJ,93-84,W,8,5,0.625,2,1,0.5,7,6,0.857,17,3,6,0,1,3,0,41
4015,20120321,Wed 3/21,CLE,103-102,W,9,6,0.667,0,0,0.0,0,0,0.0,12,2,7,0,4,5,1,44
4015,20120319,Mon 3/19,BOS,76-79,L,13,4,0.308,2,0,0.0,0,0,0.0,8,5,3,0,0,4,2,42
4015,20120318,Sun 3/18,CLE,103-87,W,14,8,0.571,5,2,0.4,0,0,0.0,18,3,2,2,1,3,1,36
4015,20120316,Fri 3/16,WSH,102-88,W,13,6,0.462,5,1,0.2,1,1,1.0,14,5,4,2,5,1,2,43
4015,20120314,Wed 3/14,LAC,82-96,L,11,3,0.273,4,0,0.0,6,4,0.667,10,3,5,0,1,2,0,37
4015,20120313,Tue 3/13,DEN,117-118,L,8,2,0.25,3,1,0.333,4,4,1.0,9,5,8,0,0,2,2,46
4015,20120311,Sun 3/11,SAC,106-99,W,11,7,0.636,1,1,1.0,3,1,0.333,16,2,7,1,3,0,3,38
4015,20120309,Fri 3/9,DET,85-86,L,5,2,0.4,0,0,0.0,0,0,0.0,4,2,3,2,2,1,1,31
